athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.638628635912249,0,41.85956,12.56004167,75.0
amatour,endurance,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2495676518337357,0,41.85954167,12.56003,74.0
amatour,endurance,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.189959306510988,0,41.859525,12.56001167,73.0
amatour,endurance,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1466764774659275,0,41.85951,12.55999333,73.0
amatour,endurance,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2438888226197964,0,41.859495,12.559975,73.0
amatour,endurance,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.176047573557658,0,41.85948333,12.55996,72.0
amatour,endurance,acquedotti,7,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.219061108980899,0,41.85947167,12.55994333,72.0
amatour,endurance,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1910626492914775,0,41.85945833,12.55992,72.0
amatour,endurance,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1361705959332444,0,41.85944667,12.55988833,72.0
amatour,endurance,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.109225620697864,0,41.85943667,12.55986667,72.0
amatour,endurance,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.220636472873085,0,41.85942667,12.55984667,72.0
amatour,endurance,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1096835310614916,0,41.85941833,12.55982667,72.0
amatour,endurance,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2805441627132144,0,41.859405,12.55980333,72.0
amatour,endurance,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.155234465048855,0,41.859395,12.55978,73.0
amatour,endurance,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5655839192999634,0,41.85937833,12.55974833,73.0
amatour,endurance,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1165256947000795,0,41.85935833,12.55971667,73.0
amatour,endurance,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.281973682657463,0,41.85934167,12.55968667,73.0
amatour,endurance,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1584780478500387,0,41.85932833,12.55965833,73.0
amatour,endurance,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.17014714703324,0,41.859315,12.55963,73.0
amatour,endurance,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.116163143001145,0,41.859295,12.559595,74.0
amatour,endurance,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6841258105934225,0,41.85927333,12.55955667,74.0
