athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.697438637280617,0,45.189325,10.79284167,37.0
amatour,endurance,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.216606272052747,0,45.18932167,10.79282,37.0
amatour,endurance,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.185893363262399,0,45.189325,10.79279833,36.0
amatour,endurance,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.274702931081247,0,45.18932667,10.79278,35.0
amatour,endurance,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1212108387040174,0,45.18933167,10.792755,35.0
amatour,endurance,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1526813388546486,0,45.18933833,10.79272333,34.0
amatour,endurance,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1644982937736765,0,45.18934167,10.79269167,33.0
amatour,endurance,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.208090642136133,0,45.18934167,10.792665,32.0
amatour,endurance,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1023734495181654,0,45.189345,10.79263833,31.0
amatour,endurance,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.131685049039588,0,45.18935167,10.792615,31.0
amatour,endurance,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2287782657698187,0,45.189355,10.79258667,30.0
amatour,endurance,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.234034444071856,0,45.189355,10.79256,29.0
amatour,endurance,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.257355716198248,0,45.18936,10.79252833,29.0
amatour,endurance,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.289177323171118,0,45.18936167,10.79250167,28.0
amatour,endurance,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.138220397390483,0,45.18936167,10.79247167,28.0
amatour,endurance,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2124857983595354,0,45.18936333,10.79244,27.0
amatour,endurance,belfiore,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.234514869889514,0,45.189365,10.79241,27.0
amatour,endurance,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2949940051814535,0,45.18936833,10.79238,27.0
amatour,endurance,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1846469087186207,0,45.18937,10.79235,27.0
amatour,endurance,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1915831566374213,0,45.18936833,10.79231833,26.0
amatour,endurance,belfiore,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2189350673267967,0,45.18937,10.792285,26.0
amatour,endurance,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1040970011355413,0,45.18937,10.79225333,25.0
amatour,endurance,belfiore,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1621961916085892,0,45.18937167,10.79221833,25.0
amatour,endurance,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222016740198703,0,45.18937333,10.79218667,25.0
amatour,endurance,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2641862673243174,0,45.189375,10.79215833,25.0
amatour,endurance,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.156785626589774,0,45.18937333,10.79213167,25.0
amatour,endurance,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.284544919061068,0,45.18937167,10.792105,24.0
amatour,endurance,belfiore,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2441440750921133,0,45.18937,10.792075,24.0
amatour,endurance,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2396251543363497,0,45.18936667,10.79204167,24.0
amatour,endurance,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1516844641380204,0,45.18936667,10.79201167,24.0
amatour,endurance,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1997893134256707,0,45.18936667,10.79198333,24.0
amatour,endurance,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.220788882287363,0,45.18936667,10.791955,24.0
amatour,endurance,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2111622770305273,0,45.18936833,10.79193,24.0
amatour,endurance,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.173960119949587,0,45.18937,10.7919,24.0
amatour,endurance,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1456842587044633,0,45.18937167,10.79186833,24.0
amatour,endurance,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2095115474431046,0,45.18937333,10.79184,24.0
amatour,endurance,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1344737121002857,0,45.189375,10.79181333,24.0
amatour,endurance,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2191219657817114,0,45.18937667,10.79178667,24.0
amatour,endurance,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1732266347415963,0,45.18937833,10.79176,25.0
amatour,endurance,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6511965912681617,0.01852240029611724,45.18938,10.79173167,25.0
amatour,endurance,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2143056040787177,0.011386997334153628,45.18938,10.791705,25.0
