athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.753766555425073,0,45.18933,10.79333333,93.0
amatour,endurance,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1773792683390747,0,45.18926,10.79329333,91.0
amatour,endurance,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.148752884509948,0,45.18926333,10.79323667,90.0
amatour,endurance,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2320059364377625,0,45.18929667,10.79316667,88.0
amatour,endurance,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1401505956363285,0,45.18930833,10.793115,85.0
amatour,endurance,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2982218434999018,0,45.18930667,10.79308167,80.0
amatour,endurance,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2743006783219664,0,45.18930833,10.79303667,76.0
amatour,endurance,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2538172752773225,0,45.18930667,10.79298333,72.0
amatour,endurance,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.100147285225251,0,45.18931333,10.79293833,69.0
amatour,endurance,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1702091405640154,0,45.189315,10.79289167,66.0
amatour,endurance,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.236607331217031,0,45.18931667,10.79285667,64.0
amatour,endurance,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.221165721339861,0,45.18931833,10.792825,61.0
amatour,endurance,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1659687872359266,0,45.18931667,10.79279333,60.0
amatour,endurance,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1401643110174953,0,45.18931667,10.79277167,58.0
amatour,endurance,tre_laghi,15,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2404958833795083,0,45.18931833,10.79274667,56.0
amatour,endurance,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2766854257340925,0,45.18932167,10.79271833,55.0
amatour,endurance,tre_laghi,17,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.180413323442324,0,45.18932333,10.79268833,54.0
amatour,endurance,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2033913599734136,0,45.189325,10.79265167,53.0
amatour,endurance,tre_laghi,19,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.184512366041795,0,45.18932667,10.792625,52.0
amatour,endurance,tre_laghi,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.143852566137361,0,45.18932667,10.7926,51.0
amatour,endurance,tre_laghi,21,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.26719044075109,0,45.18933,10.79257333,50.0
amatour,endurance,tre_laghi,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2259088557146605,0,45.18933,10.79254833,49.0
amatour,endurance,tre_laghi,23,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1503058505490165,0,45.18932833,10.79251833,48.0
amatour,endurance,tre_laghi,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.23118404170596,0,45.18932833,10.79249,48.0
amatour,endurance,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.286805168291689,0,45.18932833,10.79246167,47.0
amatour,endurance,tre_laghi,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.103535131761669,0,45.18933,10.79243167,47.0
amatour,endurance,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2373705721619594,0,45.18933,10.79240333,46.0
amatour,endurance,tre_laghi,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1652320232417495,0,45.18933167,10.792375,46.0
amatour,endurance,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.163649761317188,0,45.18933333,10.79234833,46.0
amatour,endurance,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.176696677962454,0,45.189335,10.79232,46.0
amatour,endurance,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1919324211508644,0,45.18933667,10.79229333,45.0
amatour,endurance,tre_laghi,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.126382425701986,0,45.18933833,10.79226167,45.0
amatour,endurance,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2324733314801786,0,45.18934167,10.79223167,45.0
amatour,endurance,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2392043303021123,0,45.18934667,10.79220167,45.0
