athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.7621194967724048,0,41.85956,12.56004167,75.0
amatour,fartlek,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1689832386134937,0,41.85954167,12.56003,74.0
amatour,fartlek,acquedotti,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7016699907709592,0.018761597755621626,41.859525,12.56001167,73.0
amatour,fartlek,acquedotti,4,warmup,low,keep going,Z1,Z2,Z1,Z1,flat,2.0179514610436433,0.03910199595573767,41.85951,12.55999333,73.0
amatour,fartlek,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.191963977274095,0.022829817976307974,41.859495,12.559975,73.0
amatour,fartlek,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.28829116750891,0,41.85948333,12.55996,72.0
amatour,fartlek,acquedotti,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7390166105410478,0,41.85947167,12.55994333,72.0
amatour,fartlek,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1656881100034506,0,41.85945833,12.55992,72.0
amatour,fartlek,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1390152171896935,0,41.85944667,12.55988833,72.0
amatour,fartlek,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.165323955162302,0,41.85943667,12.55986667,72.0
amatour,fartlek,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.21897214214127,0,41.85942667,12.55984667,72.0
amatour,fartlek,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.211889548977961,0,41.85941833,12.55982667,72.0
amatour,fartlek,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1939130976720076,0,41.859405,12.55980333,72.0
amatour,fartlek,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.286068443600368,0,41.859395,12.55978,73.0
amatour,fartlek,acquedotti,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1871737734821046,0,41.85937833,12.55974833,73.0
amatour,fartlek,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1700850856421137,0,41.85935833,12.55971667,73.0
amatour,fartlek,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2295100938820265,0,41.85934167,12.55968667,73.0
amatour,fartlek,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.19408201315258,0,41.85932833,12.55965833,73.0
amatour,fartlek,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2789801493923214,0,41.859315,12.55963,73.0
amatour,fartlek,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.212323790287494,0,41.859295,12.559595,74.0
amatour,fartlek,acquedotti,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2156132769684858,0,41.85927333,12.55955667,74.0
amatour,fartlek,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2807664846196505,0,41.85924667,12.55951833,74.0
amatour,fartlek,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1837368217940756,0,41.85921833,12.559515,74.0
amatour,fartlek,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1880569657545643,0,41.85918833,12.55952833,74.0
amatour,fartlek,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1103701788406757,0,41.85910667,12.559585,74.0
amatour,fartlek,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1133787610243555,0,41.85907333,12.559605,74.0
amatour,fartlek,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.285993925481408,0,41.85903833,12.55962667,74.0
amatour,fartlek,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2379007077429325,0,41.859005,12.55964333,75.0
amatour,fartlek,acquedotti,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2534802308053576,0,41.85897667,12.55965,75.0
