athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.606066491021725,0,45.189325,10.79284167,37.0
amatour,fartlek,belfiore,2,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7882802482228186,0.028487965549012756,45.18932167,10.79282,37.0
amatour,fartlek,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2768859492087654,0.012994658880002138,45.189325,10.79279833,36.0
amatour,fartlek,belfiore,4,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7574072533108243,0.003668535949088451,45.18932667,10.79278,35.0
amatour,fartlek,belfiore,5,warmup,low,keep going,Z1,Z2,Z1,Z1,flat,2.011302313589215,0.003888533880659618,45.18933167,10.792755,35.0
amatour,fartlek,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.159318652300912,0,45.18933833,10.79272333,34.0
amatour,fartlek,belfiore,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7306597098343532,0.009325759465494313,45.18934167,10.79269167,33.0
amatour,fartlek,belfiore,8,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.277030060094368,0.02563502441073487,45.18934167,10.792665,32.0
amatour,fartlek,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.276076229989633,0,45.189345,10.79263833,31.0
amatour,fartlek,belfiore,10,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.132625460401174,0.00543081477824076,45.18935167,10.792615,31.0
amatour,fartlek,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.274475067508525,0,45.189355,10.79258667,30.0
amatour,fartlek,belfiore,12,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.116395089237448,0.029126347588610397,45.189355,10.79256,29.0
amatour,fartlek,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2638128894336345,0.01148584980655575,45.18936,10.79252833,29.0
amatour,fartlek,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.206376193499396,0,45.18936167,10.79250167,28.0
amatour,fartlek,belfiore,15,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7240036467616586,0.02050455968678353,45.18936167,10.79247167,28.0
amatour,fartlek,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1180227240137666,0,45.18936333,10.79244,27.0
amatour,fartlek,belfiore,17,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2583999894425832,0.03910287375552148,45.189365,10.79241,27.0
amatour,fartlek,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2796823727056834,0,45.18936833,10.79238,27.0
amatour,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2944199175479416,0,45.18937,10.79235,27.0
amatour,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2854095676649337,0,45.18936833,10.79231833,26.0
amatour,fartlek,belfiore,21,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.70912458595473,0,45.18937,10.792285,26.0
amatour,fartlek,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2465589233239767,0,45.18937,10.79225333,25.0
amatour,fartlek,belfiore,23,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.892129147766071,0.0193464463873761,45.18937167,10.79221833,25.0
amatour,fartlek,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1081923165600855,0,45.18937333,10.79218667,25.0
amatour,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1544105949625694,0,45.189375,10.79215833,25.0
amatour,fartlek,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2060635720069213,0,45.18937333,10.79213167,25.0
amatour,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.115403037717837,0,45.18937167,10.792105,24.0
amatour,fartlek,belfiore,28,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7632496352790288,0.008991823188831898,45.18937,10.792075,24.0
amatour,fartlek,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2288049893808206,0,45.18936667,10.79204167,24.0
amatour,fartlek,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2547686856426146,0,45.18936667,10.79201167,24.0
amatour,fartlek,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2819060680270766,0,45.18936667,10.79198333,24.0
amatour,fartlek,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1105753484975875,0,45.18936667,10.791955,24.0
amatour,fartlek,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.120900493605885,0,45.18936833,10.79193,24.0
amatour,fartlek,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.197984283842959,0,45.18937,10.7919,24.0
amatour,fartlek,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1845512308129997,0,45.18937167,10.79186833,24.0
amatour,fartlek,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2758076781713688,0,45.18937333,10.79184,24.0
amatour,fartlek,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2884539349516673,0,45.189375,10.79181333,24.0
amatour,fartlek,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2677355039191065,0,45.18937667,10.79178667,24.0
amatour,fartlek,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1731818288736986,0,45.18937833,10.79176,25.0
amatour,fartlek,belfiore,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.280205786449892,0,45.18938,10.79173167,25.0
amatour,fartlek,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2585377906196795,0,45.18938,10.791705,25.0
amatour,fartlek,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.147088097496901,0,45.18938333,10.79167833,25.0
amatour,fartlek,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1528689389050646,0,45.18938333,10.79165333,25.0
amatour,fartlek,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.122435471385291,0,45.18938333,10.791625,25.0
amatour,fartlek,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1418681550227996,0,45.18938167,10.79159333,25.0
amatour,fartlek,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2221053593906923,0,45.189385,10.79156667,25.0
amatour,fartlek,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.289212354214376,0,45.18939167,10.79154333,25.0
amatour,fartlek,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1740927612808654,0,45.189395,10.79151667,25.0
amatour,fartlek,belfiore,49,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2224966918581592,0,45.18939833,10.79149,25.0
amatour,fartlek,belfiore,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.228022347961851,0,45.1894,10.79146167,25.0
amatour,fartlek,belfiore,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.270000288404128,0,45.1894,10.791435,25.0
amatour,fartlek,belfiore,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.228852248574125,0,45.18940167,10.79140667,25.0
