athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.769022336784812,0,45.18933,10.79333333,93.0
amatour,fartlek,tre_laghi,2,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.85228118363734,0.0003257576369178616,45.18926,10.79329333,91.0
amatour,fartlek,tre_laghi,3,warmup,low,keep going,Z1,Z2,Z1,Z1,downhill,1.9832370424220631,0.003897381263718091,45.18926333,10.79323667,90.0
amatour,fartlek,tre_laghi,4,warmup,low,keep going,Z1,Z2,Z1,Z1,downhill,1.9190400398629082,0,45.18929667,10.79316667,88.0
amatour,fartlek,tre_laghi,5,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.1424827576943526,0.0020893367032935707,45.18930833,10.793115,85.0
amatour,fartlek,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.163816593268433,0,45.18930667,10.79308167,80.0
amatour,fartlek,tre_laghi,7,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2223715551681147,0.002709780549671438,45.18930833,10.79303667,76.0
amatour,fartlek,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2838371474512593,0,45.18930667,10.79298333,72.0
amatour,fartlek,tre_laghi,9,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1911308353591958,0.009843104510967825,45.18931333,10.79293833,69.0
amatour,fartlek,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2426366881704958,0,45.189315,10.79289167,66.0
amatour,fartlek,tre_laghi,11,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1953150729241055,0.0063313726391881825,45.18931667,10.79285667,64.0
amatour,fartlek,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.159048270394426,0,45.18931833,10.792825,61.0
amatour,fartlek,tre_laghi,13,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1821628456938273,0.013254697091960591,45.18931667,10.79279333,60.0
amatour,fartlek,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2935161271706073,0,45.18931667,10.79277167,58.0
amatour,fartlek,tre_laghi,15,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2660580218810582,0.04749048845877648,45.18931833,10.79274667,56.0
amatour,fartlek,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.122561099256999,0.007790650799986952,45.18932167,10.79271833,55.0
amatour,fartlek,tre_laghi,17,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2679561646698523,0.02414681665434024,45.18932333,10.79268833,54.0
amatour,fartlek,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.282477455872627,0,45.189325,10.79265167,53.0
amatour,fartlek,tre_laghi,19,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2894457460312023,0.007984144278193576,45.18932667,10.792625,52.0
amatour,fartlek,tre_laghi,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1149521087552325,0,45.18932667,10.7926,51.0
amatour,fartlek,tre_laghi,21,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2972981560506096,0.03744938346727613,45.18933,10.79257333,50.0
amatour,fartlek,tre_laghi,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.243712832712743,0,45.18933,10.79254833,49.0
amatour,fartlek,tre_laghi,23,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1599053947556084,0.013214036420624348,45.18932833,10.79251833,48.0
amatour,fartlek,tre_laghi,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.198487672624214,0,45.18932833,10.79249,48.0
amatour,fartlek,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2099154265995025,0,45.18932833,10.79246167,47.0
amatour,fartlek,tre_laghi,26,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8632428779636572,0.006457597417268379,45.18933,10.79243167,47.0
amatour,fartlek,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1748471567258583,0,45.18933,10.79240333,46.0
amatour,fartlek,tre_laghi,28,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1823806803691388,0.008889490252950135,45.18933167,10.792375,46.0
amatour,fartlek,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1323750404664534,0,45.18933333,10.79234833,46.0
amatour,fartlek,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.179288687790463,0,45.189335,10.79232,46.0
amatour,fartlek,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2116828768058068,0,45.18933667,10.79229333,45.0
amatour,fartlek,tre_laghi,32,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7312175594906545,0.009590759977224167,45.18933833,10.79226167,45.0
amatour,fartlek,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1576323595907527,0,45.18934167,10.79223167,45.0
amatour,fartlek,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.138267102411692,0,45.18934667,10.79220167,45.0
amatour,fartlek,tre_laghi,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.278038749737724,0,45.18935,10.792175,45.0
amatour,fartlek,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2086935877961547,0,45.18935333,10.79215,44.0
amatour,fartlek,tre_laghi,37,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7735779574918584,0,45.18935667,10.79212167,44.0
amatour,fartlek,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2857636632033267,0,45.18935833,10.79209333,44.0
amatour,fartlek,tre_laghi,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.252587045898154,0,45.18935833,10.792065,44.0
amatour,fartlek,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.176416038589587,0,45.18935833,10.79203667,44.0
amatour,fartlek,tre_laghi,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.117247132130364,0,45.18936167,10.792005,44.0
amatour,fartlek,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2969173831111354,0,45.189365,10.79197167,43.0
amatour,fartlek,tre_laghi,43,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8640001121036431,0.00198090162426402,45.189365,10.79193833,43.0
amatour,fartlek,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.283339021001319,0,45.18936833,10.791905,43.0
amatour,fartlek,tre_laghi,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.253078880418532,0,45.18937,10.79187333,43.0
amatour,fartlek,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.154540019968281,0,45.18937167,10.79184333,43.0
amatour,fartlek,tre_laghi,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.25474771084005,0,45.189375,10.79181167,43.0
amatour,fartlek,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.19252905996273,0,45.18937833,10.79178,42.0
amatour,fartlek,tre_laghi,49,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8859369919954878,0,45.18938,10.79175,42.0
amatour,fartlek,tre_laghi,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.290937672291715,0,45.18938,10.79172167,42.0
amatour,fartlek,tre_laghi,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2082050777659843,0,45.18938167,10.791695,42.0
amatour,fartlek,tre_laghi,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2407852158041353,0,45.18938333,10.79166833,42.0
amatour,fartlek,tre_laghi,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2504608670408386,0,45.18938333,10.79164333,42.0
amatour,fartlek,tre_laghi,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.113387369603397,0,45.189385,10.79161833,42.0
