athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.116302340990605,0.01321543991093723,41.85956,12.56004167,75.0
amatour,progressions,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.619262485824053,0,41.85954167,12.56003,74.0
amatour,progressions,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6880988991870374,0,41.859525,12.56001167,73.0
amatour,progressions,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6125080803337024,0.023616955380800428,41.85951,12.55999333,73.0
amatour,progressions,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.564141982332471,0.02140567777150368,41.859495,12.559975,73.0
amatour,progressions,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6241131452795705,0.030100452211742085,41.85948333,12.55996,72.0
amatour,progressions,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6806525957541645,0.06780352661660215,41.85947167,12.55994333,72.0
amatour,progressions,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.658480136379634,0.08447515445201333,41.85945833,12.55992,72.0
amatour,progressions,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.590218873874061,0.1383491253268381,41.85944667,12.55988833,72.0
amatour,progressions,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6007733160502218,0.18655135754472896,41.85943667,12.55986667,72.0
amatour,progressions,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.640869226576956,0.2598021029102252,41.85942667,12.55984667,72.0
amatour,progressions,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.522742290805042,0.3342199813257099,41.85941833,12.55982667,72.0
amatour,progressions,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.51442895589619,0.44077580863356025,41.859405,12.55980333,72.0
amatour,progressions,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.636715007138453,0.5545097969711303,41.859395,12.55978,73.0
amatour,progressions,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6102626404217992,0.7394118951372982,41.85937833,12.55974833,73.0
amatour,progressions,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5043277107853164,0.9678709037417874,41.85935833,12.55971667,73.0
amatour,progressions,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5822081469636564,1.2517900762214738,41.85934167,12.55968667,73.0
amatour,progressions,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5472328903205694,1.621448492407182,41.85932833,12.55965833,73.0
amatour,progressions,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5370673415352267,2.123678458328751,41.859315,12.55963,73.0
amatour,progressions,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6331934276419062,2.7490978633807184,41.859295,12.559595,74.0
amatour,progressions,acquedotti,21,warmup,medium,keep going,Z1,Z1,Z1,Z1,flat,1.9354686587850716,3.5700861665103916,41.85927333,12.55955667,74.0
amatour,progressions,acquedotti,22,warmup,medium,accelerate,Z1,Z2,Z1,Z1,flat,0.05686322773265308,4.643187380745706,41.85924667,12.55951833,74.0
amatour,progressions,acquedotti,23,warmup,medium,slow down,Z1,Z1,Z1,Z1,flat,0.12903778105777436,6.019818532598981,41.85921833,12.559515,74.0
amatour,progressions,acquedotti,24,warmup,high,accelerate,Z1,Z2,Z1,Z1,flat,-3.9099191350033906,7.81871119643114,41.85918833,12.55952833,74.0
amatour,progressions,acquedotti,25,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.76956055623585,10,41.85910667,12.559585,74.0
amatour,progressions,acquedotti,26,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.31399850589171,10,41.85907333,12.559605,74.0
amatour,progressions,acquedotti,27,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.422446688579093,10,41.85903833,12.55962667,74.0
amatour,progressions,acquedotti,28,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.379092268255299,10,41.859005,12.55964333,75.0
amatour,progressions,acquedotti,29,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.347138533184408,10,41.85897667,12.55965,75.0
amatour,progressions,acquedotti,30,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.478031827832998,10,41.85895667,12.559645,75.0
amatour,progressions,acquedotti,31,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.338146268293834,10,41.85893667,12.55962667,75.0
amatour,progressions,acquedotti,32,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.481511846855673,10,41.85894,12.55959167,75.0
amatour,progressions,acquedotti,33,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.394987471669987,10,41.85893167,12.55955333,74.0
amatour,progressions,acquedotti,34,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.393392360014804,10,41.858935,12.55951333,74.0
amatour,progressions,acquedotti,35,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.475963185718327,10,41.85892,12.55947333,74.0
amatour,progressions,acquedotti,36,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.316716181491531,10,41.85891333,12.559425,74.0
amatour,progressions,acquedotti,37,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.431845235007925,10,41.85890333,12.55939833,74.0
amatour,progressions,acquedotti,38,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4656904956468155,10,41.85889333,12.55939833,74.0
amatour,progressions,acquedotti,39,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.420712697272444,10,41.85887667,12.55938,74.0
amatour,progressions,acquedotti,40,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.368160102936839,10,41.85886333,12.55936,75.0
amatour,progressions,acquedotti,41,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.350673098058771,10,41.85885333,12.559325,75.0
amatour,progressions,acquedotti,42,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.488540536440796,10,41.85884167,12.55930667,75.0
amatour,progressions,acquedotti,43,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.379026299354843,10,41.85882667,12.55928667,75.0
amatour,progressions,acquedotti,44,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.343039500792871,10,41.85881333,12.55925833,75.0
amatour,progressions,acquedotti,45,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.3932461400369585,10,41.85879667,12.55923833,76.0
amatour,progressions,acquedotti,46,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4519882367589085,10,41.85877833,12.55922,76.0
amatour,progressions,acquedotti,47,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.399965928694514,10,41.85876,12.559195,76.0
