athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.011464169706491,0.007042066510253075,45.189325,10.79284167,37.0
amatour,progressions,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6770910563825736,0,45.18932167,10.79282,37.0
amatour,progressions,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.694238169553038,0,45.189325,10.79279833,36.0
amatour,progressions,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.517222619151066,0.0245620517355634,45.18932667,10.79278,35.0
amatour,progressions,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.530807348157517,0.04730035942337089,45.18933167,10.792755,35.0
amatour,progressions,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6970986037430786,0.05397774926416951,45.18933833,10.79272333,34.0
amatour,progressions,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6064848694867693,0.09972303910362212,45.18934167,10.79269167,33.0
amatour,progressions,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.670306107716816,0.12943497947475333,45.18934167,10.792665,32.0
amatour,progressions,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5968857928236426,0.15372329776640473,45.189345,10.79263833,31.0
amatour,progressions,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.657170778053966,0.22061216593701313,45.18935167,10.792615,31.0
amatour,progressions,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5555435207658883,0.2924713585431825,45.189355,10.79258667,30.0
amatour,progressions,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5143109659096923,0.4019039276775342,45.189355,10.79256,29.0
amatour,progressions,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.622937064327312,0.5325791899328692,45.18936,10.79252833,29.0
amatour,progressions,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6074373304643146,0.6886821112759819,45.18936167,10.79250167,28.0
amatour,progressions,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6830688150022524,0.886596432426101,45.18936167,10.79247167,28.0
amatour,progressions,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.664972560992601,1.137966571768226,45.18936333,10.79244,27.0
amatour,progressions,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.631093318831756,1.4941774884849834,45.189365,10.79241,27.0
amatour,progressions,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.66477712944985,1.9256195797650268,45.18936833,10.79238,27.0
amatour,progressions,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5364359718720224,2.489444350941147,45.18937,10.79235,27.0
amatour,progressions,belfiore,20,warmup,medium,keep going,Z1,Z1,Z1,Z1,downhill,2.286573383697718,3.2608242564039047,45.18936833,10.79231833,26.0
amatour,progressions,belfiore,21,warmup,medium,accelerate,Z1,Z2,Z1,Z1,flat,0.48266048583772886,4.259308414308641,45.18937,10.792285,26.0
amatour,progressions,belfiore,22,warmup,medium,slow down,Z1,Z1,Z1,Z1,downhill,1.2765550490191173,5.488576684301828,45.18937,10.79225333,25.0
amatour,progressions,belfiore,23,warmup,high,accelerate,Z1,Z2,Z1,Z1,flat,-2.425476523452737,7.125863604297064,45.18937167,10.79221833,25.0
amatour,progressions,belfiore,24,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-6.140541832176562,9.216670367242818,45.18937333,10.79218667,25.0
amatour,progressions,belfiore,25,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3083289827047695,10,45.189375,10.79215833,25.0
amatour,progressions,belfiore,26,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.481965349386984,10,45.18937333,10.79213167,25.0
amatour,progressions,belfiore,27,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.484056370191345,10,45.18937167,10.792105,24.0
amatour,progressions,belfiore,28,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.446104006352814,10,45.18937,10.792075,24.0
amatour,progressions,belfiore,29,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.496028070031264,10,45.18936667,10.79204167,24.0
amatour,progressions,belfiore,30,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.410328502559543,10,45.18936667,10.79201167,24.0
amatour,progressions,belfiore,31,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.395185393297491,10,45.18936667,10.79198333,24.0
amatour,progressions,belfiore,32,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.339191454711287,10,45.18936667,10.791955,24.0
amatour,progressions,belfiore,33,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.317896673224609,10,45.18936833,10.79193,24.0
amatour,progressions,belfiore,34,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.344601987603331,10,45.18937,10.7919,24.0
amatour,progressions,belfiore,35,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.479007712189901,10,45.18937167,10.79186833,24.0
amatour,progressions,belfiore,36,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4435907238377,10,45.18937333,10.79184,24.0
amatour,progressions,belfiore,37,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3153728621139615,10,45.189375,10.79181333,24.0
amatour,progressions,belfiore,38,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.327089777991061,10,45.18937667,10.79178667,24.0
amatour,progressions,belfiore,39,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.423965891302404,10,45.18937833,10.79176,25.0
amatour,progressions,belfiore,40,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.307167005185413,10,45.18938,10.79173167,25.0
amatour,progressions,belfiore,41,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.437206698615608,10,45.18938,10.791705,25.0
amatour,progressions,belfiore,42,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.406951571755202,10,45.18938333,10.79167833,25.0
amatour,progressions,belfiore,43,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3877433831823645,10,45.18938333,10.79165333,25.0
amatour,progressions,belfiore,44,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.484807147772336,10,45.18938333,10.791625,25.0
amatour,progressions,belfiore,45,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.411675707638655,10,45.18938167,10.79159333,25.0
amatour,progressions,belfiore,46,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.33660741713275,10,45.189385,10.79156667,25.0
amatour,progressions,belfiore,47,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4501359263814155,10,45.18939167,10.79154333,25.0
amatour,progressions,belfiore,48,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.415601881353817,10,45.189395,10.79151667,25.0
amatour,progressions,belfiore,49,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.329628942715961,10,45.18939833,10.79149,25.0
amatour,progressions,belfiore,50,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.333589841788924,10,45.1894,10.79146167,25.0
amatour,progressions,belfiore,51,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.32262327528318,10,45.1894,10.791435,25.0
amatour,progressions,belfiore,52,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.372561037187508,10,45.18940167,10.79140667,25.0
amatour,progressions,belfiore,53,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.445534161634163,10,45.189405,10.79138167,24.0
amatour,progressions,belfiore,54,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4884043551627295,10,45.18940667,10.79135833,24.0
amatour,progressions,belfiore,55,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.409248047493764,10,45.18941,10.79133333,24.0
amatour,progressions,belfiore,56,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.331088980170306,10,45.18941167,10.79131,24.0
amatour,progressions,belfiore,57,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.367400616401105,10,45.18941333,10.79128167,23.0
amatour,progressions,belfiore,58,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.456941656790197,10,45.189415,10.79125167,23.0
amatour,progressions,belfiore,59,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.444364677155486,10,45.18941333,10.79122333,23.0
amatour,progressions,belfiore,60,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.346251806792289,10,45.18941333,10.79119333,23.0
amatour,progressions,belfiore,61,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.365926961566573,10,45.18941667,10.79116667,23.0
amatour,progressions,belfiore,62,warmup,high,keep going,Z1,Z1,Z1,Z1,downhill,-7.427851662160246,10,45.18941833,10.79113667,22.0
amatour,progressions,belfiore,63,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.489420102589037,10,45.18942,10.79111,22.0
amatour,progressions,belfiore,64,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.400860787390911,10,45.18942167,10.791085,22.0
amatour,progressions,belfiore,65,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.336494564809928,10,45.18942,10.791055,22.0
amatour,progressions,belfiore,66,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.45001690574442,10,45.18941833,10.791025,22.0
amatour,progressions,belfiore,67,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.323793555402343,10,45.18941667,10.790995,22.0
amatour,progressions,belfiore,68,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.322521403813501,10,45.18941833,10.79096833,22.0
amatour,progressions,belfiore,69,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.459114800278966,10,45.18941833,10.79094,22.0
amatour,progressions,belfiore,70,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.301176142478811,10,45.18942,10.79091333,22.0
amatour,progressions,belfiore,71,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.491471542865728,10,45.18942,10.79088833,22.0
amatour,progressions,belfiore,72,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3606640590017784,10,45.18941833,10.79086167,22.0
amatour,progressions,belfiore,73,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.431750506945517,10,45.189415,10.79083333,22.0
amatour,progressions,belfiore,74,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.429801073637676,10,45.18941,10.79081167,22.0
amatour,progressions,belfiore,75,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3075451841732475,10,45.18941,10.79079,22.0
amatour,progressions,belfiore,76,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.423690447999784,10,45.18940667,10.79076833,22.0
amatour,progressions,belfiore,77,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.342724939660579,10,45.18940333,10.79074333,22.0
amatour,progressions,belfiore,78,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.40811487116589,10,45.1894,10.79071667,22.0
amatour,progressions,belfiore,79,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.400968138932433,10,45.18939333,10.790695,22.0
amatour,progressions,belfiore,80,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.304145753791923,10,45.18938167,10.79068167,22.0
amatour,progressions,belfiore,81,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.411006571075614,10,45.18936667,10.79067167,22.0
amatour,progressions,belfiore,82,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.368976168005563,10,45.18935333,10.79066,22.0
amatour,progressions,belfiore,83,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.472354965023437,10,45.18933667,10.79065333,22.0
amatour,progressions,belfiore,84,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.307654463785463,10,45.18932167,10.79065333,22.0
amatour,progressions,belfiore,85,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.364675317795193,10,45.18931,10.79064833,22.0
amatour,progressions,belfiore,86,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.448763437369373,10,45.18929833,10.79064667,22.0
amatour,progressions,belfiore,87,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.393379121189831,10,45.18928167,10.790635,22.0
amatour,progressions,belfiore,88,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.453835511695021,10,45.189265,10.79062833,22.0
amatour,progressions,belfiore,89,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.456119349483661,10,45.18924333,10.790625,22.0
amatour,progressions,belfiore,90,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.464843992534113,10,45.189215,10.79060833,22.0
amatour,progressions,belfiore,91,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.397559475888845,10,45.18919667,10.79058667,22.0
amatour,progressions,belfiore,92,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3510550504268135,10,45.18917667,10.790575,22.0
amatour,progressions,belfiore,93,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4658230618339125,10,45.18915833,10.79056333,22.0
amatour,progressions,belfiore,94,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.4705415457900095,10,45.18914333,10.790545,23.0
amatour,progressions,belfiore,95,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.303253907695682,10,45.18912667,10.79052667,23.0
amatour,progressions,belfiore,96,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.4209484669110335,10,45.18911167,10.79050333,24.0
amatour,progressions,belfiore,97,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.456073335286212,10,45.18909667,10.79047833,24.0
amatour,progressions,belfiore,98,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.3830078751125505,10,45.18907833,10.79045667,24.0
amatour,progressions,belfiore,99,warmup,high,keep going,Z1,Z1,Z1,Z1,uphill,-7.4250412358183935,10,45.18906333,10.790435,25.0
