athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,acquedotti,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,3.2608688677065873,0,41.85956,12.56004167,75.0
amatour,recovery,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.293263612661122,0,41.85954167,12.56003,74.0
amatour,recovery,acquedotti,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8418122869996374,0.020460532672648885,41.859525,12.56001167,73.0
amatour,recovery,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2488722874387084,0,41.85951,12.55999333,73.0
amatour,recovery,acquedotti,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.865758705449925,0.018192116519098436,41.859495,12.559975,73.0
amatour,recovery,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2655510461049317,0,41.85948333,12.55996,72.0
amatour,recovery,acquedotti,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7952335287980798,0.006476095196105801,41.85947167,12.55994333,72.0
amatour,recovery,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2450492841612935,0,41.85945833,12.55992,72.0
amatour,recovery,acquedotti,9,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8593662304249967,0.00211074684860888,41.85944667,12.55988833,72.0
amatour,recovery,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1651288240049738,0,41.85943667,12.55986667,72.0
amatour,recovery,acquedotti,11,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1205586197248043,0.03533912997002614,41.85942667,12.55984667,72.0
amatour,recovery,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1458519066528505,0,41.85941833,12.55982667,72.0
amatour,recovery,acquedotti,13,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1901037774957597,0,41.859405,12.55980333,72.0
amatour,recovery,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1273279384712422,0,41.859395,12.55978,73.0
amatour,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5729485524210025,0.013230348911615506,41.85937833,12.55974833,73.0
amatour,recovery,acquedotti,16,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8573118912409328,0.02775529254151789,41.85935833,12.55971667,73.0
amatour,recovery,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2252075988211963,0.03256765629580919,41.85934167,12.55968667,73.0
amatour,recovery,acquedotti,18,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2873482918214005,0.044188428922638474,41.85932833,12.55965833,73.0
amatour,recovery,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1128447351934345,0.05603873653797821,41.859315,12.55963,73.0
amatour,recovery,acquedotti,20,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.2460513752431752,0.08946295858240126,41.859295,12.559595,74.0
