athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,belfiore,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.233273123563397,0.00970040003096709,45.189325,10.79284167,37.0
amatour,recovery,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.215399677545214,0,45.18932167,10.79282,37.0
amatour,recovery,belfiore,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.870923826925696,0,45.189325,10.79279833,36.0
amatour,recovery,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1619390646225964,0,45.18932667,10.79278,35.0
amatour,recovery,belfiore,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7893631023827694,0,45.18933167,10.792755,35.0
amatour,recovery,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.127153248468766,0,45.18933833,10.79272333,34.0
amatour,recovery,belfiore,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7307889964090162,0,45.18934167,10.79269167,33.0
amatour,recovery,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.151268737661825,0,45.18934167,10.792665,32.0
amatour,recovery,belfiore,9,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.806772920550122,0,45.189345,10.79263833,31.0
amatour,recovery,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2278170524857765,0,45.18935167,10.792615,31.0
amatour,recovery,belfiore,11,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1251066933829477,0.02631240366993297,45.189355,10.79258667,30.0
amatour,recovery,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.137190788059927,0.0014742719871067868,45.189355,10.79256,29.0
amatour,recovery,belfiore,13,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1580512438986388,0.03312574125692365,45.18936,10.79252833,29.0
amatour,recovery,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2564317349181686,0,45.18936167,10.79250167,28.0
