athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,tre_laghi,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.3465585023498674,0.008617951864118496,45.18933,10.79333333,93.0
amatour,recovery,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2123527499625406,0,45.18926,10.79329333,91.0
amatour,recovery,tre_laghi,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7166432253584303,0.000470919151139859,45.18926333,10.79323667,90.0
amatour,recovery,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1240166329976296,0,45.18929667,10.79316667,88.0
amatour,recovery,tre_laghi,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8871111092495039,0.02622623488291476,45.18930833,10.793115,85.0
amatour,recovery,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.299608888654563,0.012148329011516315,45.18930667,10.79308167,80.0
amatour,recovery,tre_laghi,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7479613794110815,0.010501982422179233,45.18930833,10.79303667,76.0
amatour,recovery,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.229175087088098,0,45.18930667,10.79298333,72.0
amatour,recovery,tre_laghi,9,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.795227337354837,0.027112834176789617,45.18931333,10.79293833,69.0
amatour,recovery,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2840407311378352,0.009020824635887357,45.189315,10.79289167,66.0
amatour,recovery,tre_laghi,11,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1461887350558233,0.00017596539366732233,45.18931667,10.79285667,64.0
amatour,recovery,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1946901713303966,0,45.18931833,10.792825,61.0
amatour,recovery,tre_laghi,13,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2478291128814272,0,45.18931667,10.79279333,60.0
amatour,recovery,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1174932209138757,0,45.18931667,10.79277167,58.0
amatour,recovery,tre_laghi,15,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2468921517478495,0.03747810328195126,45.18931833,10.79274667,56.0
amatour,recovery,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.268076603486435,0.028943038711728212,45.18932167,10.79271833,55.0
amatour,recovery,tre_laghi,17,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2820629067229743,0.027321342448849043,45.18932333,10.79268833,54.0
amatour,recovery,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2729312288118266,0,45.189325,10.79265167,53.0
amatour,recovery,tre_laghi,19,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1009301607406847,0.010125314243916437,45.18932667,10.792625,52.0
amatour,recovery,tre_laghi,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.165763793033218,0,45.18932667,10.7926,51.0
amatour,recovery,tre_laghi,21,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1232131524731312,0.016464705794271162,45.18933,10.79257333,50.0
amatour,recovery,tre_laghi,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2714590209759744,0.018131571257988564,45.18933,10.79254833,49.0
amatour,recovery,tre_laghi,23,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.26304787828365,0.02380325733991824,45.18932833,10.79251833,48.0
amatour,recovery,tre_laghi,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2197701680713515,0,45.18932833,10.79249,48.0
amatour,recovery,tre_laghi,25,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2754027646864439,0.02188088754391099,45.18932833,10.79246167,47.0
amatour,recovery,tre_laghi,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2610253899421195,0.006990010626516083,45.18933,10.79243167,47.0
amatour,recovery,tre_laghi,27,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1775158770650247,0.022026112192512378,45.18933,10.79240333,46.0
amatour,recovery,tre_laghi,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.238764999087097,0.006928352317844996,45.18933167,10.792375,46.0
amatour,recovery,tre_laghi,29,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2632256706132856,0.041048279583668024,45.18933333,10.79234833,46.0
amatour,recovery,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.117295946421506,0.02534937377039744,45.189335,10.79232,46.0
amatour,recovery,tre_laghi,31,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.1911235802236353,0.0639333820896661,45.18933667,10.79229333,45.0
amatour,recovery,tre_laghi,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.12350506939201,0.034985735008702466,45.18933833,10.79226167,45.0
amatour,recovery,tre_laghi,33,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1508357175648565,0.06369258961244487,45.18934167,10.79223167,45.0
amatour,recovery,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.154480243018047,0.06371545745704799,45.18934667,10.79220167,45.0
amatour,recovery,tre_laghi,35,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2317265096313277,0.1059117479153641,45.18935,10.792175,45.0
amatour,recovery,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.128124665729408,0.1318022713620998,45.18935333,10.79215,44.0
amatour,recovery,tre_laghi,37,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2499440625788087,0.16084366212340034,45.18935667,10.79212167,44.0
amatour,recovery,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1732753014980735,0.2069070404567118,45.18935833,10.79209333,44.0
amatour,recovery,tre_laghi,39,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1566582835993442,0.29307402941830507,45.18935833,10.792065,44.0
amatour,recovery,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.202381128772191,0.35028812465490927,45.18935833,10.79203667,44.0
amatour,recovery,tre_laghi,41,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.179314418216353,0.4527471511874722,45.18936167,10.792005,44.0
amatour,recovery,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.265233595489329,0.5747818928031032,45.189365,10.79197167,43.0
amatour,recovery,tre_laghi,43,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2545533340116215,0.7665561861325999,45.189365,10.79193833,43.0
amatour,recovery,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.104190397105099,0.9593480022841785,45.18936833,10.791905,43.0
amatour,recovery,tre_laghi,45,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1843880672020324,1.2686615155685412,45.18937,10.79187333,43.0
amatour,recovery,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.224357130112515,1.6341858237537734,45.18937167,10.79184333,43.0
amatour,recovery,tre_laghi,47,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1404963773974066,2.113469077710633,45.189375,10.79181167,43.0
amatour,recovery,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1815904896416387,2.7407150922246473,45.18937833,10.79178,42.0
