athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6699889851280245,0,45.189325,10.79284167,37.0
elite,endurance,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.668009245954555,0.0023581558675166976,45.18932167,10.79282,37.0
elite,endurance,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.109272642494978,0,45.189325,10.79279833,36.0
elite,endurance,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.535672878863251,0.013725920212994134,45.18932667,10.79278,35.0
elite,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.679269770608953,0.023550235650873066,45.18933167,10.792755,35.0
elite,endurance,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1719955905801838,0.01803420451750766,45.18933833,10.79272333,34.0
elite,endurance,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.663821176692661,0.008160453962449337,45.18934167,10.79269167,33.0
elite,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6588803086994686,0.008122651566248522,45.18934167,10.792665,32.0
elite,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.583828217968839,0,45.189345,10.79263833,31.0
elite,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6578197259922693,0.0071574735868282224,45.18935167,10.792615,31.0
elite,endurance,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1833395172366314,0.0031827328901392884,45.189355,10.79258667,30.0
elite,endurance,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.549098055692206,0,45.189355,10.79256,29.0
elite,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6133070837698296,0,45.18936,10.79252833,29.0
