athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7469797971707535,0,45.18933,10.79333333,93.0
elite,endurance,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.553068536561863,0,45.18926,10.79329333,91.0
elite,endurance,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.690955876922839,0,45.18926333,10.79323667,90.0
elite,endurance,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6739430602290692,0.007393285499676195,45.18929667,10.79316667,88.0
elite,endurance,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.696536986569063,0.014815733562852922,45.18930833,10.793115,85.0
elite,endurance,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6674967907247513,0.002585317775121458,45.18930667,10.79308167,80.0
elite,endurance,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6075346701591897,0.011222380776638117,45.18930833,10.79303667,76.0
elite,endurance,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6657713684233646,0.003363867914611885,45.18930667,10.79298333,72.0
elite,endurance,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.679704999991458,0.014090771610225,45.18931333,10.79293833,69.0
elite,endurance,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5616024664872756,0.00905078997214871,45.189315,10.79289167,66.0
elite,endurance,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5613866335017983,0.014651667508035562,45.18931667,10.79285667,64.0
elite,endurance,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.574317939419891,0,45.18931833,10.792825,61.0
elite,endurance,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6296086466756323,0.014670511869512277,45.18931667,10.79279333,60.0
elite,endurance,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5445643596632754,0.009103552690960885,45.18931667,10.79277167,58.0
elite,endurance,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5072960932056856,0,45.18931833,10.79274667,56.0
