athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.783231364105556,0,41.85956,12.56004167,75.0
elite,fartlek,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2163655327205065,0,41.85954167,12.56003,74.0
elite,fartlek,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5580192044124654,0.003402644659602703,41.859525,12.56001167,73.0
elite,fartlek,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.640023612702533,0.014006574557265922,41.85951,12.55999333,73.0
elite,fartlek,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.191585703105376,0,41.859495,12.559975,73.0
elite,fartlek,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.164026108782589,0,41.85948333,12.55996,72.0
elite,fartlek,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5740700773214535,0.006095282205494278,41.85947167,12.55994333,72.0
elite,fartlek,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.247314181196249,0,41.85945833,12.55992,72.0
elite,fartlek,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.193080416386741,0,41.85944667,12.55988833,72.0
elite,fartlek,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2742231388622187,0,41.85943667,12.55986667,72.0
elite,fartlek,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2596648408764266,0,41.85942667,12.55984667,72.0
elite,fartlek,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.12573421000529,0,41.85941833,12.55982667,72.0
elite,fartlek,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.24132053096113,0,41.859405,12.55980333,72.0
elite,fartlek,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2187774923786447,0,41.859395,12.55978,73.0
elite,fartlek,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6510872210989405,0.0026465527619921702,41.85937833,12.55974833,73.0
elite,fartlek,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.209767537253606,0,41.85935833,12.55971667,73.0
elite,fartlek,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1630204759571785,0,41.85934167,12.55968667,73.0
elite,fartlek,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2832082812956336,0,41.85932833,12.55965833,73.0
elite,fartlek,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1925173131873703,0,41.859315,12.55963,73.0
elite,fartlek,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2338456401465874,0,41.859295,12.559595,74.0
elite,fartlek,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.532449568301914,0.009241278200543988,41.85927333,12.55955667,74.0
elite,fartlek,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.247165727866364,0,41.85924667,12.55951833,74.0
elite,fartlek,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1833542185492867,0,41.85921833,12.559515,74.0
elite,fartlek,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.170448184771135,0,41.85918833,12.55952833,74.0
elite,fartlek,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.135372409783169,0,41.85910667,12.559585,74.0
elite,fartlek,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1510783265660796,0,41.85907333,12.559605,74.0
elite,fartlek,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1112328409004713,0,41.85903833,12.55962667,74.0
elite,fartlek,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1840380661204115,0,41.859005,12.55964333,75.0
elite,fartlek,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5183849478074074,0.011859774380545099,41.85897667,12.55965,75.0
elite,fartlek,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.195591165844895,0,41.85895667,12.559645,75.0
elite,fartlek,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.133626219376405,0,41.85893667,12.55962667,75.0
elite,fartlek,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1075765744945985,0,41.85894,12.55959167,75.0
elite,fartlek,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.170211942013252,0,41.85893167,12.55955333,74.0
elite,fartlek,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5324194504833986,0.013268352467943837,41.858935,12.55951333,74.0
