athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6600077467232053,0,45.189325,10.79284167,37.0
elite,fartlek,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.514386528675646,0,45.18932167,10.79282,37.0
elite,fartlek,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.181288921099415,0,45.189325,10.79279833,36.0
elite,fartlek,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.541874031340716,0.010009953211573306,45.18932667,10.79278,35.0
elite,fartlek,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5612444631948597,0.022116366343186526,45.18933167,10.792755,35.0
elite,fartlek,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2402948635301763,0.01312223600611248,45.18933833,10.79272333,34.0
elite,fartlek,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.669165559749378,0,45.18934167,10.79269167,33.0
elite,fartlek,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.612767466417647,0,45.18934167,10.792665,32.0
elite,fartlek,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.660174072161641,0.004871785143188431,45.189345,10.79263833,31.0
elite,fartlek,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6060313574435634,0.016313025933806142,45.18935167,10.792615,31.0
elite,fartlek,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1036316055009476,0.008884885940948212,45.189355,10.79258667,30.0
elite,fartlek,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.517251567272638,0.009123424345517847,45.189355,10.79256,29.0
elite,fartlek,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.619507635191726,0.008282414928516876,45.18936,10.79252833,29.0
elite,fartlek,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.114013767951694,0.005244953828544683,45.18936167,10.79250167,28.0
elite,fartlek,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5194817731995696,0,45.18936167,10.79247167,28.0
elite,fartlek,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1760131841974,0,45.18936333,10.79244,27.0
elite,fartlek,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6950147817183536,0.00330172912216043,45.189365,10.79241,27.0
elite,fartlek,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.210701042485701,0,45.18936833,10.79238,27.0
elite,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.238727227992258,0.0003875898156049797,45.18937,10.79235,27.0
elite,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.117763762660112,0,45.18936833,10.79231833,26.0
elite,fartlek,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6009051775185896,0.005337202644959921,45.18937,10.792285,26.0
elite,fartlek,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1249503222965904,0,45.18937,10.79225333,25.0
elite,fartlek,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.602393767122488,0,45.18937167,10.79221833,25.0
elite,fartlek,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2103024981820028,0,45.18937333,10.79218667,25.0
elite,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.290275073866363,0,45.189375,10.79215833,25.0
elite,fartlek,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.289328838775413,0.0005956467671725512,45.18937333,10.79213167,25.0
elite,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2520742957133066,0,45.18937167,10.792105,24.0
elite,fartlek,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.616662630740886,0,45.18937,10.792075,24.0
elite,fartlek,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1127768413130537,0,45.18936667,10.79204167,24.0
elite,fartlek,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.10199932322381,0,45.18936667,10.79201167,24.0
elite,fartlek,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2802144636194486,0,45.18936667,10.79198333,24.0
elite,fartlek,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.291779862947191,0,45.18936667,10.791955,24.0
elite,fartlek,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.188711311944905,0,45.18936833,10.79193,24.0
elite,fartlek,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.198517391836711,0,45.18937,10.7919,24.0
elite,fartlek,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.152236857497368,0,45.18937167,10.79186833,24.0
elite,fartlek,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1328781566106727,0,45.18937333,10.79184,24.0
elite,fartlek,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.184061308269657,0,45.189375,10.79181333,24.0
elite,fartlek,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2284859798184806,0,45.18937667,10.79178667,24.0
elite,fartlek,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1126882432989866,0,45.18937833,10.79176,25.0
elite,fartlek,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5722390864766846,0.009530653563210839,45.18938,10.79173167,25.0
elite,fartlek,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2371590951761213,0.004786304581309881,45.18938,10.791705,25.0
elite,fartlek,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1378151655663786,0,45.18938333,10.79167833,25.0
elite,fartlek,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.10095522259705,0,45.18938333,10.79165333,25.0
elite,fartlek,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1730391634766164,0,45.18938333,10.791625,25.0
elite,fartlek,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.164631208371219,0,45.18938167,10.79159333,25.0
elite,fartlek,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2698516698713913,0,45.189385,10.79156667,25.0
elite,fartlek,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.151503212820459,0,45.18939167,10.79154333,25.0
elite,fartlek,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1929347373447494,0,45.189395,10.79151667,25.0
elite,fartlek,belfiore,49,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.158100063135227,0,45.18939833,10.79149,25.0
elite,fartlek,belfiore,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2695335142892783,0,45.1894,10.79146167,25.0
elite,fartlek,belfiore,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2631683994497305,0,45.1894,10.791435,25.0
elite,fartlek,belfiore,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.254556797015156,0,45.18940167,10.79140667,25.0
elite,fartlek,belfiore,53,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.100432109401757,0,45.189405,10.79138167,24.0
elite,fartlek,belfiore,54,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6253657178273153,0.009469612184265076,45.18940667,10.79135833,24.0
elite,fartlek,belfiore,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.28076189507351,0.007048243062345691,45.18941,10.79133333,24.0
elite,fartlek,belfiore,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.218177139940955,0.004408806296085335,45.18941167,10.79131,24.0
elite,fartlek,belfiore,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.231522148800687,0,45.18941333,10.79128167,23.0
elite,fartlek,belfiore,58,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6625045780521384,0,45.189415,10.79125167,23.0
elite,fartlek,belfiore,59,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2043019334755782,0,45.18941333,10.79122333,23.0
elite,fartlek,belfiore,60,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.286616383753056,0,45.18941333,10.79119333,23.0
elite,fartlek,belfiore,61,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1857663547019155,0,45.18941667,10.79116667,23.0
elite,fartlek,belfiore,62,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2788405341579963,0,45.18941833,10.79113667,22.0
elite,fartlek,belfiore,63,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.633594901125586,0,45.18942,10.79111,22.0
elite,fartlek,belfiore,64,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1002576557640817,0,45.18942167,10.791085,22.0
elite,fartlek,belfiore,65,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.227087282212259,0,45.18942,10.791055,22.0
elite,fartlek,belfiore,66,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1656434898983474,0,45.18941833,10.791025,22.0
elite,fartlek,belfiore,67,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1660200110221006,0,45.18941667,10.790995,22.0
elite,fartlek,belfiore,68,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2066963566772255,0,45.18941833,10.79096833,22.0
elite,fartlek,belfiore,69,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2849194551021914,0,45.18941833,10.79094,22.0
elite,fartlek,belfiore,70,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2282324176111308,0,45.18942,10.79091333,22.0
elite,fartlek,belfiore,71,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2196289803370206,0,45.18942,10.79088833,22.0
elite,fartlek,belfiore,72,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.127528774894034,0,45.18941833,10.79086167,22.0
elite,fartlek,belfiore,73,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.170242474471816,0,45.189415,10.79083333,22.0
elite,fartlek,belfiore,74,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.189463055379595,0,45.18941,10.79081167,22.0
