athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.789498841018649,0,45.18933,10.79333333,93.0
elite,fartlek,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6050474483318635,0.011725315191564408,45.18926,10.79329333,91.0
elite,fartlek,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5281366277323434,0.020091670180971116,45.18926333,10.79323667,90.0
elite,fartlek,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6873914706208137,0.025831727090473707,45.18929667,10.79316667,88.0
elite,fartlek,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5861324535243155,0.029174815274544307,45.18930833,10.793115,85.0
elite,fartlek,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5854323993308745,0.027870697761015025,45.18930667,10.79308167,80.0
elite,fartlek,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.636574162369858,0.020409083324099457,45.18930833,10.79303667,76.0
elite,fartlek,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.651608765119185,0.003958072161217098,45.18930667,10.79298333,72.0
elite,fartlek,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.53991359736758,0,45.18931333,10.79293833,69.0
elite,fartlek,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5458298004017275,0,45.189315,10.79289167,66.0
elite,fartlek,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6485118252748374,0.005013840031290548,45.18931667,10.79285667,64.0
elite,fartlek,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6763051748549898,0,45.18931833,10.792825,61.0
elite,fartlek,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.680441904440039,0,45.18931667,10.79279333,60.0
elite,fartlek,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.518333621435026,0.009234664978638705,45.18931667,10.79277167,58.0
elite,fartlek,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6208240505322444,0.016192664287254233,45.18931833,10.79274667,56.0
elite,fartlek,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.678622154200038,0.012071861772581544,45.18932167,10.79271833,55.0
elite,fartlek,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5527075393521845,0.0033633101080195243,45.18932333,10.79268833,54.0
elite,fartlek,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5234745876637787,0,45.189325,10.79265167,53.0
elite,fartlek,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5663800047876655,0.007640504857922646,45.18932667,10.792625,52.0
elite,fartlek,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6401513272554498,0,45.18932667,10.7926,51.0
elite,fartlek,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5866200834221673,0.00023011503478252864,45.18933,10.79257333,50.0
elite,fartlek,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.667938634477731,0,45.18933,10.79254833,49.0
elite,fartlek,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6422804381640796,0.0015148818446472508,45.18932833,10.79251833,48.0
elite,fartlek,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6359057798051113,0.0044568748966494955,45.18932833,10.79249,48.0
elite,fartlek,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2180348446661804,0,45.18932833,10.79246167,47.0
elite,fartlek,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.543144056766117,0,45.18933,10.79243167,47.0
elite,fartlek,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2187676969579613,0,45.18933,10.79240333,46.0
elite,fartlek,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.666320584213035,0.01367045059990505,45.18933167,10.792375,46.0
elite,fartlek,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.173642522426024,0.009375887340145278,45.18933333,10.79234833,46.0
elite,fartlek,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.147541931247606,0,45.189335,10.79232,46.0
elite,fartlek,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1921958028462343,0,45.18933667,10.79229333,45.0
elite,fartlek,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.52490820176983,0.010816587654657794,45.18933833,10.79226167,45.0
elite,fartlek,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2620865673338257,0,45.18934167,10.79223167,45.0
elite,fartlek,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2221497525294263,0,45.18934667,10.79220167,45.0
elite,fartlek,tre_laghi,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.293920936684774,0,45.18935,10.792175,45.0
elite,fartlek,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.29578253048131,0,45.18935333,10.79215,44.0
elite,fartlek,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6822598597702934,0,45.18935667,10.79212167,44.0
elite,fartlek,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1084462817267395,0,45.18935833,10.79209333,44.0
elite,fartlek,tre_laghi,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2542871298325347,0,45.18935833,10.792065,44.0
elite,fartlek,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.142366484482135,0,45.18935833,10.79203667,44.0
elite,fartlek,tre_laghi,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2537230534932906,0,45.18936167,10.792005,44.0
elite,fartlek,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2202491284859884,0,45.189365,10.79197167,43.0
elite,fartlek,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6301374470710313,0.01050877767936297,45.189365,10.79193833,43.0
elite,fartlek,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.164219442247312,0,45.18936833,10.791905,43.0
elite,fartlek,tre_laghi,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2256106519607566,0,45.18937,10.79187333,43.0
elite,fartlek,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1668092099950487,0,45.18937167,10.79184333,43.0
elite,fartlek,tre_laghi,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1304673281873674,0,45.189375,10.79181167,43.0
elite,fartlek,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.137316548556694,0,45.18937833,10.79178,42.0
elite,fartlek,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5636534978795655,0.002784412760888527,45.18938,10.79175,42.0
elite,fartlek,tre_laghi,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.138749859500377,0,45.18938,10.79172167,42.0
elite,fartlek,tre_laghi,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1879820386658886,0,45.18938167,10.791695,42.0
elite,fartlek,tre_laghi,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2106650194932844,0,45.18938333,10.79166833,42.0
