athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.675034981838551,0,45.189325,10.79284167,37.0
elite,progressions,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.547902530019511,0.009882867851852085,45.18932167,10.79282,37.0
elite,progressions,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1296342963600265,0,45.189325,10.79279833,36.0
elite,progressions,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.583993872366621,0,45.18932667,10.79278,35.0
elite,progressions,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5999664223518493,0.006313007345058047,45.18933167,10.792755,35.0
elite,progressions,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2910931008556745,0.0022329225973216874,45.18933833,10.79272333,34.0
elite,progressions,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.656465018779522,0,45.18934167,10.79269167,33.0
elite,progressions,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6805346082263743,0,45.18934167,10.792665,32.0
elite,progressions,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5826756073247,0,45.189345,10.79263833,31.0
elite,progressions,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6407221927184956,0,45.18935167,10.792615,31.0
elite,progressions,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1228841614630247,0,45.189355,10.79258667,30.0
elite,progressions,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5667639613594613,0,45.189355,10.79256,29.0
elite,progressions,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5757932851148895,0.0035795868473663325,45.18936,10.79252833,29.0
elite,progressions,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2871683295643046,0.004707263292175844,45.18936167,10.79250167,28.0
elite,progressions,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.507215427872679,0,45.18936167,10.79247167,28.0
elite,progressions,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2138077031857475,0,45.18936333,10.79244,27.0
elite,progressions,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.606431699060193,0.0019562738307702544,45.189365,10.79241,27.0
elite,progressions,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.115655595625652,0,45.18936833,10.79238,27.0
elite,progressions,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1719472319190567,0,45.18937,10.79235,27.0
elite,progressions,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.135078671475851,0.001960011543535107,45.18936833,10.79231833,26.0
elite,progressions,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6392462225443696,0.00413538756160719,45.18937,10.792285,26.0
elite,progressions,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.15449021553064,0,45.18937,10.79225333,25.0
elite,progressions,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.619522312655229,0,45.18937167,10.79221833,25.0
elite,progressions,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.154411278888949,0,45.18937333,10.79218667,25.0
elite,progressions,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2102971467761305,0,45.189375,10.79215833,25.0
elite,progressions,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2796435664401065,0,45.18937333,10.79213167,25.0
elite,progressions,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1044727325215677,0.0016082304421305134,45.18937167,10.792105,24.0
elite,progressions,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.530188837410595,0.011229805587729416,45.18937,10.792075,24.0
elite,progressions,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1910357748847282,0.005289333075948046,45.18936667,10.79204167,24.0
elite,progressions,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2604763169346653,0,45.18936667,10.79201167,24.0
elite,progressions,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.24478333611081,0,45.18936667,10.79198333,24.0
elite,progressions,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2042720327684275,0,45.18936667,10.791955,24.0
elite,progressions,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2218450457335237,0,45.18936833,10.79193,24.0
elite,progressions,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1724634331529757,0,45.18937,10.7919,24.0
elite,progressions,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.273869591170945,0,45.18937167,10.79186833,24.0
elite,progressions,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1803790159661873,0.00027707181468527296,45.18937333,10.79184,24.0
elite,progressions,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1203585133707654,0,45.189375,10.79181333,24.0
