athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7587132315931693,0,45.18933,10.79333333,93.0
elite,progressions,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.620088725430691,0.0007848353998949349,45.18926,10.79329333,91.0
elite,progressions,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.548300374995604,0.005789268379887801,45.18926333,10.79323667,90.0
elite,progressions,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.60399554998141,0,45.18929667,10.79316667,88.0
elite,progressions,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5906961924720835,0,45.18930833,10.793115,85.0
elite,progressions,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.608074851583764,0.005844332607820543,45.18930667,10.79308167,80.0
elite,progressions,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6559469860935985,0,45.18930833,10.79303667,76.0
elite,progressions,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.654117908270637,0.003660330823194609,45.18930667,10.79298333,72.0
elite,progressions,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.616051685243177,0,45.18931333,10.79293833,69.0
elite,progressions,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5519744408211245,0,45.189315,10.79289167,66.0
elite,progressions,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6942334996597115,0.012375600141079331,45.18931667,10.79285667,64.0
elite,progressions,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.533441304815698,0.014100108004571033,45.18931833,10.792825,61.0
elite,progressions,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5390148143589073,0.018097873325334992,45.18931667,10.79279333,60.0
elite,progressions,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.642669923177137,0.006830296617728646,45.18931667,10.79277167,58.0
elite,progressions,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.637069733248225,0,45.18931833,10.79274667,56.0
elite,progressions,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6017112037329646,0.011965797639716147,45.18932167,10.79271833,55.0
elite,progressions,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6843965379045165,0.014795454092967454,45.18932333,10.79268833,54.0
elite,progressions,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.640129265099728,0.016970284471684118,45.189325,10.79265167,53.0
elite,progressions,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5323990126920197,0.013566459830866226,45.18932667,10.792625,52.0
elite,progressions,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5907329773147585,0,45.18932667,10.7926,51.0
elite,progressions,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6542744101045304,0,45.18933,10.79257333,50.0
elite,progressions,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6074286278084147,0,45.18933,10.79254833,49.0
elite,progressions,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.630374748507599,0,45.18932833,10.79251833,48.0
elite,progressions,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.572293935983835,0,45.18932833,10.79249,48.0
elite,progressions,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2434255229048796,0,45.18932833,10.79246167,47.0
elite,progressions,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5392811505932786,0,45.18933,10.79243167,47.0
elite,progressions,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.225344860374008,0,45.18933,10.79240333,46.0
