athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.152044843221245,0.011902919815605376,45.189325,10.79284167,37.0
elite,recovery,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6029932656190677,0.011891731581486067,45.18932167,10.79282,37.0
elite,recovery,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.686235546091105,0.0030574603802850067,45.189325,10.79279833,36.0
elite,recovery,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5183960585807452,0,45.18932667,10.79278,35.0
elite,recovery,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5069082002967082,0,45.18933167,10.792755,35.0
elite,recovery,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.643861106184704,0,45.18933833,10.79272333,34.0
elite,recovery,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.682881319026402,0,45.18934167,10.79269167,33.0
elite,recovery,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.63463088549216,0,45.18934167,10.792665,32.0
elite,recovery,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6702195119388277,0.003991509224654886,45.189345,10.79263833,31.0
elite,recovery,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6254963567966323,0.004328821036213534,45.18935167,10.792615,31.0
elite,recovery,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5066202836580653,0.00720164356315132,45.189355,10.79258667,30.0
elite,recovery,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6316414042056233,0.007886810097357961,45.189355,10.79256,29.0
elite,recovery,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.56925673318634,0.012637089092880293,45.18936,10.79252833,29.0
elite,recovery,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.523505098120716,0,45.18936167,10.79250167,28.0
elite,recovery,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6937076881924535,0,45.18936167,10.79247167,28.0
elite,recovery,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.618095486351171,0,45.18936333,10.79244,27.0
elite,recovery,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5174183971646804,0.004939806373467852,45.189365,10.79241,27.0
elite,recovery,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6749046103411844,0.003960273190293467,45.18936833,10.79238,27.0
elite,recovery,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5493310998730845,0,45.18937,10.79235,27.0
elite,recovery,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5459409933937045,0,45.18936833,10.79231833,26.0
elite,recovery,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.601647630244761,0,45.18937,10.792285,26.0
elite,recovery,belfiore,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.538953402665187,0.009337978293672434,45.18937,10.79225333,25.0
elite,recovery,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6033276016600597,0.013444932172796195,45.18937167,10.79221833,25.0
elite,recovery,belfiore,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6065005727425428,0.020278696663742428,45.18937333,10.79218667,25.0
elite,recovery,belfiore,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6232341449167498,0.00896225793470268,45.189375,10.79215833,25.0
elite,recovery,belfiore,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.575899985414637,0.018413005004897443,45.18937333,10.79213167,25.0
elite,recovery,belfiore,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.643252804245264,0.002658470744623716,45.18937167,10.792105,24.0
elite,recovery,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6596157137245515,0.001221160431829811,45.18937,10.792075,24.0
elite,recovery,belfiore,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.585297485256955,0.01363436012325508,45.18936667,10.79204167,24.0
elite,recovery,belfiore,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5112845685093292,0.009002337841115702,45.18936667,10.79201167,24.0
elite,recovery,belfiore,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.682349402531828,0.012957445676875803,45.18936667,10.79198333,24.0
elite,recovery,belfiore,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.515567611932443,0.005731169669864925,45.18936667,10.791955,24.0
elite,recovery,belfiore,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5586881926378364,0.014129354868559164,45.18936833,10.79193,24.0
elite,recovery,belfiore,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5305796949356023,0,45.18937,10.7919,24.0
elite,recovery,belfiore,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.606925842492143,0,45.18937167,10.79186833,24.0
elite,recovery,belfiore,36,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6521991580862005,0,45.18937333,10.79184,24.0
elite,recovery,belfiore,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6003440550738346,0.0027049110742213005,45.189375,10.79181333,24.0
elite,recovery,belfiore,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.693685988793954,0,45.18937667,10.79178667,24.0
elite,recovery,belfiore,39,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6896917310434847,0.011648931297186603,45.18937833,10.79176,25.0
elite,recovery,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5512047223627348,0.012086571351318158,45.18938,10.79173167,25.0
elite,recovery,belfiore,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.617505402500489,0.006271464541771927,45.18938,10.791705,25.0
elite,recovery,belfiore,42,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.652992230745893,0,45.18938333,10.79167833,25.0
elite,recovery,belfiore,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.518172567586063,0.005752858903085532,45.18938333,10.79165333,25.0
elite,recovery,belfiore,44,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5643942449808836,0,45.18938333,10.791625,25.0
elite,recovery,belfiore,45,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5639036606014627,0,45.18938167,10.79159333,25.0
elite,recovery,belfiore,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.674603629348083,0,45.189385,10.79156667,25.0
elite,recovery,belfiore,47,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.543682162430122,0.013424936117190414,45.18939167,10.79154333,25.0
elite,recovery,belfiore,48,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6890030279515864,0.007374789434546799,45.189395,10.79151667,25.0
elite,recovery,belfiore,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.629141225946014,0.01704515574777249,45.18939833,10.79149,25.0
elite,recovery,belfiore,50,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6833617683797764,0.009954783589182684,45.1894,10.79146167,25.0
elite,recovery,belfiore,51,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5022457410096988,0.018597419808982565,45.1894,10.791435,25.0
elite,recovery,belfiore,52,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.571762956069399,0.0061423712198754405,45.18940167,10.79140667,25.0
elite,recovery,belfiore,53,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.605745207786728,0,45.189405,10.79138167,24.0
elite,recovery,belfiore,54,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6551803698190293,0.0023060335632569006,45.18940667,10.79135833,24.0
elite,recovery,belfiore,55,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6327976838535907,0,45.18941,10.79133333,24.0
elite,recovery,belfiore,56,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.535686987559863,0.013452695311777459,45.18941167,10.79131,24.0
elite,recovery,belfiore,57,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.651015693552813,0.008297224339566525,45.18941333,10.79128167,23.0
elite,recovery,belfiore,58,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.595044088484408,0.006872449953587997,45.189415,10.79125167,23.0
elite,recovery,belfiore,59,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6095900333683275,0.00944415189056887,45.18941333,10.79122333,23.0
elite,recovery,belfiore,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6717479800273654,0.0185846413838454,45.18941333,10.79119333,23.0
elite,recovery,belfiore,61,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6472272685718288,0.0142404915137345,45.18941667,10.79116667,23.0
elite,recovery,belfiore,62,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.572179768118558,0.004949712202732387,45.18941833,10.79113667,22.0
elite,recovery,belfiore,63,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.676160480040142,0,45.18942,10.79111,22.0
elite,recovery,belfiore,64,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6912331275585175,0.0007341306184798492,45.18942167,10.791085,22.0
elite,recovery,belfiore,65,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.619860397496156,0.015246654086193311,45.18942,10.791055,22.0
elite,recovery,belfiore,66,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.562357651945083,0.008579076618674322,45.18941833,10.791025,22.0
elite,recovery,belfiore,67,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5749823444519095,0.009963515797605986,45.18941667,10.790995,22.0
elite,recovery,belfiore,68,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.537036968255409,0.0019671271070527564,45.18941833,10.79096833,22.0
elite,recovery,belfiore,69,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6235201465468454,0.011570910785654228,45.18941833,10.79094,22.0
elite,recovery,belfiore,70,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6956683713656773,0.012334824780173495,45.18942,10.79091333,22.0
elite,recovery,belfiore,71,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5585119682966635,0.023204431035710456,45.18942,10.79088833,22.0
elite,recovery,belfiore,72,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.518436008608128,0.02416886891114601,45.18941833,10.79086167,22.0
elite,recovery,belfiore,73,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.689294576379208,0.019215396042205127,45.189415,10.79083333,22.0
elite,recovery,belfiore,74,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5584680836335503,0.025466592030372052,45.18941,10.79081167,22.0
elite,recovery,belfiore,75,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.593593697004754,0.01318053935777973,45.18941,10.79079,22.0
elite,recovery,belfiore,76,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.682621967467357,0.005984766121967411,45.18940667,10.79076833,22.0
elite,recovery,belfiore,77,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.64555138162745,0.01850430169749056,45.18940333,10.79074333,22.0
elite,recovery,belfiore,78,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.666991591157698,0.010813391358632601,45.1894,10.79071667,22.0
elite,recovery,belfiore,79,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.528794373775561,0,45.18939333,10.790695,22.0
elite,recovery,belfiore,80,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5820868189370927,0,45.18938167,10.79068167,22.0
elite,recovery,belfiore,81,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6342657860704577,0,45.18936667,10.79067167,22.0
elite,recovery,belfiore,82,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.630195276643014,0,45.18935333,10.79066,22.0
elite,recovery,belfiore,83,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5725296743800516,0.010204504869021884,45.18933667,10.79065333,22.0
elite,recovery,belfiore,84,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5597083881446165,0.009922392434374079,45.18932167,10.79065333,22.0
elite,recovery,belfiore,85,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.642601266537034,0,45.18931,10.79064833,22.0
