athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.12286230174288,0,45.18933,10.79333333,93.0
elite,recovery,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6048175606920774,0,45.18926,10.79329333,91.0
elite,recovery,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.581914323104284,0,45.18926333,10.79323667,90.0
elite,recovery,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.59242408876496,0.007819655161481278,45.18929667,10.79316667,88.0
elite,recovery,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5607231840000133,0,45.18930833,10.793115,85.0
elite,recovery,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.53699360750927,0.007824696750489111,45.18930667,10.79308167,80.0
elite,recovery,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.582562242994737,0,45.18930833,10.79303667,76.0
elite,recovery,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.519710110204141,0.0010093968146174179,45.18930667,10.79298333,72.0
elite,recovery,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6996436381796114,0,45.18931333,10.79293833,69.0
elite,recovery,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6448519288935928,0,45.189315,10.79289167,66.0
elite,recovery,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5012321991156914,0,45.18931667,10.79285667,64.0
elite,recovery,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5149322348635814,0,45.18931833,10.792825,61.0
elite,recovery,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5204045831767274,0,45.18931667,10.79279333,60.0
elite,recovery,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.50961542184555,0,45.18931667,10.79277167,58.0
elite,recovery,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.654092184238906,0.013497126346001281,45.18931833,10.79274667,56.0
elite,recovery,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5526137422558266,0.02302035767398453,45.18932167,10.79271833,55.0
elite,recovery,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.675403257601713,0.02708136602362931,45.18932333,10.79268833,54.0
elite,recovery,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.651540867320465,0.009585781204099544,45.189325,10.79265167,53.0
elite,recovery,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.529754090276132,0.02059400510755086,45.18932667,10.792625,52.0
elite,recovery,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.520408144663142,0.02164063202480349,45.18932667,10.7926,51.0
elite,recovery,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.54476458702798,0.01303048858841416,45.18933,10.79257333,50.0
elite,recovery,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5717707428892984,0,45.18933,10.79254833,49.0
elite,recovery,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.695876225080442,0,45.18932833,10.79251833,48.0
elite,recovery,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.677127556239049,0,45.18932833,10.79249,48.0
elite,recovery,tre_laghi,25,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6842441959398666,0.004889935654245419,45.18932833,10.79246167,47.0
elite,recovery,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.627796848547538,0.005626587780961596,45.18933,10.79243167,47.0
elite,recovery,tre_laghi,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6405077913461397,0.0155151186027755,45.18933,10.79240333,46.0
elite,recovery,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.628870826874214,0.017152043077178134,45.18933167,10.792375,46.0
elite,recovery,tre_laghi,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5776719705389346,0.008456693849654879,45.18933333,10.79234833,46.0
elite,recovery,tre_laghi,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6510503629287854,0,45.189335,10.79232,46.0
elite,recovery,tre_laghi,31,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.569537922674737,0.0031312822541880642,45.18933667,10.79229333,45.0
elite,recovery,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.545738411847667,0.012145004160989872,45.18933833,10.79226167,45.0
elite,recovery,tre_laghi,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.566795515223753,0.014129745726767605,45.18934167,10.79223167,45.0
elite,recovery,tre_laghi,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.591299136641547,0.012771969614374767,45.18934667,10.79220167,45.0
elite,recovery,tre_laghi,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.567404998188525,0.019033218440312,45.18935,10.792175,45.0
elite,recovery,tre_laghi,36,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6270032496691753,0.01478146445753414,45.18935333,10.79215,44.0
