athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.148993238519922,0,41.85956,12.56004167,75.0
runner,endurance,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.594008709749101,0,41.85954167,12.56003,74.0
runner,endurance,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.533898026694016,0.021239709268828448,41.859525,12.56001167,73.0
runner,endurance,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6373660003547887,0.026470744055316534,41.85951,12.55999333,73.0
runner,endurance,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.699313429713017,0.036186391677077316,41.859495,12.559975,73.0
runner,endurance,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.546552036561127,0.05682712160251874,41.85948333,12.55996,72.0
runner,endurance,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5725431391345066,0.07583774727304507,41.85947167,12.55994333,72.0
runner,endurance,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.668795451696821,0.06308584494870666,41.85945833,12.55992,72.0
runner,endurance,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5530164936740856,0.05465812580036509,41.85944667,12.55988833,72.0
runner,endurance,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5265655308607697,0.055034341858292264,41.85943667,12.55986667,72.0
runner,endurance,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6489217964103884,0.06514900047807169,41.85942667,12.55984667,72.0
runner,endurance,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6861837692679593,0.08034237614553051,41.85941833,12.55982667,72.0
runner,endurance,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6596967247618797,0.08618638135847796,41.859405,12.55980333,72.0
runner,endurance,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5490576513563346,0.08684654843654528,41.859395,12.55978,73.0
runner,endurance,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.583365332948242,0.09674221279603985,41.85937833,12.55974833,73.0
runner,endurance,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6237870274034907,0.1015944616197338,41.85935833,12.55971667,73.0
runner,endurance,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5522530582497924,0.10973243978297705,41.85934167,12.55968667,73.0
runner,endurance,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.614547216525405,0.09939744162132755,41.85932833,12.55965833,73.0
runner,endurance,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.651413108703693,0.09355035859015247,41.859315,12.55963,73.0
runner,endurance,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5653580891666103,0.10205806765267207,41.859295,12.559595,74.0
runner,endurance,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5030154036290364,0.08947762750458475,41.85927333,12.55955667,74.0
runner,endurance,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.556060800223509,0.10881183500505523,41.85924667,12.55951833,74.0
runner,endurance,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6649954847431374,0.12947046117838898,41.85921833,12.559515,74.0
runner,endurance,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6170283135051458,0.12757934394086978,41.85918833,12.55952833,74.0
runner,endurance,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.596745030634767,0.12613853384086995,41.85910667,12.559585,74.0
runner,endurance,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.616098324808073,0.12535128505254553,41.85907333,12.559605,74.0
