athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.1141000853423275,0.017889552981613578,45.189325,10.79284167,37.0
runner,endurance,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.697623991279257,0.023993120215403327,45.18932167,10.79282,37.0
runner,endurance,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6190217118240473,0.031025115330571354,45.189325,10.79279833,36.0
runner,endurance,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.666407841769055,0.04045124134023493,45.18932667,10.79278,35.0
runner,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.520203168186595,0.05513911362516064,45.18933167,10.792755,35.0
runner,endurance,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.674410974114675,0.03730798301856818,45.18933833,10.79272333,34.0
runner,endurance,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5877472145441165,0.03563704452947593,45.18934167,10.79269167,33.0
runner,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.685337311463014,0.04129349006012234,45.18934167,10.792665,32.0
runner,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5793354350175575,0.05186520227560182,45.189345,10.79263833,31.0
runner,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5910171691083193,0.04726303753793519,45.18935167,10.792615,31.0
runner,endurance,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.626679199175645,0.04196120267043895,45.189355,10.79258667,30.0
runner,endurance,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5290291353635874,0.027637222232832,45.189355,10.79256,29.0
runner,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5302964408839923,0.04273847356504578,45.18936,10.79252833,29.0
runner,endurance,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5177618588589477,0.051411519829393265,45.18936167,10.79250167,28.0
runner,endurance,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5405897842930583,0.07194888155685858,45.18936167,10.79247167,28.0
runner,endurance,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5974695302325013,0.08343246958266487,45.18936333,10.79244,27.0
runner,endurance,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6792669380569527,0.07501479098539639,45.189365,10.79241,27.0
runner,endurance,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.615955639487747,0.09500872559340587,45.18936833,10.79238,27.0
runner,endurance,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.648984767039163,0.07754569718894577,45.18937,10.79235,27.0
runner,endurance,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6611712247644954,0.09105700759965062,45.18936833,10.79231833,26.0
runner,endurance,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.663054287606589,0.10689900975948859,45.18937,10.792285,26.0
runner,endurance,belfiore,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.510013575290179,0.10881046659268645,45.18937,10.79225333,25.0
runner,endurance,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5002090309601352,0.09635553191443291,45.18937167,10.79221833,25.0
runner,endurance,belfiore,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6692567682538266,0.08470354315972002,45.18937333,10.79218667,25.0
runner,endurance,belfiore,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.577381750472436,0.09098129590530914,45.189375,10.79215833,25.0
runner,endurance,belfiore,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6243211914979945,0.11221409227923348,45.18937333,10.79213167,25.0
runner,endurance,belfiore,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5198135864078797,0.1288817603738405,45.18937167,10.792105,24.0
runner,endurance,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6223079584297344,0.11730173372270088,45.18937,10.792075,24.0
