athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,endurance,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.039388970733096,0.020301701336214624,45.18933,10.79333333,93.0
runner,endurance,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6465518002239636,0.019667761979541305,45.18926,10.79329333,91.0
runner,endurance,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6559894913721602,0.009017483021353896,45.18926333,10.79323667,90.0
runner,endurance,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6555182920289133,0,45.18929667,10.79316667,88.0
runner,endurance,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.69819159305954,0.019510465288231228,45.18930833,10.793115,85.0
runner,endurance,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5345733838369107,0.02512413365745745,45.18930667,10.79308167,80.0
runner,endurance,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.529411821468244,0.033262251082670946,45.18930833,10.79303667,76.0
runner,endurance,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5369644447516753,0.02904932970536132,45.18930667,10.79298333,72.0
runner,endurance,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5581858369654196,0.04185755333424255,45.18931333,10.79293833,69.0
runner,endurance,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5381906817300424,0.03542503430910504,45.189315,10.79289167,66.0
runner,endurance,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.698091331137488,0.055292651996003785,45.18931667,10.79285667,64.0
runner,endurance,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6283211328419926,0.07077585272699025,45.18931833,10.792825,61.0
runner,endurance,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6685478748803972,0.07352246450878011,45.18931667,10.79279333,60.0
runner,endurance,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.536042320241326,0.05803803050048981,45.18931667,10.79277167,58.0
runner,endurance,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6263610672467976,0.04444610820579733,45.18931833,10.79274667,56.0
runner,endurance,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5426664653665876,0.03415327455423567,45.18932167,10.79271833,55.0
runner,endurance,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.557293036583063,0.043620842727200945,45.18932333,10.79268833,54.0
runner,endurance,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.674936236442368,0.026651398400662357,45.189325,10.79265167,53.0
