athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,belfiore,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.208687377878084,0,45.189325,10.79284167,37.0
runner,fartlek,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.268341365221078,0,45.18932167,10.79282,37.0
runner,fartlek,belfiore,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7157954884187423,0.017526283040839596,45.189325,10.79279833,36.0
runner,fartlek,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.132856962185195,0,45.18932667,10.79278,35.0
runner,fartlek,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.639378482788981,0.01920476855223695,45.18933167,10.792755,35.0
runner,fartlek,belfiore,6,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.737205864917155,0.03355047558759899,45.18933833,10.79272333,34.0
runner,fartlek,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1219395457927854,0.021118044330540806,45.18934167,10.79269167,33.0
runner,fartlek,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6270262999575915,0.005271964630621264,45.18934167,10.792665,32.0
runner,fartlek,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6547604745331426,0,45.189345,10.79263833,31.0
runner,fartlek,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.594422136923795,0,45.18935167,10.792615,31.0
runner,fartlek,belfiore,11,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7676581987710713,0.0185080685958731,45.189355,10.79258667,30.0
runner,fartlek,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.199973732222302,0,45.189355,10.79256,29.0
runner,fartlek,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5963527898861107,0,45.18936,10.79252833,29.0
runner,fartlek,belfiore,14,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8500292363511548,0.015160569219346002,45.18936167,10.79250167,28.0
runner,fartlek,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.229916283005179,0.0006452123333541143,45.18936167,10.79247167,28.0
runner,fartlek,belfiore,16,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7589215305003933,0.02076528661510996,45.18936333,10.79244,27.0
runner,fartlek,belfiore,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2087907052994296,0,45.189365,10.79241,27.0
runner,fartlek,belfiore,18,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8028399241443218,0,45.18936833,10.79238,27.0
runner,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.214103752954121,0,45.18937,10.79235,27.0
runner,fartlek,belfiore,20,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2106650636510443,0.021516363901011786,45.18936833,10.79231833,26.0
runner,fartlek,belfiore,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.18262677117304,0.007283435216396385,45.18937,10.792285,26.0
runner,fartlek,belfiore,22,warmup,low,accelerate,Z2,Z2,Z1,Z1,downhill,1.2854884283285046,0.00993767847207228,45.18937,10.79225333,25.0
runner,fartlek,belfiore,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1287486721055204,0,45.18937167,10.79221833,25.0
