athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,fartlek,tre_laghi,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.2523451183584364,0,45.18933,10.79333333,93.0
runner,fartlek,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.25764558956706,0,45.18926,10.79329333,91.0
runner,fartlek,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.528103029415131,0,45.18926333,10.79323667,90.0
runner,fartlek,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.681457966792217,0.007735210357080459,45.18929667,10.79316667,88.0
runner,fartlek,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.630307103980328,0,45.18930833,10.793115,85.0
runner,fartlek,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.522763262514826,0,45.18930667,10.79308167,80.0
runner,fartlek,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.547739997647082,0.02246323654411324,45.18930833,10.79303667,76.0
runner,fartlek,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5440633910742374,0.03801353243977307,45.18930667,10.79298333,72.0
runner,fartlek,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6002131760388667,0.05269554592124971,45.18931333,10.79293833,69.0
runner,fartlek,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.560226933607767,0.05814391763731231,45.189315,10.79289167,66.0
runner,fartlek,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5014667388314495,0.0627769323456793,45.18931667,10.79285667,64.0
runner,fartlek,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.64944511611776,0.08291524923788025,45.18931833,10.792825,61.0
runner,fartlek,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5024244999302176,0.07500319391359807,45.18931667,10.79279333,60.0
runner,fartlek,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.577224332917302,0.08394913193476441,45.18931667,10.79277167,58.0
runner,fartlek,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6351483638670006,0.08628011158171839,45.18931833,10.79274667,56.0
runner,fartlek,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5040575790105764,0.07769293053777374,45.18932167,10.79271833,55.0
runner,fartlek,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6390766795182294,0.09354570002225628,45.18932333,10.79268833,54.0
runner,fartlek,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.698321436690123,0.09149036016388293,45.189325,10.79265167,53.0
runner,fartlek,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6797040052901306,0.08406658927592095,45.18932667,10.792625,52.0
runner,fartlek,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5224333899275155,0.09347373743642774,45.18932667,10.7926,51.0
runner,fartlek,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.505804807677305,0.0810254567601903,45.18933,10.79257333,50.0
runner,fartlek,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5342027667147673,0.10143647325183028,45.18933,10.79254833,49.0
runner,fartlek,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5509418315419654,0.1074123236424197,45.18932833,10.79251833,48.0
runner,fartlek,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.648818751707388,0.12121226036903042,45.18932833,10.79249,48.0
runner,fartlek,tre_laghi,25,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7206544281177607,0.11788140218549988,45.18932833,10.79246167,47.0
runner,fartlek,tre_laghi,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1491694432078536,0.08629061407575753,45.18933,10.79243167,47.0
runner,fartlek,tre_laghi,27,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7400936392586588,0.09706261394296534,45.18933,10.79240333,46.0
runner,fartlek,tre_laghi,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.105000220487236,0.07325739180858923,45.18933167,10.792375,46.0
runner,fartlek,tre_laghi,29,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8348013847293079,0.07879233322279712,45.18933333,10.79234833,46.0
runner,fartlek,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.140194126696431,0.05554524782942814,45.189335,10.79232,46.0
runner,fartlek,tre_laghi,31,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8976865440380337,0.05382735151907054,45.18933667,10.79229333,45.0
runner,fartlek,tre_laghi,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1466981834416567,0.038718076111665875,45.18933833,10.79226167,45.0
runner,fartlek,tre_laghi,33,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.835050600450676,0.04305612472555173,45.18934167,10.79223167,45.0
runner,fartlek,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2644246939866304,0.0007374919814097936,45.18934667,10.79220167,45.0
runner,fartlek,tre_laghi,35,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.299350511309986,0.012809955368707496,45.18935,10.792175,45.0
