athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,progressions,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.145272633558732,0,41.85956,12.56004167,75.0
runner,progressions,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6497957105479175,0,41.85954167,12.56003,74.0
runner,progressions,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5124803245789944,0,41.859525,12.56001167,73.0
runner,progressions,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5247247828881427,0.005614221727258452,41.85951,12.55999333,73.0
runner,progressions,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5002380110395035,0.0013490842968324288,41.859495,12.559975,73.0
runner,progressions,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5253696591321178,0.01956281884428549,41.85948333,12.55996,72.0
runner,progressions,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6857163148317422,0.023537704806168742,41.85947167,12.55994333,72.0
runner,progressions,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6072840065388467,0.023574206199590164,41.85945833,12.55992,72.0
runner,progressions,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5945265873009373,0.03492718867608551,41.85944667,12.55988833,72.0
runner,progressions,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.612179016457521,0.04855901706979829,41.85943667,12.55986667,72.0
runner,progressions,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5813218105370543,0.03508382151046794,41.85942667,12.55984667,72.0
runner,progressions,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6589318767291217,0.032149633627763574,41.85941833,12.55982667,72.0
runner,progressions,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5019793056002553,0.03494768478107468,41.859405,12.55980333,72.0
runner,progressions,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6228602836106916,0.048451595377049274,41.859395,12.55978,73.0
runner,progressions,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6688895002939343,0.062364948466375844,41.85937833,12.55974833,73.0
runner,progressions,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5631690820029553,0.06667947800180918,41.85935833,12.55971667,73.0
runner,progressions,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.556131844580184,0.060084652793587275,41.85934167,12.55968667,73.0
runner,progressions,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6892097621947952,0.04680938687510536,41.85932833,12.55965833,73.0
runner,progressions,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6849641463521055,0.042286368359677085,41.859315,12.55963,73.0
runner,progressions,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6382860353604283,0.05800593641844979,41.859295,12.559595,74.0
runner,progressions,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.503236237514108,0.07569615184679272,41.85927333,12.55955667,74.0
runner,progressions,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6451326092110112,0.06769769810980172,41.85924667,12.55951833,74.0
runner,progressions,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5824580851973282,0.07534720306144276,41.85921833,12.559515,74.0
runner,progressions,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5224903091224604,0.08880888986244291,41.85918833,12.55952833,74.0
runner,progressions,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6543545735123364,0.08776574685635284,41.85910667,12.559585,74.0
runner,progressions,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5508859131623396,0.09765304471747846,41.85907333,12.559605,74.0
runner,progressions,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.621142323373584,0.08746438334364155,41.85903833,12.55962667,74.0
runner,progressions,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5148449420508525,0.10500821886196365,41.859005,12.55964333,75.0
runner,progressions,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5533356602050885,0.11266011951109657,41.85897667,12.55965,75.0
