athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,progressions,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.069225941719354,0,45.189325,10.79284167,37.0
runner,progressions,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.592022025670302,0,45.18932167,10.79282,37.0
runner,progressions,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.598258477772398,0.008381577819069832,45.189325,10.79279833,36.0
runner,progressions,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5724886817338377,0.015534035246432615,45.18932667,10.79278,35.0
runner,progressions,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.51229577593209,0.005510554683730155,45.18933167,10.792755,35.0
runner,progressions,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6030056290166166,0.014456830894932361,45.18933833,10.79272333,34.0
runner,progressions,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.670396381383078,0.03375021675455379,45.18934167,10.79269167,33.0
runner,progressions,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.58873677121487,0.019627490272729683,45.18934167,10.792665,32.0
runner,progressions,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.570427748653262,0.04126754371470144,45.189345,10.79263833,31.0
runner,progressions,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.502322698210284,0.053557719281251887,45.18935167,10.792615,31.0
runner,progressions,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.538364431436133,0.07523424822552309,45.189355,10.79258667,30.0
runner,progressions,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5505683822320346,0.08600610217675127,45.189355,10.79256,29.0
runner,progressions,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.656427410454662,0.09876672782503795,45.18936,10.79252833,29.0
runner,progressions,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5064932615545708,0.0866005948805254,45.18936167,10.79250167,28.0
runner,progressions,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6373110507487927,0.10874142847239214,45.18936167,10.79247167,28.0
runner,progressions,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6500780147336958,0.11128216908575715,45.18936333,10.79244,27.0
runner,progressions,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6423239120549535,0.12557172403147593,45.189365,10.79241,27.0
runner,progressions,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.557919027556818,0.12934177090282814,45.18936833,10.79238,27.0
runner,progressions,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.662855389152968,0.12139538471513805,45.18937,10.79235,27.0
runner,progressions,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6631406692722384,0.11911519273122063,45.18936833,10.79231833,26.0
runner,progressions,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5876478302179344,0.13866212823991925,45.18937,10.792285,26.0
runner,progressions,belfiore,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.641944280167734,0.1537443927351029,45.18937,10.79225333,25.0
runner,progressions,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6089432979594953,0.16065525974452977,45.18937167,10.79221833,25.0
runner,progressions,belfiore,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6931621336602243,0.17589895183741452,45.18937333,10.79218667,25.0
runner,progressions,belfiore,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.653776056211014,0.17581008568755857,45.189375,10.79215833,25.0
runner,progressions,belfiore,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6653448135843556,0.186309575918601,45.18937333,10.79213167,25.0
runner,progressions,belfiore,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.676051834245869,0.19784743150427783,45.18937167,10.792105,24.0
runner,progressions,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6080305310631613,0.1815961139043716,45.18937,10.792075,24.0
runner,progressions,belfiore,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6214867521179874,0.19234794785542036,45.18936667,10.79204167,24.0
runner,progressions,belfiore,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6527406022731697,0.20459106572650299,45.18936667,10.79201167,24.0
runner,progressions,belfiore,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5605989189222953,0.20752826822531928,45.18936667,10.79198333,24.0
