athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.016374005650623,0,41.85956,12.56004167,75.0
runner,recovery,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5560996963426597,0,41.85954167,12.56003,74.0
runner,recovery,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.648620613543611,0,41.859525,12.56001167,73.0
runner,recovery,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6522037384620676,0.009539098421227275,41.85951,12.55999333,73.0
runner,recovery,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5666213544770597,0.030673557947320625,41.859495,12.559975,73.0
runner,recovery,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6584089362484526,0.051196723905682584,41.85948333,12.55996,72.0
runner,recovery,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.59652885155622,0.06664254444440046,41.85947167,12.55994333,72.0
runner,recovery,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.615819691668962,0.06328847644171051,41.85945833,12.55992,72.0
runner,recovery,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6919107825991775,0.04484457041704287,41.85944667,12.55988833,72.0
runner,recovery,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6562816212501628,0.038775474615593344,41.85943667,12.55986667,72.0
runner,recovery,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6572231233418075,0.03304473155215657,41.85942667,12.55984667,72.0
runner,recovery,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.519850279492445,0.04397347747516588,41.85941833,12.55982667,72.0
runner,recovery,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6620141199893586,0.05719376312466667,41.859405,12.55980333,72.0
runner,recovery,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.688032612684885,0.06455753435045017,41.859395,12.55978,73.0
runner,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.518977859126287,0.06750436232625628,41.85937833,12.55974833,73.0
runner,recovery,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.602351899273973,0.06405873788620073,41.85935833,12.55971667,73.0
runner,recovery,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6459506997354,0.046789093035876334,41.85934167,12.55968667,73.0
runner,recovery,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5955583917597487,0.06090581611142531,41.85932833,12.55965833,73.0
runner,recovery,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.651797730033757,0.05960471527746114,41.859315,12.55963,73.0
runner,recovery,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.569716332006708,0.07046889106827062,41.859295,12.559595,74.0
runner,recovery,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5969520792335086,0.08149245966939603,41.85927333,12.55955667,74.0
runner,recovery,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.524859720640235,0.0909776406439683,41.85924667,12.55951833,74.0
runner,recovery,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6170888924633022,0.08466496116112346,41.85921833,12.559515,74.0
runner,recovery,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6025032512667656,0.06803561961696933,41.85918833,12.55952833,74.0
runner,recovery,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.589576968163599,0.088007085243762,41.85910667,12.559585,74.0
runner,recovery,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.504816433268808,0.08016526842416163,41.85907333,12.559605,74.0
runner,recovery,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6335855971819315,0.09146075118351166,41.85903833,12.55962667,74.0
runner,recovery,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6374471709057414,0.09488322520908192,41.859005,12.55964333,75.0
runner,recovery,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.531063377725048,0.07985233978775358,41.85897667,12.55965,75.0
runner,recovery,acquedotti,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5529835272973718,0.06412290430324101,41.85895667,12.559645,75.0
runner,recovery,acquedotti,31,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6689400740175877,0.06712620027174655,41.85893667,12.55962667,75.0
runner,recovery,acquedotti,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.610473426173381,0.07661051063815069,41.85894,12.55959167,75.0
runner,recovery,acquedotti,33,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5056590793547526,0.08108491648986235,41.85893167,12.55955333,74.0
runner,recovery,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6289318449428922,0.08966198812864636,41.858935,12.55951333,74.0
runner,recovery,acquedotti,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.520170385999485,0.09000955254047166,41.85892,12.55947333,74.0
runner,recovery,acquedotti,36,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5178477619906716,0.08565764243565434,41.85891333,12.559425,74.0
runner,recovery,acquedotti,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.559857268144561,0.08131112863250316,41.85890333,12.55939833,74.0
runner,recovery,acquedotti,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.606137662782925,0.06997605394315505,41.85889333,12.55939833,74.0
runner,recovery,acquedotti,39,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.506628379206572,0.06795814017926174,41.85887667,12.55938,74.0
runner,recovery,acquedotti,40,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.665675542986829,0.050902980180627735,41.85886333,12.55936,75.0
runner,recovery,acquedotti,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6181355409781704,0.04405733875782317,41.85885333,12.559325,75.0
runner,recovery,acquedotti,42,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5091090552868134,0.053591439464168375,41.85884167,12.55930667,75.0
runner,recovery,acquedotti,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5900895559280097,0.055887632404395426,41.85882667,12.55928667,75.0
runner,recovery,acquedotti,44,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6362002358581966,0.04151107291798173,41.85881333,12.55925833,75.0
runner,recovery,acquedotti,45,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.63661978707195,0.05077517507327202,41.85879667,12.55923833,76.0
