athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
runner,recovery,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.0433447083309675,0.0012944116706078493,45.18933,10.79333333,93.0
runner,recovery,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.694337065210572,0.002711740573839539,45.18926,10.79329333,91.0
runner,recovery,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.661407419137134,0.005837164799046054,45.18926333,10.79323667,90.0
runner,recovery,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5378047230053755,0.017269099012189627,45.18929667,10.79316667,88.0
runner,recovery,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.539141349524952,0.01130351154211667,45.18930833,10.793115,85.0
runner,recovery,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.682862347305295,0,45.18930667,10.79308167,80.0
runner,recovery,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.589775092015162,0.009687532855224161,45.18930833,10.79303667,76.0
runner,recovery,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.521572310669017,0.011604697259462782,45.18930667,10.79298333,72.0
runner,recovery,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5062479310938635,0.012937310761046188,45.18931333,10.79293833,69.0
runner,recovery,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.590546031492755,0.024693253916932726,45.189315,10.79289167,66.0
runner,recovery,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.635623547379014,0.02672467716315849,45.18931667,10.79285667,64.0
runner,recovery,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.545334509652625,0.027311439590884758,45.18931833,10.792825,61.0
runner,recovery,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5195379289992585,0.036453460542816896,45.18931667,10.79279333,60.0
runner,recovery,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6164760899474793,0.04119765193747797,45.18931667,10.79277167,58.0
runner,recovery,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.506450247313417,0.03771955243606948,45.18931833,10.79274667,56.0
runner,recovery,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5632363215632346,0.053466197040937566,45.18932167,10.79271833,55.0
runner,recovery,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.605191643320263,0.06782483208348351,45.18932333,10.79268833,54.0
runner,recovery,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6080610422522343,0.08348411570990377,45.189325,10.79265167,53.0
runner,recovery,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6552726308616843,0.08349068203982563,45.18932667,10.792625,52.0
runner,recovery,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6142176196377,0.085956106859914,45.18932667,10.7926,51.0
runner,recovery,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6157017150493633,0.09508077668683611,45.18933,10.79257333,50.0
runner,recovery,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.595245671917421,0.0796590969431314,45.18933,10.79254833,49.0
runner,recovery,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.533757256891083,0.06567963794439922,45.18932833,10.79251833,48.0
runner,recovery,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6874919421881422,0.08506538013756815,45.18932833,10.79249,48.0
runner,recovery,tre_laghi,25,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.587903757190533,0.10484599326956988,45.18932833,10.79246167,47.0
runner,recovery,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5114744697008686,0.10359062166739816,45.18933,10.79243167,47.0
runner,recovery,tre_laghi,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6556061508361744,0.10533427461679792,45.18933,10.79240333,46.0
runner,recovery,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6520599591474423,0.0984282535795801,45.18933167,10.792375,46.0
runner,recovery,tre_laghi,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6107554579630756,0.105076512390741,45.18933333,10.79234833,46.0
runner,recovery,tre_laghi,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6791409242623874,0.10091900898960705,45.189335,10.79232,46.0
runner,recovery,tre_laghi,31,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5426480738312582,0.09423576819978007,45.18933667,10.79229333,45.0
runner,recovery,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6877298167513275,0.08318786573815071,45.18933833,10.79226167,45.0
runner,recovery,tre_laghi,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5376341336041794,0.08862080944883341,45.18934167,10.79223167,45.0
runner,recovery,tre_laghi,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5741547251611427,0.09533823666800907,45.18934667,10.79220167,45.0
runner,recovery,tre_laghi,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.543095839823753,0.0910385387858401,45.18935,10.792175,45.0
runner,recovery,tre_laghi,36,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6730424068745773,0.09547233733171459,45.18935333,10.79215,44.0
runner,recovery,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6352501461290556,0.10748591015466999,45.18935667,10.79212167,44.0
runner,recovery,tre_laghi,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.645606853260177,0.10307569826778537,45.18935833,10.79209333,44.0
runner,recovery,tre_laghi,39,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.672837053647352,0.09133219636679177,45.18935833,10.792065,44.0
runner,recovery,tre_laghi,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.615778702376794,0.0756453058624008,45.18935833,10.79203667,44.0
runner,recovery,tre_laghi,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.647551881900224,0.07805121034739679,45.18936167,10.792005,44.0
runner,recovery,tre_laghi,42,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6264326815479175,0.09547249904690047,45.189365,10.79197167,43.0
runner,recovery,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.609736753139047,0.09284144185229432,45.189365,10.79193833,43.0
runner,recovery,tre_laghi,44,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6172297577704953,0.07724719528152396,45.18936833,10.791905,43.0
runner,recovery,tre_laghi,45,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6164556370796297,0.07284016764055706,45.18937,10.79187333,43.0
runner,recovery,tre_laghi,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.663630058263086,0.08547856188728387,45.18937167,10.79184333,43.0
runner,recovery,tre_laghi,47,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5862344666264265,0.09040047652044395,45.189375,10.79181167,43.0
runner,recovery,tre_laghi,48,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.60764233701714,0.08944252265217893,45.18937833,10.79178,42.0
runner,recovery,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5632907898245367,0.078425376945767,45.18938,10.79175,42.0
runner,recovery,tre_laghi,50,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.658159902413393,0.09892840940098452,45.18938,10.79172167,42.0
runner,recovery,tre_laghi,51,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6665383970070407,0.11890635195612462,45.18938167,10.791695,42.0
runner,recovery,tre_laghi,52,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.550023852453437,0.10137328122966871,45.18938333,10.79166833,42.0
