athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,acquedotti,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,3.3367306026842263,0,41.85956,12.56004167,75.0
amatour,endurance,acquedotti,2,warmup,low,keep going,Z1,Z2,Z1,Z1,downhill,2.060775211989027,0.028161669845024603,41.85954167,12.56003,74.0
amatour,endurance,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1979374703095327,0.007979341758306634,41.859525,12.56001167,73.0
amatour,endurance,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5671424645792533,0,41.85951,12.55999333,73.0
amatour,endurance,acquedotti,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.798877029705215,0,41.859495,12.559975,73.0
amatour,endurance,acquedotti,6,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.2736064512854157,0.021231985399220193,41.85948333,12.55996,72.0
amatour,endurance,acquedotti,7,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.245780364981437,0.057151396203545694,41.85947167,12.55994333,72.0
amatour,endurance,acquedotti,8,warmup,low,accelerate,Z2,Z3,Z1,Z1,flat,0.002391720646650622,0.11908330612816134,41.85945833,12.55992,72.0
amatour,endurance,acquedotti,9,warmup,low,accelerate,Z2,Z4,Z1,Z1,flat,-1.0008867683267415,0.19102971261361104,41.85944667,12.55988833,72.0
amatour,endurance,acquedotti,10,warmup,low,accelerate,Z3,Z5,Z1,Z1,flat,-2.430160776040437,0.29962292824357684,41.85943667,12.55986667,72.0
amatour,endurance,acquedotti,11,warmup,low,accelerate,Z3,Z5,Z1,Z1,flat,-2.4610784849075253,0.4624202898835303,41.85942667,12.55984667,72.0
amatour,endurance,acquedotti,12,warmup,low,accelerate,Z4,Z5,Z1,Z1,flat,-3.0539111335353404,0.7606980882609503,41.85941833,12.55982667,72.0
amatour,endurance,acquedotti,13,warmup,low,slow down,Z4,Z4,Z1,Z1,flat,-2.521573496124248,1.1440405815112162,41.859405,12.55980333,72.0
amatour,endurance,acquedotti,14,warmup,low,accelerate,Z4,Z5,Z1,Z1,uphill,-3.0590744483986843,1.661681595875231,41.859395,12.55978,73.0
amatour,endurance,acquedotti,15,warmup,low,accelerate,Z4,Z5,Z1,Z1,flat,-3.0274114377171943,2.3334144177395477,41.85937833,12.55974833,73.0
amatour,endurance,acquedotti,16,warmup,medium,slow down,Z4,Z4,Z1,Z1,flat,-2.7425353932565337,3.2166094982870352,41.85935833,12.55971667,73.0
amatour,endurance,acquedotti,17,warmup,medium,slow down,Z4,Z3,Z1,Z1,flat,-3.267069377106533,4.3437026808785975,41.85934167,12.55968667,73.0
amatour,endurance,acquedotti,18,warmup,medium,accelerate,Z4,Z4,Z1,Z1,flat,-3.9632360452817936,5.840406687943122,41.85932833,12.55965833,73.0
amatour,endurance,acquedotti,19,warmup,high,slow down,Z4,Z3,Z1,Z1,flat,-7.478913753443924,7.762566541688242,41.859315,12.55963,73.0
amatour,endurance,acquedotti,20,warmup,high,accelerate,Z4,Z4,Z1,Z1,uphill,-12.45729368812706,10,41.859295,12.559595,74.0
amatour,endurance,acquedotti,21,warmup,high,accelerate,Z4,Z5,Z1,Z1,flat,-12.946114663553836,10,41.85927333,12.55955667,74.0
amatour,endurance,acquedotti,22,warmup,high,slow down,Z4,Z4,Z1,Z1,flat,-12.656875414531736,10,41.85924667,12.55951833,74.0
