athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,belfiore,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.28695397461287,0,45.189325,10.79284167,37.0
amatour,endurance,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2186887669157773,0,45.18932167,10.79282,37.0
amatour,endurance,belfiore,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7382851721201573,0.028929086032800453,45.189325,10.79279833,36.0
amatour,endurance,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.269154448299933,0.02688239946437044,45.18932667,10.79278,35.0
amatour,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.596111647147438,0.04192554582539825,45.18933167,10.792755,35.0
amatour,endurance,belfiore,6,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7031792053221935,0.07471340808107613,45.18933833,10.79272333,34.0
amatour,endurance,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.278474713538046,0.04641668546711733,45.18934167,10.79269167,33.0
amatour,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5442510623210635,0.08167665840684328,45.18934167,10.792665,32.0
amatour,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.687241978779896,0.10703698099233148,45.189345,10.79263833,31.0
amatour,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5910968710269686,0.16093114801986597,45.18935167,10.792615,31.0
amatour,endurance,belfiore,11,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7735718033990022,0.21168190688056263,45.189355,10.79258667,30.0
amatour,endurance,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.210860653634151,0.24168121718074304,45.189355,10.79256,29.0
amatour,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5678706902124375,0.3138872259942448,45.18936,10.79252833,29.0
amatour,endurance,belfiore,14,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7237020216028318,0.40345328894664345,45.18936167,10.79250167,28.0
amatour,endurance,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.218962872340352,0.4795503364362213,45.18936167,10.79247167,28.0
amatour,endurance,belfiore,16,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.86213430135556,0.6162558459251561,45.18936333,10.79244,27.0
amatour,endurance,belfiore,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1648924601977946,0.7764058116933196,45.189365,10.79241,27.0
