athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amateur,endurance,tre_laghi,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.263059333547555,0.018322133117110444,45.18933,10.79333333,93.0
amateur,endurance,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2112593263016826,0.0039657555227624874,45.18926,10.79329333,91.0
amateur,endurance,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.616003187560224,0.013546237353765679,45.18926333,10.79323667,90.0
amateur,endurance,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6305475442905526,0.004652467615017924,45.18929667,10.79316667,88.0
amateur,endurance,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.608329177681783,0,45.18930833,10.793115,85.0
amateur,endurance,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5497483239450003,0,45.18930667,10.79308167,80.0
amateur,endurance,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.670277066495113,0.016600605174457467,45.18930833,10.79303667,76.0
amateur,endurance,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6139096349429276,0.02327977108682253,45.18930667,10.79298333,72.0
amateur,endurance,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.649153099322375,0.03548718011122893,45.18931333,10.79293833,69.0
amateur,endurance,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5260454645584236,0.05176127495872646,45.189315,10.79289167,66.0
amateur,endurance,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.625135964882598,0.06945395436508028,45.18931667,10.79285667,64.0
amateur,endurance,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6193105674402477,0.10238564889698033,45.18931833,10.792825,61.0
amateur,endurance,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5330424487050904,0.13346775688381549,45.18931667,10.79279333,60.0
amateur,endurance,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.682259259444705,0.17710860997782285,45.18931667,10.79277167,58.0
amateur,endurance,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6011781837239383,0.2427915927710735,45.18931833,10.79274667,56.0
amateur,endurance,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6346419514297863,0.2976423097831236,45.18932167,10.79271833,55.0
amateur,endurance,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.536758193403318,0.3808796084682026,45.18932333,10.79268833,54.0
amateur,endurance,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6008073312920645,0.4990357572343603,45.189325,10.79265167,53.0
