athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amateur,fartlek,acquedotti,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,3.228927893765764,0.02907341192156143,41.85956,12.56004167,75.0
amateur,fartlek,acquedotti,2,warmup,low,keep going,Z1,Z2,Z1,Z1,downhill,1.9823281590280317,0.02107048790930892,41.85954167,12.56003,74.0
amateur,fartlek,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2759031304952266,0,41.859525,12.56001167,73.0
amateur,fartlek,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1314903525384903,0,41.85951,12.55999333,73.0
amateur,fartlek,acquedotti,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7690317417085466,0,41.859495,12.559975,73.0
amateur,fartlek,acquedotti,6,warmup,low,keep going,Z2,Z2,Z1,Z1,downhill,1.263233853308564,0.042370832041458875,41.85948333,12.55996,72.0
amateur,fartlek,acquedotti,7,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.187544858598949,0.00174047278263339,41.85947167,12.55994333,72.0
amateur,fartlek,acquedotti,8,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2238494700649287,0.030636532311562707,41.85945833,12.55992,72.0
amateur,fartlek,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.136173284218104,0,41.85944667,12.55988833,72.0
amateur,fartlek,acquedotti,10,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1576899859106888,0.051003369395260685,41.85943667,12.55986667,72.0
amateur,fartlek,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1484875585193937,0,41.85942667,12.55984667,72.0
amateur,fartlek,acquedotti,12,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1511892572853377,0.004176911347251001,41.85941833,12.55982667,72.0
amateur,fartlek,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2207263777217148,0,41.859405,12.55980333,72.0
amateur,fartlek,acquedotti,14,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.2018761151665398,0.04080238764873232,41.859395,12.55978,73.0
amateur,fartlek,acquedotti,15,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.272376273230147,0.07653500876842124,41.85937833,12.55974833,73.0
amateur,fartlek,acquedotti,16,warmup,low,slow down,Z2,Z1,Z1,Z1,flat,1.566395610029043,0.06843943032817024,41.85935833,12.55971667,73.0
amateur,fartlek,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.279433991234916,0.047214521279365936,41.85934167,12.55968667,73.0
amateur,fartlek,acquedotti,18,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2312987350282791,0.08580028985061229,41.85932833,12.55965833,73.0
amateur,fartlek,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1673524499704535,0.060650246523884545,41.859315,12.55963,73.0
amateur,fartlek,acquedotti,20,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.2025249481208975,0.08535368306850467,41.859295,12.559595,74.0
amateur,fartlek,acquedotti,21,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.1997288147540122,0.14371335807112892,41.85927333,12.55955667,74.0
