athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amateur,fartlek,belfiore,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.388413092204572,0.022650198797030393,45.189325,10.79284167,37.0
amateur,fartlek,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1136730450223404,0.008282257587806386,45.18932167,10.79282,37.0
amateur,fartlek,belfiore,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.863760876242761,0.012426693072442633,45.189325,10.79279833,36.0
amateur,fartlek,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.208476927507244,0,45.18932667,10.79278,35.0
amateur,fartlek,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.136480255182073,0,45.18933167,10.792755,35.0
amateur,fartlek,belfiore,6,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7859322555408892,0,45.18933833,10.79272333,34.0
amateur,fartlek,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.292039629480772,0,45.18934167,10.79269167,33.0
amateur,fartlek,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2385963998787273,0,45.18934167,10.792665,32.0
amateur,fartlek,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1288212376564033,0,45.189345,10.79263833,31.0
amateur,fartlek,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.189943134329667,0,45.18935167,10.792615,31.0
amateur,fartlek,belfiore,11,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7192716610801944,0.0014793494662505363,45.189355,10.79258667,30.0
amateur,fartlek,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.165651994666804,0,45.189355,10.79256,29.0
amateur,fartlek,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1997954765073664,0,45.18936,10.79252833,29.0
amateur,fartlek,belfiore,14,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8661178899126871,0.02291969061904389,45.18936167,10.79250167,28.0
amateur,fartlek,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2392547645797647,0.0013515696286173426,45.18936167,10.79247167,28.0
amateur,fartlek,belfiore,16,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8191252550502752,0.0013419543914294143,45.18936333,10.79244,27.0
amateur,fartlek,belfiore,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2091025107653426,0,45.189365,10.79241,27.0
amateur,fartlek,belfiore,18,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8609500670613086,0.024651940274984567,45.18936833,10.79238,27.0
amateur,fartlek,belfiore,19,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.249755652635228,0.08289391412409586,45.18937,10.79235,27.0
amateur,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.241417019557522,0.044177213296686973,45.18936833,10.79231833,26.0
amateur,fartlek,belfiore,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.229732881777542,0,45.18937,10.792285,26.0
amateur,fartlek,belfiore,22,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8803654324439125,0.014326129060446509,45.18937,10.79225333,25.0
amateur,fartlek,belfiore,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.21333599393526,0,45.18937167,10.79221833,25.0
amateur,fartlek,belfiore,24,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2159718776839081,0.04795984061888657,45.18937333,10.79218667,25.0
amateur,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1611458215113375,0.021347573531531296,45.189375,10.79215833,25.0
amateur,fartlek,belfiore,26,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1109150296195929,0.05869399112018136,45.18937333,10.79213167,25.0
amateur,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1772132634695716,0.012845677400700351,45.18937167,10.792105,24.0
amateur,fartlek,belfiore,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.210392135022872,0,45.18937,10.792075,24.0
amateur,fartlek,belfiore,29,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7395994694332728,0,45.18936667,10.79204167,24.0
amateur,fartlek,belfiore,30,warmup,low,keep going,Z2,Z2,Z1,Z1,flat,1.2101696059785476,0,45.18936667,10.79201167,24.0
