athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,tre_laghi,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.2705342195697287,0.007249622984792333,45.18933,10.79333333,93.0
amatour,fartlek,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.286747501731902,0,45.18926,10.79329333,91.0
amatour,fartlek,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.29796840438646,0,45.18926333,10.79323667,90.0
amatour,fartlek,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2813541908980963,0,45.18929667,10.79316667,88.0
amatour,fartlek,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.283921024096334,0,45.18930833,10.793115,85.0
amatour,fartlek,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2703388804800806,0,45.18930667,10.79308167,80.0
amatour,fartlek,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.215615483816372,0,45.18930833,10.79303667,76.0
amatour,fartlek,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.167830197498141,0,45.18930667,10.79298333,72.0
amatour,fartlek,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1999567969740066,0,45.18931333,10.79293833,69.0
amatour,fartlek,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.195879202675411,0,45.189315,10.79289167,66.0
amatour,fartlek,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1697279243721472,0,45.18931667,10.79285667,64.0
amatour,fartlek,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.29944248952192,0,45.18931833,10.792825,61.0
amatour,fartlek,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.105520895494835,0,45.18931667,10.79279333,60.0
amatour,fartlek,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.16390213348229,0,45.18931667,10.79277167,58.0
