athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.664193254683819,0,41.85956,12.56004167,75.0
amatour,progressions,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1556605230520773,0,41.85954167,12.56003,74.0
amatour,progressions,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.197447587329733,0,41.859525,12.56001167,73.0
amatour,progressions,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1974559673310083,0,41.85951,12.55999333,73.0
amatour,progressions,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1930994536508344,0,41.859495,12.559975,73.0
amatour,progressions,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2792324873204493,0,41.85948333,12.55996,72.0
amatour,progressions,acquedotti,7,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.209992456338013,0,41.85947167,12.55994333,72.0
amatour,progressions,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.200109660211601,0,41.85945833,12.55992,72.0
amatour,progressions,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.120730357264445,0,41.85944667,12.55988833,72.0
amatour,progressions,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2164926935943647,0,41.85943667,12.55986667,72.0
amatour,progressions,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2819277673379426,0,41.85942667,12.55984667,72.0
amatour,progressions,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.204610536199904,0,41.85941833,12.55982667,72.0
amatour,progressions,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2633944456255914,0,41.859405,12.55980333,72.0
amatour,progressions,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.110211296074392,0,41.859395,12.55978,73.0
amatour,progressions,acquedotti,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.139688696919721,0,41.85937833,12.55974833,73.0
amatour,progressions,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1776640394514746,0,41.85935833,12.55971667,73.0
amatour,progressions,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.139308174863405,0,41.85934167,12.55968667,73.0
amatour,progressions,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.224659939292938,0,41.85932833,12.55965833,73.0
amatour,progressions,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1488497939539437,0,41.859315,12.55963,73.0
amatour,progressions,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.256043715411738,0,41.859295,12.559595,74.0
amatour,progressions,acquedotti,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2026371232612627,0,41.85927333,12.55955667,74.0
amatour,progressions,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2287636902523142,0,41.85924667,12.55951833,74.0
amatour,progressions,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.270943723711901,0,41.85921833,12.559515,74.0
amatour,progressions,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2499589596115412,0,41.85918833,12.55952833,74.0
amatour,progressions,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2233554323333893,0,41.85910667,12.559585,74.0
amatour,progressions,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.288698172156994,0,41.85907333,12.559605,74.0
amatour,progressions,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2803199159342795,0,41.85903833,12.55962667,74.0
amatour,progressions,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.220008532065236,0,41.859005,12.55964333,75.0
amatour,progressions,acquedotti,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.167477534197324,0,41.85897667,12.55965,75.0
amatour,progressions,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1046345433707065,0,41.85895667,12.559645,75.0
amatour,progressions,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.142503197427165,0,41.85893667,12.55962667,75.0
amatour,progressions,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2386389468802923,0,41.85894,12.55959167,75.0
amatour,progressions,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.228360137105811,0,41.85893167,12.55955333,74.0
amatour,progressions,acquedotti,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.233997622069189,0,41.858935,12.55951333,74.0
amatour,progressions,acquedotti,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2719935446173207,0,41.85892,12.55947333,74.0
amatour,progressions,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2265722346226817,0,41.85891333,12.559425,74.0
amatour,progressions,acquedotti,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1443615157202247,0,41.85890333,12.55939833,74.0
amatour,progressions,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1836768765022554,0,41.85889333,12.55939833,74.0
amatour,progressions,acquedotti,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.259296482364896,0,41.85887667,12.55938,74.0
amatour,progressions,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2270371072791018,0,41.85886333,12.55936,75.0
amatour,progressions,acquedotti,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.133976738690995,0,41.85885333,12.559325,75.0
amatour,progressions,acquedotti,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1451917438064263,0,41.85884167,12.55930667,75.0
amatour,progressions,acquedotti,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.287975475944152,0,41.85882667,12.55928667,75.0
amatour,progressions,acquedotti,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1338981308655836,0,41.85881333,12.55925833,75.0
amatour,progressions,acquedotti,45,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1559418779179946,0,41.85879667,12.55923833,76.0
amatour,progressions,acquedotti,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.269061815269135,0,41.85877833,12.55922,76.0
amatour,progressions,acquedotti,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.125700120640429,0,41.85876,12.559195,76.0
amatour,progressions,acquedotti,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2875204429627787,0,41.85874167,12.55916,76.0
amatour,progressions,acquedotti,49,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2371717367960633,0,41.85872833,12.55911,77.0
amatour,progressions,acquedotti,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2717721063286795,0,41.85872167,12.55904833,77.0
amatour,progressions,acquedotti,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.216438344953497,0,41.85870667,12.55902167,77.0
amatour,progressions,acquedotti,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1720653787011672,0,41.858705,12.55896667,77.0
amatour,progressions,acquedotti,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1268068166744034,0,41.85869667,12.55894,77.0
amatour,progressions,acquedotti,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.24878172936845,0,41.85867333,12.55895833,77.0
amatour,progressions,acquedotti,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2611179370873926,0,41.85863333,12.559,77.0
amatour,progressions,acquedotti,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.131127661087796,0,41.8586,12.55905333,77.0
amatour,progressions,acquedotti,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.172996747871048,0,41.85856,12.559115,76.0
amatour,progressions,acquedotti,58,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.11936042980854,0,41.85854,12.55913,76.0
amatour,progressions,acquedotti,59,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2048231844208432,0,41.85852167,12.55912667,75.0
amatour,progressions,acquedotti,60,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2377135744337995,0,41.85850333,12.55911833,75.0
amatour,progressions,acquedotti,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1110544734669086,0,41.85849167,12.55911,74.0
amatour,progressions,acquedotti,62,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.21898452693426,0,41.85848667,12.55909833,74.0
amatour,progressions,acquedotti,63,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1654274778435285,0,41.85848,12.55908833,73.0
amatour,progressions,acquedotti,64,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1105358237719285,0,41.85847167,12.559075,73.0
amatour,progressions,acquedotti,65,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.213041864815863,0,41.85845667,12.55906,73.0
amatour,progressions,acquedotti,66,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1308723439124906,0,41.85844333,12.55905,72.0
amatour,progressions,acquedotti,67,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.169529226779358,0,41.85843167,12.55903833,72.0
amatour,progressions,acquedotti,68,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.125773124863909,0,41.85842333,12.55902667,72.0
amatour,progressions,acquedotti,69,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.168372233404904,0,41.85841833,12.55900667,72.0
amatour,progressions,acquedotti,70,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.226372983270956,0,41.858415,12.55898,72.0
amatour,progressions,acquedotti,71,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2607688228160114,0,41.85841167,12.558955,71.0
amatour,progressions,acquedotti,72,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2043514530657773,0,41.85840167,12.55893,71.0
amatour,progressions,acquedotti,73,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1628663688393424,0,41.85839,12.55891333,71.0
amatour,progressions,acquedotti,74,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1912401113413007,0,41.858375,12.55889,71.0
amatour,progressions,acquedotti,75,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.220480806443733,0,41.85835667,12.55886833,71.0
amatour,progressions,acquedotti,76,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.206328085892617,0,41.85834167,12.55885,71.0
amatour,progressions,acquedotti,77,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222658857533894,0,41.85833167,12.55882833,71.0
