athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7591871892822835,0,45.189325,10.79284167,37.0
amatour,progressions,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.194897993867408,0,45.18932167,10.79282,37.0
amatour,progressions,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.197123163736737,0,45.189325,10.79279833,36.0
amatour,progressions,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.182080426757933,0,45.18932667,10.79278,35.0
amatour,progressions,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2786813706301703,0,45.18933167,10.792755,35.0
amatour,progressions,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1772662989399008,0,45.18933833,10.79272333,34.0
amatour,progressions,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1775979270901433,0,45.18934167,10.79269167,33.0
amatour,progressions,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1372596944471343,0,45.18934167,10.792665,32.0
amatour,progressions,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1945854103919435,0,45.189345,10.79263833,31.0
amatour,progressions,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1815189099120564,0,45.18935167,10.792615,31.0
amatour,progressions,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2248944357639378,0,45.189355,10.79258667,30.0
amatour,progressions,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2086647497201986,0,45.189355,10.79256,29.0
amatour,progressions,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1350663224660646,0,45.18936,10.79252833,29.0
amatour,progressions,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.237313461437318,0,45.18936167,10.79250167,28.0
amatour,progressions,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2673949213085063,0,45.18936167,10.79247167,28.0
