athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7211695930802424,0,45.18933,10.79333333,93.0
amatour,progressions,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.232769368457694,0,45.18926,10.79329333,91.0
amatour,progressions,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1607011202945134,0,45.18926333,10.79323667,90.0
amatour,progressions,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1417281174755267,0,45.18929667,10.79316667,88.0
amatour,progressions,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2521285877652364,0,45.18930833,10.793115,85.0
amatour,progressions,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2901840845539767,0,45.18930667,10.79308167,80.0
amatour,progressions,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.111772660430718,0,45.18930833,10.79303667,76.0
amatour,progressions,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.120902392518646,0,45.18930667,10.79298333,72.0
amatour,progressions,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2107666718434804,0,45.18931333,10.79293833,69.0
amatour,progressions,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.245056314937188,0,45.189315,10.79289167,66.0
amatour,progressions,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1596404589948692,0,45.18931667,10.79285667,64.0
amatour,progressions,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.138108597650091,0,45.18931833,10.792825,61.0
amatour,progressions,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.118917708411662,0,45.18931667,10.79279333,60.0
amatour,progressions,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.145206729113145,0,45.18931667,10.79277167,58.0
amatour,progressions,tre_laghi,15,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.18140703456937,0,45.18931833,10.79274667,56.0
amatour,progressions,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.153109321531262,0,45.18932167,10.79271833,55.0
amatour,progressions,tre_laghi,17,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.261667997384557,0,45.18932333,10.79268833,54.0
amatour,progressions,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2930918263081006,0,45.189325,10.79265167,53.0
amatour,progressions,tre_laghi,19,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2267130466553855,0,45.18932667,10.792625,52.0
