athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.6284885101242983,0,41.85956,12.56004167,75.0
amatour,recovery,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.221739529610765,5.013639040774044e-05,41.85954167,12.56003,74.0
amatour,recovery,acquedotti,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8252643530372639,0.01611341410294497,41.859525,12.56001167,73.0
amatour,recovery,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1431555226106873,0,41.85951,12.55999333,73.0
amatour,recovery,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.291936968024796,0,41.859495,12.559975,73.0
amatour,recovery,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2480403214272107,0,41.85948333,12.55996,72.0
amatour,recovery,acquedotti,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8690443232667528,0,41.85947167,12.55994333,72.0
amatour,recovery,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.213888015067203,0,41.85945833,12.55992,72.0
amatour,recovery,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1864639347748644,0,41.85944667,12.55988833,72.0
amatour,recovery,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2401083177957344,0,41.85943667,12.55986667,72.0
amatour,recovery,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2064850764510857,0,41.85942667,12.55984667,72.0
amatour,recovery,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1035645819943123,0,41.85941833,12.55982667,72.0
amatour,recovery,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1120868408669304,0,41.859405,12.55980333,72.0
amatour,recovery,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.292129391209651,0,41.859395,12.55978,73.0
amatour,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6012402526270133,0.0067864903838060564,41.85937833,12.55974833,73.0
amatour,recovery,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.232114747900595,0.004365689951780342,41.85935833,12.55971667,73.0
amatour,recovery,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.184892750081521,0,41.85934167,12.55968667,73.0
amatour,recovery,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2098264698988164,0,41.85932833,12.55965833,73.0
amatour,recovery,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1536183464953154,0,41.859315,12.55963,73.0
amatour,recovery,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.192390857521915,0,41.859295,12.559595,74.0
amatour,recovery,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6829797823985975,0.002311009241108766,41.85927333,12.55955667,74.0
amatour,recovery,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.293877801753774,0,41.85924667,12.55951833,74.0
amatour,recovery,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2834102637634115,0,41.85921833,12.559515,74.0
amatour,recovery,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1263575774606918,0,41.85918833,12.55952833,74.0
amatour,recovery,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.299181798318749,0,41.85910667,12.559585,74.0
amatour,recovery,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.299103377447309,0,41.85907333,12.559605,74.0
amatour,recovery,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1752985349960756,0,41.85903833,12.55962667,74.0
amatour,recovery,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.253704334451757,0,41.859005,12.55964333,75.0
amatour,recovery,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6407047319488566,0.00982874672742534,41.85897667,12.55965,75.0
amatour,recovery,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1883698738271553,0,41.85895667,12.559645,75.0
amatour,recovery,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2603741298848044,0,41.85893667,12.55962667,75.0
amatour,recovery,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2000934904271197,0,41.85894,12.55959167,75.0
