athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6121681088194872,0,45.189325,10.79284167,37.0
amatour,recovery,belfiore,2,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8476190931733356,0,45.18932167,10.79282,37.0
amatour,recovery,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1550496441923954,0,45.189325,10.79279833,36.0
amatour,recovery,belfiore,4,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7111852301513844,0,45.18932667,10.79278,35.0
amatour,recovery,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1234881320584997,0,45.18933167,10.792755,35.0
amatour,recovery,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2253455152045367,0,45.18933833,10.79272333,34.0
amatour,recovery,belfiore,7,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7083905593541484,0,45.18934167,10.79269167,33.0
amatour,recovery,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2314127882421637,0,45.18934167,10.792665,32.0
amatour,recovery,belfiore,9,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8877680765971225,0.0025331353114415507,45.189345,10.79263833,31.0
amatour,recovery,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.132727939759114,0,45.18935167,10.792615,31.0
amatour,recovery,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2362407943952856,0,45.189355,10.79258667,30.0
amatour,recovery,belfiore,12,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7003524294308987,0,45.189355,10.79256,29.0
amatour,recovery,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2326945972875,0,45.18936,10.79252833,29.0
amatour,recovery,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.127833172173937,0.0008693419946102437,45.18936167,10.79250167,28.0
amatour,recovery,belfiore,15,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8397424969610154,0.024059712442816163,45.18936167,10.79247167,28.0
amatour,recovery,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1748217526269307,0.018180098543570705,45.18936333,10.79244,27.0
amatour,recovery,belfiore,17,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8683210665860688,0.047817071715611954,45.189365,10.79241,27.0
amatour,recovery,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1769624386089514,0.028920021156691508,45.18936833,10.79238,27.0
amatour,recovery,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.286828321354896,0,45.18937,10.79235,27.0
amatour,recovery,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1402500333087855,0.0007766018660055479,45.18936833,10.79231833,26.0
amatour,recovery,belfiore,21,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7367966287395173,0.01614514574163628,45.18937,10.792285,26.0
amatour,recovery,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1920772348991764,0,45.18937,10.79225333,25.0
amatour,recovery,belfiore,23,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7774133205249543,0,45.18937167,10.79221833,25.0
amatour,recovery,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1755454876240847,0,45.18937333,10.79218667,25.0
amatour,recovery,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.25096143652986,0,45.189375,10.79215833,25.0
amatour,recovery,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.178474045446521,0,45.18937333,10.79213167,25.0
amatour,recovery,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2098363620912624,0,45.18937167,10.792105,24.0
amatour,recovery,belfiore,28,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.7247495887775872,0,45.18937,10.792075,24.0
amatour,recovery,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2847107850957302,0,45.18936667,10.79204167,24.0
amatour,recovery,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.277608269436372,0,45.18936667,10.79201167,24.0
amatour,recovery,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2302742428822913,0,45.18936667,10.79198333,24.0
amatour,recovery,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.219831843754391,0,45.18936667,10.791955,24.0
amatour,recovery,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.271798365709806,0,45.18936833,10.79193,24.0
amatour,recovery,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.267286991085802,0,45.18937,10.7919,24.0
amatour,recovery,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2640568221334556,0,45.18937167,10.79186833,24.0
amatour,recovery,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.217856874646636,0,45.18937333,10.79184,24.0
amatour,recovery,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.128849876841781,0,45.189375,10.79181333,24.0
amatour,recovery,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.228408666409468,0,45.18937667,10.79178667,24.0
amatour,recovery,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.121646105002582,0,45.18937833,10.79176,25.0
amatour,recovery,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5150818841332776,0,45.18938,10.79173167,25.0
amatour,recovery,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1610881812191143,0,45.18938,10.791705,25.0
amatour,recovery,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1998938266782813,0,45.18938333,10.79167833,25.0
amatour,recovery,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2267367619733784,0,45.18938333,10.79165333,25.0
amatour,recovery,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1955845535252565,0,45.18938333,10.791625,25.0
