athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.7362121450726997,0,41.85956,12.56004167,75.0
elite,endurance,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1535615362717895,0,41.85954167,12.56003,74.0
elite,endurance,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5382601189385015,0.013167927362831365,41.859525,12.56001167,73.0
elite,endurance,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6146920759096925,0.002082680586265968,41.85951,12.55999333,73.0
elite,endurance,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1168490122136623,0,41.859495,12.559975,73.0
elite,endurance,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.107453288122472,0.0027952938452163573,41.85948333,12.55996,72.0
elite,endurance,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.568847948446819,0,41.85947167,12.55994333,72.0
elite,endurance,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2712779577814497,0,41.85945833,12.55992,72.0
elite,endurance,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1520569796127442,0.0007490114792928439,41.85944667,12.55988833,72.0
elite,endurance,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.134051988715593,0,41.85943667,12.55986667,72.0
elite,endurance,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1534803730165866,0,41.85942667,12.55984667,72.0
elite,endurance,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.241760498981055,0,41.85941833,12.55982667,72.0
elite,endurance,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.134463247417747,0,41.859405,12.55980333,72.0
elite,endurance,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2674546226999803,0,41.859395,12.55978,73.0
elite,endurance,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.625195825666009,0.004545451972445939,41.85937833,12.55974833,73.0
elite,endurance,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2776136139741574,0.006799951371114456,41.85935833,12.55971667,73.0
elite,endurance,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2635413479531543,0,41.85934167,12.55968667,73.0
elite,endurance,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.122554005818553,0,41.85932833,12.55965833,73.0
elite,endurance,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.246882955554175,0.0011916454125348698,41.859315,12.55963,73.0
elite,endurance,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.161731719278064,0,41.859295,12.559595,74.0
elite,endurance,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5248964879733675,0,41.85927333,12.55955667,74.0
elite,endurance,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1555390323160903,0,41.85924667,12.55951833,74.0
elite,endurance,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1790068761193933,0,41.85921833,12.559515,74.0
