athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.682132713757494,0,45.189325,10.79284167,37.0
elite,endurance,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5030641234163173,0,45.18932167,10.79282,37.0
elite,endurance,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.294439117404453,0,45.189325,10.79279833,36.0
elite,endurance,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6310067830297674,0,45.18932667,10.79278,35.0
elite,endurance,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6953829576783437,0,45.18933167,10.792755,35.0
elite,endurance,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2187620979566396,0,45.18933833,10.79272333,34.0
elite,endurance,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6462014927727613,0.0015627913010076825,45.18934167,10.79269167,33.0
elite,endurance,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6042238102091884,0,45.18934167,10.792665,32.0
elite,endurance,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.529762563933389,0.014790754304499549,45.189345,10.79263833,31.0
elite,endurance,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6850409339405754,0.0013545776081781448,45.18935167,10.792615,31.0
elite,endurance,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1662553393718103,0,45.189355,10.79258667,30.0
elite,endurance,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.527774211560327,0.009355643860639536,45.189355,10.79256,29.0
elite,endurance,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5489420937520855,0.007134494355406244,45.18936,10.79252833,29.0
elite,endurance,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1025825099255764,0,45.18936167,10.79250167,28.0
elite,endurance,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6859194760414353,0,45.18936167,10.79247167,28.0
elite,endurance,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1746727047544323,0,45.18936333,10.79244,27.0
elite,endurance,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5225019055253672,0.01057876948417161,45.189365,10.79241,27.0
elite,endurance,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2786300432143545,0.005171072201659686,45.18936833,10.79238,27.0
elite,endurance,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2952264396655044,0,45.18937,10.79235,27.0
elite,endurance,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.229095820966314,0,45.18936833,10.79231833,26.0
