athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.661225310927919,0,45.18933,10.79333333,93.0
elite,endurance,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5735375348484153,0,45.18926,10.79329333,91.0
elite,endurance,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6360096282112293,0.012951523692138178,45.18926333,10.79323667,90.0
elite,endurance,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.54712502320257,0.022998110114100728,45.18929667,10.79316667,88.0
elite,endurance,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.564671539754874,0.017123220508923093,45.18930833,10.793115,85.0
elite,endurance,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.552374894183719,0.006228061935085406,45.18930667,10.79308167,80.0
elite,endurance,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.538744876587911,0,45.18930833,10.79303667,76.0
elite,endurance,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6363829041503557,0.005471285218072801,45.18930667,10.79298333,72.0
elite,endurance,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.699878058049919,0.014798333986083672,45.18931333,10.79293833,69.0
elite,endurance,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.693523069876768,0,45.189315,10.79289167,66.0
elite,endurance,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.527464096287945,0,45.18931667,10.79285667,64.0
elite,endurance,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6368326811947815,0.004155869692312829,45.18931833,10.792825,61.0
elite,endurance,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.660526952286955,0.015188367547662002,45.18931667,10.79279333,60.0
elite,endurance,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6742389257366947,0,45.18931667,10.79277167,58.0
elite,endurance,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5956184721417483,0.005862174315792356,45.18931833,10.79274667,56.0
elite,endurance,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.52569860809083,0.0021654140206484387,45.18932167,10.79271833,55.0
elite,endurance,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.527113000775309,0,45.18932333,10.79268833,54.0
elite,endurance,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6963571451371506,0.013942779152272988,45.189325,10.79265167,53.0
elite,endurance,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6552598168229395,0.000987106416775977,45.18932667,10.792625,52.0
elite,endurance,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6574537679671857,0.012667338774228838,45.18932667,10.7926,51.0
elite,endurance,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.529641756841676,0.01020017792131611,45.18933,10.79257333,50.0
elite,endurance,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6553989834608034,0.01562383844190885,45.18933,10.79254833,49.0
elite,endurance,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6629001967459365,0.013488276543136422,45.18932833,10.79251833,48.0
elite,endurance,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5006523448420945,0.012007323603516518,45.18932833,10.79249,48.0
elite,endurance,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.118535871386454,0,45.18932833,10.79246167,47.0
elite,endurance,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6060037931030555,0.012553895230532026,45.18933,10.79243167,47.0
elite,endurance,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.11194698937609,0,45.18933,10.79240333,46.0
elite,endurance,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5459632859240995,0.007667215372033781,45.18933167,10.792375,46.0
elite,endurance,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2068131997960294,0,45.18933333,10.79234833,46.0
elite,endurance,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.221611553061283,0,45.189335,10.79232,46.0
elite,endurance,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2475955862979737,0,45.18933667,10.79229333,45.0
elite,endurance,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6821704434543268,0,45.18933833,10.79226167,45.0
elite,endurance,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.207134009696331,0.001594316491496206,45.18934167,10.79223167,45.0
