athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.747672809196925,0,41.85956,12.56004167,75.0
elite,fartlek,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1486738729773025,0,41.85954167,12.56003,74.0
elite,fartlek,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.625153174748268,0,41.859525,12.56001167,73.0
elite,fartlek,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.669613541114089,0,41.85951,12.55999333,73.0
elite,fartlek,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1680673046011734,0,41.859495,12.559975,73.0
elite,fartlek,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1602312566312842,0,41.85948333,12.55996,72.0
elite,fartlek,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.696540718830681,0,41.85947167,12.55994333,72.0
elite,fartlek,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.198064227455703,0,41.85945833,12.55992,72.0
elite,fartlek,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1597752394419008,0,41.85944667,12.55988833,72.0
elite,fartlek,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1681877313790583,0,41.85943667,12.55986667,72.0
elite,fartlek,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2741317751971244,0,41.85942667,12.55984667,72.0
elite,fartlek,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.115275043060445,0,41.85941833,12.55982667,72.0
elite,fartlek,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.198130505458352,0,41.859405,12.55980333,72.0
elite,fartlek,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.253864049685795,0,41.859395,12.55978,73.0
elite,fartlek,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.527906312029332,0.011746621165059593,41.85937833,12.55974833,73.0
elite,fartlek,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.240313291676086,0.0017246693730548644,41.85935833,12.55971667,73.0
elite,fartlek,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.186441696932536,0.0007214264155589275,41.85934167,12.55968667,73.0
elite,fartlek,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2566208915331774,0,41.85932833,12.55965833,73.0
elite,fartlek,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.175980947568388,0,41.859315,12.55963,73.0
elite,fartlek,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2152690338015915,0,41.859295,12.559595,74.0
elite,fartlek,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5518199279656684,1.490651812371458e-05,41.85927333,12.55955667,74.0
elite,fartlek,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.290468719288926,0,41.85924667,12.55951833,74.0
elite,fartlek,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1780761710023047,0,41.85921833,12.559515,74.0
elite,fartlek,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2738341763026124,0,41.85918833,12.55952833,74.0
elite,fartlek,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.265237719250759,0,41.85910667,12.559585,74.0
elite,fartlek,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2352152272705283,0,41.85907333,12.559605,74.0
elite,fartlek,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.244931631955046,0,41.85903833,12.55962667,74.0
elite,fartlek,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.229774876195975,0,41.859005,12.55964333,75.0
elite,fartlek,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5095112999445632,1.5605344297653932e-05,41.85897667,12.55965,75.0
elite,fartlek,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1724586737080243,0,41.85895667,12.559645,75.0
elite,fartlek,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.131546695556632,0,41.85893667,12.55962667,75.0
elite,fartlek,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1781822165524267,0.0003229540736078725,41.85894,12.55959167,75.0
elite,fartlek,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2171943774438967,0,41.85893167,12.55955333,74.0
elite,fartlek,acquedotti,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5813197313451677,0.001556363908161516,41.858935,12.55951333,74.0
elite,fartlek,acquedotti,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.219326487295016,0,41.85892,12.55947333,74.0
elite,fartlek,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2591477774248028,0,41.85891333,12.559425,74.0
elite,fartlek,acquedotti,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.113355326016454,0,41.85890333,12.55939833,74.0
elite,fartlek,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.183900885752152,0,41.85889333,12.55939833,74.0
elite,fartlek,acquedotti,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1088957630878222,0,41.85887667,12.55938,74.0
elite,fartlek,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1670472711232573,0,41.85886333,12.55936,75.0
elite,fartlek,acquedotti,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6604083726503895,0.00643371498716545,41.85885333,12.559325,75.0
elite,fartlek,acquedotti,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1751668524293115,0,41.85884167,12.55930667,75.0
elite,fartlek,acquedotti,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1502348212352556,0,41.85882667,12.55928667,75.0
elite,fartlek,acquedotti,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1711058558150915,0,41.85881333,12.55925833,75.0
elite,fartlek,acquedotti,45,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.240387446496638,0,41.85879667,12.55923833,76.0
elite,fartlek,acquedotti,46,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.604297237710183,0,41.85877833,12.55922,76.0
elite,fartlek,acquedotti,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1624561061820393,0,41.85876,12.559195,76.0
elite,fartlek,acquedotti,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.243468117423481,0,41.85874167,12.55916,76.0
elite,fartlek,acquedotti,49,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.113198288121683,0,41.85872833,12.55911,77.0
