athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7666399970194435,0,45.189325,10.79284167,37.0
elite,fartlek,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5014298904368553,0.003309724456139624,45.18932167,10.79282,37.0
elite,fartlek,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1203277088789254,0,45.189325,10.79279833,36.0
elite,fartlek,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5813332443975714,0.009264549558618607,45.18932667,10.79278,35.0
elite,fartlek,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.518238748668423,0.006740929492247599,45.18933167,10.792755,35.0
elite,fartlek,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.186530119381632,0,45.18933833,10.79272333,34.0
elite,fartlek,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.501515615587719,0,45.18934167,10.79269167,33.0
elite,fartlek,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6440369001808923,0,45.18934167,10.792665,32.0
elite,fartlek,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5002453244920853,0,45.189345,10.79263833,31.0
elite,fartlek,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5935834396671593,0,45.18935167,10.792615,31.0
elite,fartlek,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2626036860448724,0,45.189355,10.79258667,30.0
elite,fartlek,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.575080336508073,0,45.189355,10.79256,29.0
elite,fartlek,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6180369958884633,0.008188269888632848,45.18936,10.79252833,29.0
elite,fartlek,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1825154854097057,0,45.18936167,10.79250167,28.0
elite,fartlek,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5562929646405443,0.014265944603584636,45.18936167,10.79247167,28.0
elite,fartlek,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2668498808913324,0.003988647878542472,45.18936333,10.79244,27.0
elite,fartlek,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.573592131553053,0.01268874799427364,45.189365,10.79241,27.0
elite,fartlek,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2737700729979986,0,45.18936833,10.79238,27.0
elite,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.28937021890555,0,45.18937,10.79235,27.0
elite,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.189251050056827,0,45.18936833,10.79231833,26.0
elite,fartlek,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5933369435981426,0.006317253718187173,45.18937,10.792285,26.0
elite,fartlek,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.289650330858271,0,45.18937,10.79225333,25.0
elite,fartlek,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6380694319707354,0.006361256276020495,45.18937167,10.79221833,25.0
elite,fartlek,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1520012425053725,0,45.18937333,10.79218667,25.0
elite,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2989887460171277,0,45.189375,10.79215833,25.0
elite,fartlek,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2026274375524855,0,45.18937333,10.79213167,25.0
elite,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.131743840669961,8.88512886621888e-06,45.18937167,10.792105,24.0
elite,fartlek,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6157686680072176,0,45.18937,10.792075,24.0
