athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,fartlek,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6838033128331436,0,45.18933,10.79333333,93.0
elite,fartlek,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5901228762075874,0.004597285935396031,45.18926,10.79329333,91.0
elite,fartlek,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.529965756587444,0,45.18926333,10.79323667,90.0
elite,fartlek,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.582604289365004,0,45.18929667,10.79316667,88.0
elite,fartlek,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.514406316294643,0.009535919232287625,45.18930833,10.793115,85.0
elite,fartlek,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5874946738867797,0,45.18930667,10.79308167,80.0
elite,fartlek,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.525776431948976,0.008196625522505916,45.18930833,10.79303667,76.0
elite,fartlek,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.586939153861912,0.014024284651858199,45.18930667,10.79298333,72.0
elite,fartlek,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6793159587088686,0.007375710245788816,45.18931333,10.79293833,69.0
elite,fartlek,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6746265011669976,0.013595425254196089,45.189315,10.79289167,66.0
elite,fartlek,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5446042072031845,0,45.18931667,10.79285667,64.0
elite,fartlek,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.608300152782683,0,45.18931833,10.792825,61.0
elite,fartlek,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5639998757292326,0.010505571480060975,45.18931667,10.79279333,60.0
elite,fartlek,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6007924850942157,0.020593724522199135,45.18931667,10.79277167,58.0
elite,fartlek,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5859143610044133,0.024824429377891425,45.18931833,10.79274667,56.0
elite,fartlek,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.625701019282274,0.010970292992574649,45.18932167,10.79271833,55.0
elite,fartlek,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.623572023524617,0.017834886370005184,45.18932333,10.79268833,54.0
elite,fartlek,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.668684950585077,0.016155556423955615,45.189325,10.79265167,53.0
elite,fartlek,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5947347838971115,0.01688686978223647,45.18932667,10.792625,52.0
elite,fartlek,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6519342487112096,0.02132752556635571,45.18932667,10.7926,51.0
elite,fartlek,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.678376999176214,0.030404416738798703,45.18933,10.79257333,50.0
elite,fartlek,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5137978902156655,0.03656122094588089,45.18933,10.79254833,49.0
elite,fartlek,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6955481481160164,0.026890816389859528,45.18932833,10.79251833,48.0
elite,fartlek,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.527104969904417,0.023011100028258884,45.18932833,10.79249,48.0
elite,fartlek,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2130768133031054,0.005502563276364014,45.18932833,10.79246167,47.0
elite,fartlek,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6709090624401446,0.0019110582710882293,45.18933,10.79243167,47.0
elite,fartlek,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1403658335359883,0,45.18933,10.79240333,46.0
elite,fartlek,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5399594547914877,0,45.18933167,10.792375,46.0
elite,fartlek,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1227644376410826,0,45.18933333,10.79234833,46.0
elite,fartlek,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2543128600272104,0,45.189335,10.79232,46.0
elite,fartlek,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.10454832342141,0,45.18933667,10.79229333,45.0
elite,fartlek,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6053172532672906,0,45.18933833,10.79226167,45.0
elite,fartlek,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.15519096942758,0,45.18934167,10.79223167,45.0
elite,fartlek,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.229060540556011,0,45.18934667,10.79220167,45.0
elite,fartlek,tre_laghi,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1094314648953265,0,45.18935,10.792175,45.0
elite,fartlek,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2415769240509147,0,45.18935333,10.79215,44.0
elite,fartlek,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.50308951940717,0,45.18935667,10.79212167,44.0
elite,fartlek,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1968941996640026,0,45.18935833,10.79209333,44.0
elite,fartlek,tre_laghi,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.234351693534275,0,45.18935833,10.792065,44.0
elite,fartlek,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1020825349360956,0,45.18935833,10.79203667,44.0
elite,fartlek,tre_laghi,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2934610976199177,0,45.18936167,10.792005,44.0
elite,fartlek,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2613187701739963,0,45.189365,10.79197167,43.0
elite,fartlek,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6732125620428824,0,45.189365,10.79193833,43.0
elite,fartlek,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.18881645223942,0,45.18936833,10.791905,43.0
elite,fartlek,tre_laghi,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2075836216637765,0,45.18937,10.79187333,43.0
elite,fartlek,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2207680077477154,0,45.18937167,10.79184333,43.0
elite,fartlek,tre_laghi,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.176756610746074,0,45.189375,10.79181167,43.0
elite,fartlek,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.237353694229264,0,45.18937833,10.79178,42.0
elite,fartlek,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.611457405512497,0,45.18938,10.79175,42.0
elite,fartlek,tre_laghi,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1586640010142197,0,45.18938,10.79172167,42.0
elite,fartlek,tre_laghi,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.140062124258274,0,45.18938167,10.791695,42.0
elite,fartlek,tre_laghi,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.252007839284369,0,45.18938333,10.79166833,42.0
elite,fartlek,tre_laghi,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1149765604230537,0,45.18938333,10.79164333,42.0
elite,fartlek,tre_laghi,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.250310478319339,0,45.189385,10.79161833,42.0
elite,fartlek,tre_laghi,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2412225484483383,0,45.189385,10.79159,42.0
elite,fartlek,tre_laghi,56,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1855359072442977,0,45.18938833,10.79156167,41.0
elite,fartlek,tre_laghi,57,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6330129132578066,0,45.189395,10.79153333,41.0
