athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.719035599628413,0,41.85956,12.56004167,75.0
elite,progressions,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1727738597167647,0,41.85954167,12.56003,74.0
elite,progressions,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.663431012142867,0.0012552548309871503,41.859525,12.56001167,73.0
elite,progressions,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.632577334172203,0.007510853921259698,41.85951,12.55999333,73.0
elite,progressions,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1008263244573397,0,41.859495,12.559975,73.0
elite,progressions,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.239016949559565,0,41.85948333,12.55996,72.0
elite,progressions,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6926470516769427,0.007448091400740795,41.85947167,12.55994333,72.0
elite,progressions,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.237636836928471,0.0039914112127289675,41.85945833,12.55992,72.0
elite,progressions,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.104044366137371,0,41.85944667,12.55988833,72.0
elite,progressions,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1657991161599655,0,41.85943667,12.55986667,72.0
elite,progressions,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1836641051475483,0,41.85942667,12.55984667,72.0
elite,progressions,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.11513677094634,0,41.85941833,12.55982667,72.0
elite,progressions,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222207789753337,0,41.859405,12.55980333,72.0
elite,progressions,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1774427631227997,0,41.859395,12.55978,73.0
elite,progressions,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5352030763343816,0.007443930505964751,41.85937833,12.55974833,73.0
elite,progressions,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.144600524037635,0,41.85935833,12.55971667,73.0
elite,progressions,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2411059895805954,0,41.85934167,12.55968667,73.0
elite,progressions,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.165155368529638,0,41.85932833,12.55965833,73.0
elite,progressions,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.208762039480589,0,41.859315,12.55963,73.0
elite,progressions,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.152114944734497,0,41.859295,12.559595,74.0
elite,progressions,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.611710826214831,0.0024119438902825167,41.85927333,12.55955667,74.0
elite,progressions,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1760241793380035,0,41.85924667,12.55951833,74.0
elite,progressions,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2326919697265946,0,41.85921833,12.559515,74.0
elite,progressions,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1962516052364798,0,41.85918833,12.55952833,74.0
elite,progressions,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.120751230231523,0,41.85910667,12.559585,74.0
