athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.680834701861366,0,45.189325,10.79284167,37.0
elite,progressions,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6611327383824435,0,45.18932167,10.79282,37.0
elite,progressions,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.135002469618545,0,45.189325,10.79279833,36.0
elite,progressions,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5450593147718665,0,45.18932667,10.79278,35.0
elite,progressions,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6015646433863946,0.012038889897836347,45.18933167,10.792755,35.0
elite,progressions,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.29704175444946,0,45.18933833,10.79272333,34.0
elite,progressions,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.633697501335296,0,45.18934167,10.79269167,33.0
elite,progressions,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5612538685440054,0,45.18934167,10.792665,32.0
elite,progressions,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.501338882153219,0.0029833613072635656,45.189345,10.79263833,31.0
elite,progressions,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5285846391525215,0,45.18935167,10.792615,31.0
elite,progressions,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2950940636107915,0,45.189355,10.79258667,30.0
elite,progressions,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.621950013030974,0,45.189355,10.79256,29.0
elite,progressions,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6807391815472705,0.015092721474815126,45.18936,10.79252833,29.0
elite,progressions,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2322254949603613,0,45.18936167,10.79250167,28.0
elite,progressions,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.695906203952558,0.004628150648074241,45.18936167,10.79247167,28.0
elite,progressions,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.21947067340778,0.00041694586557432483,45.18936333,10.79244,27.0
elite,progressions,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.583278157653029,0.005277477274994197,45.189365,10.79241,27.0
elite,progressions,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1592846642285015,0,45.18936833,10.79238,27.0
elite,progressions,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.22501891183198,0,45.18937,10.79235,27.0
elite,progressions,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.298421526205789,0.0015963510926945506,45.18936833,10.79231833,26.0
elite,progressions,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6746728178127244,0,45.18937,10.792285,26.0
elite,progressions,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.12345485231449,0,45.18937,10.79225333,25.0
elite,progressions,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6453508047050156,0,45.18937167,10.79221833,25.0
elite,progressions,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.118059497193458,0,45.18937333,10.79218667,25.0
elite,progressions,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.21718202481698,0,45.189375,10.79215833,25.0
elite,progressions,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1207292071103874,0,45.18937333,10.79213167,25.0
elite,progressions,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2965389675530856,0,45.18937167,10.792105,24.0
elite,progressions,belfiore,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.563076081190161,0.006529400223253657,45.18937,10.792075,24.0
elite,progressions,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1611251067442523,0.005221833691969419,45.18936667,10.79204167,24.0
elite,progressions,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.193531423822184,0,45.18936667,10.79201167,24.0
elite,progressions,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2862112295424364,0,45.18936667,10.79198333,24.0
elite,progressions,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2486627921790636,0,45.18936667,10.791955,24.0
