athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,progressions,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.727629482459738,0,45.18933,10.79333333,93.0
elite,progressions,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.645875131110976,0.010882242696123041,45.18926,10.79329333,91.0
elite,progressions,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6437471939685,0.021108636366476592,45.18926333,10.79323667,90.0
elite,progressions,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.534518610049213,0.005217044408730238,45.18929667,10.79316667,88.0
elite,progressions,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5460484428859713,0,45.18930833,10.793115,85.0
elite,progressions,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6938969448678827,0,45.18930667,10.79308167,80.0
elite,progressions,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.52079241452907,0.015153185607972065,45.18930833,10.79303667,76.0
elite,progressions,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5713737403465027,0.02324865414295385,45.18930667,10.79298333,72.0
elite,progressions,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6406992591329788,0.022914901766843472,45.18931333,10.79293833,69.0
elite,progressions,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6273870823327843,0.017241118450137934,45.189315,10.79289167,66.0
elite,progressions,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5093374349682165,0.016390581647288946,45.18931667,10.79285667,64.0
elite,progressions,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.61198829566773,0.020092294021156528,45.18931833,10.792825,61.0
elite,progressions,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.573652256675478,0.019075970610041956,45.18931667,10.79279333,60.0
elite,progressions,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6106045803836686,0.025494946653093587,45.18931667,10.79277167,58.0
elite,progressions,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.538503826616578,0.024476582689694694,45.18931833,10.79274667,56.0
elite,progressions,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.675678056885363,0.01625328463836582,45.18932167,10.79271833,55.0
elite,progressions,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.501928492687371,0.001849959267914791,45.18932333,10.79268833,54.0
elite,progressions,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.537979717878982,0.0009083201103033201,45.189325,10.79265167,53.0
elite,progressions,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6202234540195697,0.005597457107561375,45.18932667,10.792625,52.0
elite,progressions,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5728157578722923,0,45.18932667,10.7926,51.0
elite,progressions,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.580501077600624,0.01283257853462917,45.18933,10.79257333,50.0
elite,progressions,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6056230095995985,0.009414013297512928,45.18933,10.79254833,49.0
elite,progressions,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.606610598146672,0.010326363345848355,45.18932833,10.79251833,48.0
elite,progressions,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.620564672142715,0.009773540329906771,45.18932833,10.79249,48.0
elite,progressions,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.262073700128235,0.00626808009154081,45.18932833,10.79246167,47.0
elite,progressions,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6129999260202865,0.016504088397209682,45.18933,10.79243167,47.0
elite,progressions,tre_laghi,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.11847241489009,0.005257546231694091,45.18933,10.79240333,46.0
elite,progressions,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6062453394500102,0.009384124143633255,45.18933167,10.792375,46.0
elite,progressions,tre_laghi,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2640914489048103,0,45.18933333,10.79234833,46.0
elite,progressions,tre_laghi,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1871855490254837,0,45.189335,10.79232,46.0
elite,progressions,tre_laghi,31,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1892408737956206,0,45.18933667,10.79229333,45.0
elite,progressions,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6589367646402815,0,45.18933833,10.79226167,45.0
elite,progressions,tre_laghi,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2082299547280257,0,45.18934167,10.79223167,45.0
elite,progressions,tre_laghi,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2832174659845426,0,45.18934667,10.79220167,45.0
elite,progressions,tre_laghi,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.195078051839081,0,45.18935,10.792175,45.0
elite,progressions,tre_laghi,36,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2129819982608714,0,45.18935333,10.79215,44.0
elite,progressions,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.539441443106573,0.010626230272310667,45.18935667,10.79212167,44.0
elite,progressions,tre_laghi,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2154369317772487,0,45.18935833,10.79209333,44.0
elite,progressions,tre_laghi,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1709392347732144,0,45.18935833,10.792065,44.0
elite,progressions,tre_laghi,40,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.173377387048919,0,45.18935833,10.79203667,44.0
elite,progressions,tre_laghi,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.180923603838239,0,45.18936167,10.792005,44.0
elite,progressions,tre_laghi,42,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.175106950521869,0.0026151860089947123,45.189365,10.79197167,43.0
elite,progressions,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.613881993822079,0,45.189365,10.79193833,43.0
elite,progressions,tre_laghi,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1557238691730465,0,45.18936833,10.791905,43.0
elite,progressions,tre_laghi,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1517804622383827,0.0005949137226667823,45.18937,10.79187333,43.0
elite,progressions,tre_laghi,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.273295069175804,0,45.18937167,10.79184333,43.0
elite,progressions,tre_laghi,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2858960804574813,0,45.189375,10.79181167,43.0
elite,progressions,tre_laghi,48,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.13298173274048,0,45.18937833,10.79178,42.0
elite,progressions,tre_laghi,49,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6996868827192375,0.006795926497640774,45.18938,10.79175,42.0
elite,progressions,tre_laghi,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.122191453928479,0,45.18938,10.79172167,42.0
elite,progressions,tre_laghi,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.299563958534391,0,45.18938167,10.791695,42.0
elite,progressions,tre_laghi,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2422426961437014,0,45.18938333,10.79166833,42.0
elite,progressions,tre_laghi,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.262340646397533,0,45.18938333,10.79164333,42.0
elite,progressions,tre_laghi,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1527212211117828,0,45.189385,10.79161833,42.0
elite,progressions,tre_laghi,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2732124057935628,0,45.189385,10.79159,42.0
elite,progressions,tre_laghi,56,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.241885297846851,0,45.18938833,10.79156167,41.0
elite,progressions,tre_laghi,57,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.533883195000243,0,45.189395,10.79153333,41.0
elite,progressions,tre_laghi,58,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2576641481957433,0,45.1894,10.79150833,40.0
elite,progressions,tre_laghi,59,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.516814781098242,0,45.18940333,10.79148333,39.0
elite,progressions,tre_laghi,60,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.544307672156282,0,45.18940667,10.79145833,39.0
elite,progressions,tre_laghi,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.258290223994706,0,45.189405,10.79143333,38.0
elite,progressions,tre_laghi,62,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6083457085209374,0.01257097576928407,45.18940667,10.791405,37.0
elite,progressions,tre_laghi,63,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5977723497012906,0.0040069666694864305,45.18940833,10.79138,36.0
elite,progressions,tre_laghi,64,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5898621875852768,0.01627296520551178,45.18940833,10.79135,36.0
elite,progressions,tre_laghi,65,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.121727855273024,0,45.18941,10.79132167,35.0
elite,progressions,tre_laghi,66,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6400906216683677,0.003571553257769255,45.18941,10.79129333,35.0
elite,progressions,tre_laghi,67,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2696300505384635,0,45.18941167,10.79126833,34.0
elite,progressions,tre_laghi,68,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5255284041472597,0,45.189415,10.79124333,33.0
elite,progressions,tre_laghi,69,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6695986902853295,0,45.18941333,10.79121667,33.0
