athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,acquedotti,1,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,4.056885127077301,0,41.85956,12.56004167,75.0
elite,recovery,acquedotti,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.521777940389615,0.014136431966044548,41.85954167,12.56003,74.0
elite,recovery,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5739630240556597,0.009632424612212174,41.859525,12.56001167,73.0
elite,recovery,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5984393441277542,0.007369332598014895,41.85951,12.55999333,73.0
elite,recovery,acquedotti,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5347442035067043,0.010359206755118953,41.859495,12.559975,73.0
elite,recovery,acquedotti,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.56002221776876,0.010429433866026941,41.85948333,12.55996,72.0
elite,recovery,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5176405291909547,0.006668062461991566,41.85947167,12.55994333,72.0
elite,recovery,acquedotti,8,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.505213755031983,0.015287119009955696,41.85945833,12.55992,72.0
elite,recovery,acquedotti,9,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6378553604923454,0.011223488279674945,41.85944667,12.55988833,72.0
elite,recovery,acquedotti,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6185010993361786,0,41.85943667,12.55986667,72.0
elite,recovery,acquedotti,11,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.508961916995016,0,41.85942667,12.55984667,72.0
elite,recovery,acquedotti,12,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.62942798117966,0.01380802624491497,41.85941833,12.55982667,72.0
elite,recovery,acquedotti,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.626894870797349,0.0240619115807712,41.859405,12.55980333,72.0
elite,recovery,acquedotti,14,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.50784497119013,0.007716664361818271,41.859395,12.55978,73.0
elite,recovery,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6340988227126916,0.011593299384043366,41.85937833,12.55974833,73.0
elite,recovery,acquedotti,16,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.553813371834653,0.007143077199666112,41.85935833,12.55971667,73.0
elite,recovery,acquedotti,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6645975805052844,0.007393247890319749,41.85934167,12.55968667,73.0
elite,recovery,acquedotti,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.502253595749908,0,41.85932833,12.55965833,73.0
elite,recovery,acquedotti,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.505736648271351,0.009310071732885564,41.859315,12.55963,73.0
elite,recovery,acquedotti,20,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.6178945520514483,0,41.859295,12.559595,74.0
elite,recovery,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.516287179365616,0.011616043148369207,41.85927333,12.55955667,74.0
elite,recovery,acquedotti,22,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.672575067892798,0.0020458924104733447,41.85924667,12.55951833,74.0
elite,recovery,acquedotti,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5398517518539125,0,41.85921833,12.559515,74.0
elite,recovery,acquedotti,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5121024758489017,0.007514519429317763,41.85918833,12.55952833,74.0
elite,recovery,acquedotti,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.682855201827553,0.01111867627538007,41.85910667,12.559585,74.0
elite,recovery,acquedotti,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.526763884129347,0.01352043988519707,41.85907333,12.559605,74.0
elite,recovery,acquedotti,27,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6821584845152824,0.01330681483159639,41.85903833,12.55962667,74.0
elite,recovery,acquedotti,28,warmup,low,keep going,Z1,Z1,Z1,Z1,uphill,2.5581509100547684,0.007999979853518614,41.859005,12.55964333,75.0
elite,recovery,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6957863233959585,0,41.85897667,12.55965,75.0
