athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,belfiore,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.014368858482846,0.006995912965707105,45.189325,10.79284167,37.0
elite,recovery,belfiore,2,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.604210385767326,0.008440871509164671,45.18932167,10.79282,37.0
elite,recovery,belfiore,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5266360921449067,0.015227758965634193,45.189325,10.79279833,36.0
elite,recovery,belfiore,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.59122627855639,0.019313443219200185,45.18932667,10.79278,35.0
elite,recovery,belfiore,5,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.565271600003809,0.01983971010753066,45.18933167,10.792755,35.0
elite,recovery,belfiore,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5787262248385816,0.01725627017029068,45.18933833,10.79272333,34.0
elite,recovery,belfiore,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.544869951076769,0.013893945167975494,45.18934167,10.79269167,33.0
elite,recovery,belfiore,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.549197155217712,0.0005309205146636258,45.18934167,10.792665,32.0
elite,recovery,belfiore,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6941362886347773,0,45.189345,10.79263833,31.0
elite,recovery,belfiore,10,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6221356308864388,0.003485694258718906,45.18935167,10.792615,31.0
elite,recovery,belfiore,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5923040694487125,0,45.189355,10.79258667,30.0
elite,recovery,belfiore,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6208067512376036,0,45.189355,10.79256,29.0
elite,recovery,belfiore,13,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5450850017565774,0,45.18936,10.79252833,29.0
elite,recovery,belfiore,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.593707866369224,0,45.18936167,10.79250167,28.0
elite,recovery,belfiore,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6514636916786825,0.011532564342220485,45.18936167,10.79247167,28.0
elite,recovery,belfiore,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6462704568720383,0,45.18936333,10.79244,27.0
elite,recovery,belfiore,17,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6950318535506916,0,45.189365,10.79241,27.0
elite,recovery,belfiore,18,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6410978948230697,0.004076399867521374,45.18936833,10.79238,27.0
elite,recovery,belfiore,19,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6738563472564287,0,45.18937,10.79235,27.0
elite,recovery,belfiore,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.601903868996257,0,45.18936833,10.79231833,26.0
elite,recovery,belfiore,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6020948304838405,0,45.18937,10.792285,26.0
elite,recovery,belfiore,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6334296262935415,0,45.18937,10.79225333,25.0
elite,recovery,belfiore,23,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.617942995080644,0.010903345685376403,45.18937167,10.79221833,25.0
elite,recovery,belfiore,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5037013151197174,0.005412725654781312,45.18937333,10.79218667,25.0
elite,recovery,belfiore,25,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6671556589776153,0.013794423114026273,45.189375,10.79215833,25.0
