athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,recovery,tre_laghi,1,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,4.126601166250013,0,45.18933,10.79333333,93.0
elite,recovery,tre_laghi,2,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6472346369474278,0,45.18926,10.79329333,91.0
elite,recovery,tre_laghi,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6254887237559874,0,45.18926333,10.79323667,90.0
elite,recovery,tre_laghi,4,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6366415091917372,0,45.18929667,10.79316667,88.0
elite,recovery,tre_laghi,5,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6481658404426502,0,45.18930833,10.793115,85.0
elite,recovery,tre_laghi,6,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.653189742291248,0,45.18930667,10.79308167,80.0
elite,recovery,tre_laghi,7,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5515976942476306,0.012026764841829034,45.18930833,10.79303667,76.0
elite,recovery,tre_laghi,8,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5763558350338034,0.022117359934366428,45.18930667,10.79298333,72.0
elite,recovery,tre_laghi,9,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6313242024808496,0.013885838635815521,45.18931333,10.79293833,69.0
elite,recovery,tre_laghi,10,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6415854678634494,0.012480228894451542,45.189315,10.79289167,66.0
elite,recovery,tre_laghi,11,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6426733937185243,0.0012878168836842183,45.18931667,10.79285667,64.0
elite,recovery,tre_laghi,12,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5862147011487298,0.01018989335247708,45.18931833,10.792825,61.0
elite,recovery,tre_laghi,13,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6361373797487277,0,45.18931667,10.79279333,60.0
elite,recovery,tre_laghi,14,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.622137608448176,0.0033318691082379792,45.18931667,10.79277167,58.0
elite,recovery,tre_laghi,15,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.574332299306632,0,45.18931833,10.79274667,56.0
elite,recovery,tre_laghi,16,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6168813480773654,0,45.18932167,10.79271833,55.0
elite,recovery,tre_laghi,17,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.665276919050364,0,45.18932333,10.79268833,54.0
elite,recovery,tre_laghi,18,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5644213290895834,0,45.189325,10.79265167,53.0
elite,recovery,tre_laghi,19,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5701785487443813,0.007113948844232008,45.18932667,10.792625,52.0
elite,recovery,tre_laghi,20,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.662957716295898,0.003097542883142679,45.18932667,10.7926,51.0
elite,recovery,tre_laghi,21,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.610142093764859,0,45.18933,10.79257333,50.0
elite,recovery,tre_laghi,22,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.577856514655605,0,45.18933,10.79254833,49.0
elite,recovery,tre_laghi,23,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6413542314543497,0.007619757178242091,45.18932833,10.79251833,48.0
elite,recovery,tre_laghi,24,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.569896878215425,0.002841044772247149,45.18932833,10.79249,48.0
elite,recovery,tre_laghi,25,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.599508570829937,0,45.18932833,10.79246167,47.0
elite,recovery,tre_laghi,26,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.537821290377209,0,45.18933,10.79243167,47.0
elite,recovery,tre_laghi,27,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.538178430549304,0.011824411386754453,45.18933,10.79240333,46.0
elite,recovery,tre_laghi,28,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.610992944335042,0.00649239714506328,45.18933167,10.792375,46.0
elite,recovery,tre_laghi,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.543406141992812,0.010867485793456425,45.18933333,10.79234833,46.0
elite,recovery,tre_laghi,30,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5688273574676073,0.011382255335947401,45.189335,10.79232,46.0
elite,recovery,tre_laghi,31,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6188114980296335,0.004811148968063683,45.18933667,10.79229333,45.0
elite,recovery,tre_laghi,32,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.574605332810356,0.0016269720760895452,45.18933833,10.79226167,45.0
elite,recovery,tre_laghi,33,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.500552121553853,0,45.18934167,10.79223167,45.0
elite,recovery,tre_laghi,34,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5642879642741025,0,45.18934667,10.79220167,45.0
elite,recovery,tre_laghi,35,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5362573858155213,0,45.18935,10.792175,45.0
elite,recovery,tre_laghi,36,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.5989752392660286,0.013101296055881983,45.18935333,10.79215,44.0
elite,recovery,tre_laghi,37,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.600345715483919,0.01623338744151686,45.18935667,10.79212167,44.0
elite,recovery,tre_laghi,38,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6513778452359364,0.024182748717858013,45.18935833,10.79209333,44.0
elite,recovery,tre_laghi,39,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.588935542381203,0.007180551874797075,45.18935833,10.792065,44.0
elite,recovery,tre_laghi,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.646312845546094,0.0074250752908627165,45.18935833,10.79203667,44.0
elite,recovery,tre_laghi,41,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.538819371853762,0.017348429547672017,45.18936167,10.792005,44.0
elite,recovery,tre_laghi,42,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.517204959683779,0.011267791470052324,45.189365,10.79197167,43.0
elite,recovery,tre_laghi,43,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.622466634977277,0.012380405885407153,45.189365,10.79193833,43.0
elite,recovery,tre_laghi,44,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.666643945837151,0.02094670611954294,45.18936833,10.791905,43.0
