athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7570935735019706,0,45.189325,10.79284167,37.0
amatour,endurance,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1466910570511777,0,45.18932167,10.79282,37.0
amatour,endurance,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2729897382095507,0,45.189325,10.79279833,36.0
amatour,endurance,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2464544568742792,0,45.18932667,10.79278,35.0
amatour,endurance,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1478068306098637,0,45.18933167,10.792755,35.0
amatour,endurance,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.183837425457983,0,45.18933833,10.79272333,34.0
amatour,endurance,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1138719307775156,0,45.18934167,10.79269167,33.0
amatour,endurance,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2806241035352985,0,45.18934167,10.792665,32.0
amatour,endurance,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1887992933050735,0,45.189345,10.79263833,31.0
amatour,endurance,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2571474588519944,0,45.18935167,10.792615,31.0
amatour,endurance,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.196949621628655,0,45.189355,10.79258667,30.0
amatour,endurance,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.28099726470205,0,45.189355,10.79256,29.0
amatour,endurance,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2314835078080577,0,45.18936,10.79252833,29.0
amatour,endurance,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1037377399779893,0,45.18936167,10.79250167,28.0
amatour,endurance,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1193530012708597,0,45.18936167,10.79247167,28.0
amatour,endurance,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.166100909663589,0,45.18936333,10.79244,27.0
amatour,endurance,belfiore,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2664124800328604,0,45.189365,10.79241,27.0
amatour,endurance,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2067141093610076,0,45.18936833,10.79238,27.0
amatour,endurance,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1606236569884008,0,45.18937,10.79235,27.0
amatour,endurance,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.156025020421851,0,45.18936833,10.79231833,26.0
amatour,endurance,belfiore,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2120112395629805,0,45.18937,10.792285,26.0
amatour,endurance,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.210358578712041,0,45.18937,10.79225333,25.0
amatour,endurance,belfiore,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.221933627038838,0,45.18937167,10.79221833,25.0
amatour,endurance,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1603802492913124,0,45.18937333,10.79218667,25.0
amatour,endurance,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.228673257998117,0,45.189375,10.79215833,25.0
amatour,endurance,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2687444351261075,0,45.18937333,10.79213167,25.0
amatour,endurance,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1827821122321747,0,45.18937167,10.792105,24.0
amatour,endurance,belfiore,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.269952960391819,0,45.18937,10.792075,24.0
amatour,endurance,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.125821331268646,0,45.18936667,10.79204167,24.0
amatour,endurance,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2535891941803725,0,45.18936667,10.79201167,24.0
amatour,endurance,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.230789747791709,0,45.18936667,10.79198333,24.0
amatour,endurance,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1045046652026818,0,45.18936667,10.791955,24.0
amatour,endurance,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.205069322991687,0,45.18936833,10.79193,24.0
amatour,endurance,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1807968857694684,0,45.18937,10.7919,24.0
amatour,endurance,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.256316501835793,0,45.18937167,10.79186833,24.0
amatour,endurance,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2735148676196855,0,45.18937333,10.79184,24.0
