athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,endurance,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7968672238869416,0,45.18933,10.79333333,93.0
amatour,endurance,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.144679610829131,0,45.18926,10.79329333,91.0
amatour,endurance,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1873291875854113,0,45.18926333,10.79323667,90.0
amatour,endurance,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1303270468597497,0,45.18929667,10.79316667,88.0
amatour,endurance,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.284665463163258,0,45.18930833,10.793115,85.0
amatour,endurance,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2462783004429885,0,45.18930667,10.79308167,80.0
amatour,endurance,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.159947529442393,0,45.18930833,10.79303667,76.0
amatour,endurance,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.218764496280245,0,45.18930667,10.79298333,72.0
amatour,endurance,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.133074812101371,0,45.18931333,10.79293833,69.0
amatour,endurance,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1654156679540706,0,45.189315,10.79289167,66.0
amatour,endurance,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.187355879174244,0,45.18931667,10.79285667,64.0
amatour,endurance,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.230839926215127,0,45.18931833,10.792825,61.0
amatour,endurance,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2504137199078316,0,45.18931667,10.79279333,60.0
amatour,endurance,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.158975875469207,0,45.18931667,10.79277167,58.0
amatour,endurance,tre_laghi,15,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.101527180771571,0,45.18931833,10.79274667,56.0
amatour,endurance,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.168424355869852,0,45.18932167,10.79271833,55.0
amatour,endurance,tre_laghi,17,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1667521665337683,0,45.18932333,10.79268833,54.0
amatour,endurance,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.217401157996273,0,45.189325,10.79265167,53.0
amatour,endurance,tre_laghi,19,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.104967814598354,0,45.18932667,10.792625,52.0
amatour,endurance,tre_laghi,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.255416910617782,0,45.18932667,10.7926,51.0
amatour,endurance,tre_laghi,21,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.146196075604253,0,45.18933,10.79257333,50.0
amatour,endurance,tre_laghi,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1656132870388958,0,45.18933,10.79254833,49.0
amatour,endurance,tre_laghi,23,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1199193347753815,0,45.18932833,10.79251833,48.0
amatour,endurance,tre_laghi,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.137223720659541,0,45.18932833,10.79249,48.0
amatour,endurance,tre_laghi,25,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.161889746972268,0,45.18932833,10.79246167,47.0
amatour,endurance,tre_laghi,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222599667699097,0,45.18933,10.79243167,47.0
