athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.7190660317791977,0,41.85956,12.56004167,75.0
amatour,fartlek,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1615932444468613,0,41.85954167,12.56003,74.0
amatour,fartlek,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.236748830323218,0,41.859525,12.56001167,73.0
amatour,fartlek,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.26904120312078,0,41.85951,12.55999333,73.0
amatour,fartlek,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2126364173350783,0,41.859495,12.559975,73.0
amatour,fartlek,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.245594791632233,0,41.85948333,12.55996,72.0
amatour,fartlek,acquedotti,7,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2336869159799413,0,41.85947167,12.55994333,72.0
amatour,fartlek,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.288071706168843,0,41.85945833,12.55992,72.0
amatour,fartlek,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2564558459132162,0,41.85944667,12.55988833,72.0
amatour,fartlek,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1732911691198433,0,41.85943667,12.55986667,72.0
amatour,fartlek,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1309153727929524,0,41.85942667,12.55984667,72.0
amatour,fartlek,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.112738917149897,0,41.85941833,12.55982667,72.0
amatour,fartlek,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.282180579828835,0,41.859405,12.55980333,72.0
amatour,fartlek,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.149960951707778,0,41.859395,12.55978,73.0
amatour,fartlek,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.685598996524863,0,41.85937833,12.55974833,73.0
amatour,fartlek,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.137378493439317,0,41.85935833,12.55971667,73.0
amatour,fartlek,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1926205349964776,0,41.85934167,12.55968667,73.0
amatour,fartlek,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2629107740877905,0,41.85932833,12.55965833,73.0
amatour,fartlek,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1171857701053143,0,41.859315,12.55963,73.0
amatour,fartlek,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.173465536764793,0,41.859295,12.559595,74.0
amatour,fartlek,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5373207711604344,0,41.85927333,12.55955667,74.0
amatour,fartlek,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.170567642418193,0,41.85924667,12.55951833,74.0
amatour,fartlek,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1390686092178366,0,41.85921833,12.559515,74.0
amatour,fartlek,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.139781717046558,0,41.85918833,12.55952833,74.0
amatour,fartlek,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2531350371450483,0,41.85910667,12.559585,74.0
