athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6077720583911654,0,45.189325,10.79284167,37.0
amatour,fartlek,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.231422834615261,0,45.18932167,10.79282,37.0
amatour,fartlek,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1146389090525433,0,45.189325,10.79279833,36.0
amatour,fartlek,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2937414405016643,0,45.18932667,10.79278,35.0
amatour,fartlek,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.153359994739972,0,45.18933167,10.792755,35.0
amatour,fartlek,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1879741775228023,0,45.18933833,10.79272333,34.0
amatour,fartlek,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.271930344753644,0,45.18934167,10.79269167,33.0
amatour,fartlek,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2011902484081394,0,45.18934167,10.792665,32.0
amatour,fartlek,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.274990464426535,0,45.189345,10.79263833,31.0
amatour,fartlek,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2668510217876214,0,45.18935167,10.792615,31.0
amatour,fartlek,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2176723336939013,0,45.189355,10.79258667,30.0
amatour,fartlek,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.267193496480072,0,45.189355,10.79256,29.0
amatour,fartlek,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.299507392262494,0,45.18936,10.79252833,29.0
amatour,fartlek,belfiore,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.142049563107258,0,45.18936167,10.79250167,28.0
amatour,fartlek,belfiore,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1301709131332016,0,45.18936167,10.79247167,28.0
amatour,fartlek,belfiore,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.234851484451338,0,45.18936333,10.79244,27.0
amatour,fartlek,belfiore,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2104970915498825,0,45.189365,10.79241,27.0
amatour,fartlek,belfiore,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1680366903716397,0,45.18936833,10.79238,27.0
amatour,fartlek,belfiore,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1872176473860003,0,45.18937,10.79235,27.0
amatour,fartlek,belfiore,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1181827322425346,0,45.18936833,10.79231833,26.0
amatour,fartlek,belfiore,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1701531782549903,0,45.18937,10.792285,26.0
amatour,fartlek,belfiore,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1819941811074512,0,45.18937,10.79225333,25.0
amatour,fartlek,belfiore,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2216888329456985,0,45.18937167,10.79221833,25.0
amatour,fartlek,belfiore,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.250493193211381,0,45.18937333,10.79218667,25.0
amatour,fartlek,belfiore,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.239434684709352,0,45.189375,10.79215833,25.0
amatour,fartlek,belfiore,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.132952833038836,0,45.18937333,10.79213167,25.0
amatour,fartlek,belfiore,27,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.249726564251698,0,45.18937167,10.792105,24.0
amatour,fartlek,belfiore,28,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.265330450409847,0,45.18937,10.792075,24.0
amatour,fartlek,belfiore,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.182553940690982,0,45.18936667,10.79204167,24.0
amatour,fartlek,belfiore,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2224171089376616,0,45.18936667,10.79201167,24.0
amatour,fartlek,belfiore,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.155489803995322,0,45.18936667,10.79198333,24.0
amatour,fartlek,belfiore,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2568764217372137,0,45.18936667,10.791955,24.0
amatour,fartlek,belfiore,33,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.264756068075357,0,45.18936833,10.79193,24.0
amatour,fartlek,belfiore,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2508545594732516,0,45.18937,10.7919,24.0
amatour,fartlek,belfiore,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.166153613943931,0,45.18937167,10.79186833,24.0
amatour,fartlek,belfiore,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.229692219646802,0,45.18937333,10.79184,24.0
amatour,fartlek,belfiore,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.122747520168513,0,45.189375,10.79181333,24.0
amatour,fartlek,belfiore,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.148724375252461,0,45.18937667,10.79178667,24.0
amatour,fartlek,belfiore,39,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2606489937285335,0,45.18937833,10.79176,25.0
amatour,fartlek,belfiore,40,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.522385186639123,0.0003074042947558197,45.18938,10.79173167,25.0
amatour,fartlek,belfiore,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.287642298372666,0,45.18938,10.791705,25.0
amatour,fartlek,belfiore,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1996137785281507,0,45.18938333,10.79167833,25.0
amatour,fartlek,belfiore,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.226472080642663,0,45.18938333,10.79165333,25.0
amatour,fartlek,belfiore,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1957333565217416,0,45.18938333,10.791625,25.0
amatour,fartlek,belfiore,45,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2279852692261928,0,45.18938167,10.79159333,25.0
amatour,fartlek,belfiore,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2933814294033317,0,45.189385,10.79156667,25.0
amatour,fartlek,belfiore,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.107284308795135,0,45.18939167,10.79154333,25.0
amatour,fartlek,belfiore,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.230202087381587,0,45.189395,10.79151667,25.0
amatour,fartlek,belfiore,49,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1278045464134907,0,45.18939833,10.79149,25.0
amatour,fartlek,belfiore,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1817703694791897,0,45.1894,10.79146167,25.0
amatour,fartlek,belfiore,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2641675688232015,0,45.1894,10.791435,25.0
amatour,fartlek,belfiore,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.122915064272347,0,45.18940167,10.79140667,25.0
amatour,fartlek,belfiore,53,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.129258421605697,0,45.189405,10.79138167,24.0
amatour,fartlek,belfiore,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.204902772803046,0,45.18940667,10.79135833,24.0
amatour,fartlek,belfiore,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1393272890435737,0,45.18941,10.79133333,24.0
amatour,fartlek,belfiore,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.267890213192313,0,45.18941167,10.79131,24.0
amatour,fartlek,belfiore,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1880809285500766,0,45.18941333,10.79128167,23.0
amatour,fartlek,belfiore,58,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.222147241800865,0,45.189415,10.79125167,23.0
amatour,fartlek,belfiore,59,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1934842419546725,0,45.18941333,10.79122333,23.0
amatour,fartlek,belfiore,60,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.165913069604443,0,45.18941333,10.79119333,23.0
amatour,fartlek,belfiore,61,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2875127020144763,0,45.18941667,10.79116667,23.0
amatour,fartlek,belfiore,62,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.254648431478639,0,45.18941833,10.79113667,22.0
amatour,fartlek,belfiore,63,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1321535585181963,0,45.18942,10.79111,22.0
amatour,fartlek,belfiore,64,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1885578460426864,0,45.18942167,10.791085,22.0
