athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,fartlek,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6655743472258884,0,45.18933,10.79333333,93.0
amatour,fartlek,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1939691128137975,0,45.18926,10.79329333,91.0
amatour,fartlek,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.227936394022267,0,45.18926333,10.79323667,90.0
amatour,fartlek,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.135269286005762,0,45.18929667,10.79316667,88.0
amatour,fartlek,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2205857080677736,0,45.18930833,10.793115,85.0
amatour,fartlek,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2408472920283145,0,45.18930667,10.79308167,80.0
amatour,fartlek,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2721367874147305,0,45.18930833,10.79303667,76.0
amatour,fartlek,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2194348035563345,0,45.18930667,10.79298333,72.0
amatour,fartlek,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1599058827266355,0,45.18931333,10.79293833,69.0
amatour,fartlek,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.192117662876943,0,45.189315,10.79289167,66.0
amatour,fartlek,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2538736973420463,0,45.18931667,10.79285667,64.0
amatour,fartlek,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1832061750868794,0,45.18931833,10.792825,61.0
amatour,fartlek,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.125909420146269,0,45.18931667,10.79279333,60.0
amatour,fartlek,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1942643891047537,0,45.18931667,10.79277167,58.0
amatour,fartlek,tre_laghi,15,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2664646243959257,0,45.18931833,10.79274667,56.0
amatour,fartlek,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2787298673595435,0,45.18932167,10.79271833,55.0
amatour,fartlek,tre_laghi,17,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.137016496900725,0,45.18932333,10.79268833,54.0
amatour,fartlek,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.256615650372962,0,45.189325,10.79265167,53.0
amatour,fartlek,tre_laghi,19,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1828320634932465,0,45.18932667,10.792625,52.0
amatour,fartlek,tre_laghi,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1893097099592453,0,45.18932667,10.7926,51.0
amatour,fartlek,tre_laghi,21,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1973476538690075,0,45.18933,10.79257333,50.0
amatour,fartlek,tre_laghi,22,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1444159991369554,0,45.18933,10.79254833,49.0
amatour,fartlek,tre_laghi,23,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1314967612432008,0,45.18932833,10.79251833,48.0
amatour,fartlek,tre_laghi,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.249131753860892,0,45.18932833,10.79249,48.0
