athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,acquedotti,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,3.212926365388492,0.029087183227654596,41.85956,12.56004167,75.0
amatour,progressions,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.289114235193217,0,41.85954167,12.56003,74.0
amatour,progressions,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2265690112439747,0,41.859525,12.56001167,73.0
amatour,progressions,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.291140146207731,0,41.85951,12.55999333,73.0
amatour,progressions,acquedotti,5,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8957465464799153,0.0007472581646920817,41.859495,12.559975,73.0
amatour,progressions,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.268331924822226,0,41.85948333,12.55996,72.0
amatour,progressions,acquedotti,7,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.210837840299161,0,41.85947167,12.55994333,72.0
amatour,progressions,acquedotti,8,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.778691805171904,0.0077968619489742754,41.85945833,12.55992,72.0
amatour,progressions,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.216397123605649,0,41.85944667,12.55988833,72.0
amatour,progressions,acquedotti,10,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8045137192401237,0,41.85943667,12.55986667,72.0
amatour,progressions,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1709374469066995,0,41.85942667,12.55984667,72.0
amatour,progressions,acquedotti,12,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.8839690479374194,0.017982431931001866,41.85941833,12.55982667,72.0
amatour,progressions,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.263368718946758,0.005416664185162119,41.859405,12.55980333,72.0
amatour,progressions,acquedotti,14,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.2398173528044618,0.0074735246457255135,41.859395,12.55978,73.0
amatour,progressions,acquedotti,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2242055100456684,0,41.85937833,12.55974833,73.0
amatour,progressions,acquedotti,16,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2676548527611766,0.007069946125903052,41.85935833,12.55971667,73.0
amatour,progressions,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1784599875746347,0,41.85934167,12.55968667,73.0
amatour,progressions,acquedotti,18,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1697443782556525,0.03724641557291443,41.85932833,12.55965833,73.0
amatour,progressions,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.28637561849009,0.026399705748908223,41.859315,12.55963,73.0
amatour,progressions,acquedotti,20,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.1752644600050668,0.05364338348171029,41.859295,12.559595,74.0
amatour,progressions,acquedotti,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.181055980279834,0.01883515951538585,41.85927333,12.55955667,74.0
amatour,progressions,acquedotti,22,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1320026936616168,0.06202498263618875,41.85924667,12.55951833,74.0
amatour,progressions,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.160531839316318,0.04436192749508641,41.85921833,12.559515,74.0
amatour,progressions,acquedotti,24,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.181954103135182,0.07432296074128607,41.85918833,12.55952833,74.0
amatour,progressions,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.243842089479965,0.046420621780828175,41.85910667,12.559585,74.0
amatour,progressions,acquedotti,26,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2804921067634445,0.10700671592389774,41.85907333,12.559605,74.0
amatour,progressions,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1584467517925656,0.12569242004856562,41.85903833,12.55962667,74.0
amatour,progressions,acquedotti,28,warmup,low,accelerate,Z2,Z2,Z1,Z1,uphill,1.2394022050412161,0.16971223149410225,41.859005,12.55964333,75.0
amatour,progressions,acquedotti,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.255660146096785,0.15641155791053213,41.85897667,12.55965,75.0
amatour,progressions,acquedotti,30,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.148397824017273,0.22714620385308154,41.85895667,12.559645,75.0
amatour,progressions,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.279131690174127,0.25607927456361207,41.85893667,12.55962667,75.0
amatour,progressions,acquedotti,32,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.226429988734288,0.3485001107476781,41.85894,12.55959167,75.0
amatour,progressions,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1475284798877947,0.39315221182614146,41.85893167,12.55955333,74.0
amatour,progressions,acquedotti,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.233903898922061,0.49207260312966694,41.858935,12.55951333,74.0
amatour,progressions,acquedotti,35,warmup,low,accelerate,Z1,Z2,Z1,Z1,flat,1.754494037353525,0.62373721440626,41.85892,12.55947333,74.0
amatour,progressions,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.245349975256249,0.7849785029055554,41.85891333,12.559425,74.0
amatour,progressions,acquedotti,37,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.2439283394516603,1.0650464896483238,41.85890333,12.55939833,74.0
amatour,progressions,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.12053260884282,1.3643598491770452,41.85889333,12.55939833,74.0
amatour,progressions,acquedotti,39,warmup,low,accelerate,Z2,Z2,Z1,Z1,flat,1.1373688305672802,1.78749283522285,41.85887667,12.55938,74.0
amatour,progressions,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2580435723578938,2.306492025091387,41.85886333,12.55936,75.0
amatour,progressions,acquedotti,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.12480868758071,2.947663214391099,41.85885333,12.559325,75.0
amatour,progressions,acquedotti,42,warmup,medium,accelerate,Z1,Z2,Z1,Z1,flat,0.8723439684723691,3.831025654612976,41.85884167,12.55930667,75.0
amatour,progressions,acquedotti,43,warmup,medium,accelerate,Z2,Z3,Z1,Z1,flat,0.030688886195113292,5.006247251884893,41.85882667,12.55928667,75.0
amatour,progressions,acquedotti,44,warmup,medium,accelerate,Z2,Z4,Z1,Z1,flat,-3.9673998379108477,6.536049388252408,41.85881333,12.55925833,75.0
amatour,progressions,acquedotti,45,warmup,high,keep going,Z3,Z4,Z1,Z1,uphill,-8.337091708067147,8.54348502511035,41.85879667,12.55923833,76.0
amatour,progressions,acquedotti,46,warmup,high,slow down,Z3,Z3,Z1,Z1,flat,-10.89330122352149,10,41.85877833,12.55922,76.0
amatour,progressions,acquedotti,47,warmup,high,slow down,Z3,Z2,Z1,Z1,flat,-10.272024497623212,10,41.85876,12.559195,76.0
amatour,progressions,acquedotti,48,warmup,high,slow down,Z2,Z1,Z1,Z1,flat,-6.969405764438372,10,41.85874167,12.55916,76.0
amatour,progressions,acquedotti,49,warmup,high,keep going,Z2,Z1,Z1,Z1,uphill,-8.132685596247303,10,41.85872833,12.55911,77.0
amatour,progressions,acquedotti,50,warmup,high,keep going,Z2,Z1,Z1,Z1,flat,-8.123889198256531,10,41.85872167,12.55904833,77.0
amatour,progressions,acquedotti,51,warmup,high,keep going,Z2,Z1,Z1,Z1,flat,-8.276423906230479,10,41.85870667,12.55902167,77.0
amatour,progressions,acquedotti,52,warmup,high,keep going,Z2,Z1,Z1,Z1,flat,-8.168597423687453,10,41.858705,12.55896667,77.0
amatour,progressions,acquedotti,53,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.462028123265267,10,41.85869667,12.55894,77.0
amatour,progressions,acquedotti,54,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.8044051508020456,10,41.85867333,12.55895833,77.0
amatour,progressions,acquedotti,55,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.714289412722033,10,41.85863333,12.559,77.0
amatour,progressions,acquedotti,56,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.816444677778605,10,41.8586,12.55905333,77.0
amatour,progressions,acquedotti,57,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.786050503857663,10,41.85856,12.559115,76.0
amatour,progressions,acquedotti,58,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.499799121485067,10,41.85854,12.55913,76.0
amatour,progressions,acquedotti,59,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.82428611194039,10,41.85852167,12.55912667,75.0
amatour,progressions,acquedotti,60,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.424334676901267,10,41.85850333,12.55911833,75.0
amatour,progressions,acquedotti,61,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.769638832304245,10,41.85849167,12.55911,74.0
amatour,progressions,acquedotti,62,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.447429709439214,10,41.85848667,12.55909833,74.0
amatour,progressions,acquedotti,63,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.75127667480427,10,41.85848,12.55908833,73.0
amatour,progressions,acquedotti,64,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.439065009751416,10,41.85847167,12.559075,73.0
amatour,progressions,acquedotti,65,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.868847136111243,10,41.85845667,12.55906,73.0
amatour,progressions,acquedotti,66,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.829957318874943,10,41.85844333,12.55905,72.0
amatour,progressions,acquedotti,67,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4608315334387765,10,41.85843167,12.55903833,72.0
amatour,progressions,acquedotti,68,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.7135775801700674,10,41.85842333,12.55902667,72.0
amatour,progressions,acquedotti,69,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.831508708191167,10,41.85841833,12.55900667,72.0
amatour,progressions,acquedotti,70,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.777034359397809,10,41.858415,12.55898,72.0
amatour,progressions,acquedotti,71,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.848996176810386,10,41.85841167,12.558955,71.0
amatour,progressions,acquedotti,72,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.4558216187473025,10,41.85840167,12.55893,71.0
amatour,progressions,acquedotti,73,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.815487441775017,10,41.85839,12.55891333,71.0
amatour,progressions,acquedotti,74,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.7984307656531975,10,41.858375,12.55889,71.0
amatour,progressions,acquedotti,75,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.825178689920087,10,41.85835667,12.55886833,71.0
amatour,progressions,acquedotti,76,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.721700899352513,10,41.85834167,12.55885,71.0
amatour,progressions,acquedotti,77,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.760111938922961,10,41.85833167,12.55882833,71.0
amatour,progressions,acquedotti,78,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.813777044091274,10,41.85831833,12.55881,71.0
amatour,progressions,acquedotti,79,warmup,high,slow down,Z1,Z1,Z1,Z1,downhill,-7.893536016704484,10,41.85830667,12.55879333,70.0
amatour,progressions,acquedotti,80,warmup,high,keep going,Z1,Z1,Z1,Z1,flat,-7.381149428265733,10,41.85829333,12.55877,70.0
amatour,progressions,acquedotti,81,warmup,high,slow down,Z1,Z1,Z1,Z1,flat,-7.758551229560016,10,41.85828,12.55874167,70.0
