athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,belfiore,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.3524267484564425,0,45.189325,10.79284167,37.0
amatour,progressions,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.10928999246395,0,45.18932167,10.79282,37.0
amatour,progressions,belfiore,3,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7840954227787604,0.029691317034599783,45.189325,10.79279833,36.0
amatour,progressions,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.107185729633251,0.0023552971900879234,45.18932667,10.79278,35.0
amatour,progressions,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1014565340031863,0,45.18933167,10.792755,35.0
amatour,progressions,belfiore,6,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.7531369905819298,0.006635295148598353,45.18933833,10.79272333,34.0
amatour,progressions,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.153115011460078,0,45.18934167,10.79269167,33.0
amatour,progressions,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2225362253173846,0,45.18934167,10.792665,32.0
amatour,progressions,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1338228810550386,0,45.189345,10.79263833,31.0
amatour,progressions,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1166730401041467,0,45.18935167,10.792615,31.0
amatour,progressions,belfiore,11,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8109599372631138,0.012687237850488559,45.189355,10.79258667,30.0
amatour,progressions,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2370996351093293,0,45.189355,10.79256,29.0
amatour,progressions,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1349957434919515,0,45.18936,10.79252833,29.0
amatour,progressions,belfiore,14,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,1.8810602261939284,0.012130737030006652,45.18936167,10.79250167,28.0
