athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,progressions,tre_laghi,1,warmup,low,accelerate,Z1,Z2,Z1,Z1,downhill,3.3090055804037384,0,45.18933,10.79333333,93.0
amatour,progressions,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.250336311342393,0,45.18926,10.79329333,91.0
amatour,progressions,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1854338735957506,0,45.18926333,10.79323667,90.0
amatour,progressions,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.103376705644635,0,45.18929667,10.79316667,88.0
amatour,progressions,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.23625055022708,0,45.18930833,10.793115,85.0
amatour,progressions,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2649907529912388,0,45.18930667,10.79308167,80.0
amatour,progressions,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2513814714025853,0,45.18930833,10.79303667,76.0
amatour,progressions,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1673525382110883,0,45.18930667,10.79298333,72.0
amatour,progressions,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2695611833515534,0,45.18931333,10.79293833,69.0
amatour,progressions,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1984644574656853,0,45.189315,10.79289167,66.0
amatour,progressions,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.258036129434912,0,45.18931667,10.79285667,64.0
amatour,progressions,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1586864636694654,0,45.18931833,10.792825,61.0
amatour,progressions,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.211013514143806,0,45.18931667,10.79279333,60.0
amatour,progressions,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.22614199101154,0,45.18931667,10.79277167,58.0
amatour,progressions,tre_laghi,15,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.257662469886515,0,45.18931833,10.79274667,56.0
amatour,progressions,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1479614472941555,0,45.18932167,10.79271833,55.0
amatour,progressions,tre_laghi,17,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.234835601839051,0,45.18932333,10.79268833,54.0
amatour,progressions,tre_laghi,18,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.132469426982545,0,45.189325,10.79265167,53.0
amatour,progressions,tre_laghi,19,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1882902286648847,0,45.18932667,10.792625,52.0
amatour,progressions,tre_laghi,20,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2082852731055755,0,45.18932667,10.7926,51.0
amatour,progressions,tre_laghi,21,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2384907313422295,0,45.18933,10.79257333,50.0
