athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.789058552148292,0,41.85956,12.56004167,75.0
amatour,recovery,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.271077280081252,0,41.85954167,12.56003,74.0
amatour,recovery,acquedotti,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.136459219361017,0.0004122984361080568,41.859525,12.56001167,73.0
amatour,recovery,acquedotti,4,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2212443111465983,0,41.85951,12.55999333,73.0
amatour,recovery,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.214004835111539,0.0009567468262110201,41.859495,12.559975,73.0
amatour,recovery,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1627050839805593,0,41.85948333,12.55996,72.0
amatour,recovery,acquedotti,7,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2051420921217875,0,41.85947167,12.55994333,72.0
amatour,recovery,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2650247360130726,0,41.85945833,12.55992,72.0
amatour,recovery,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2776786981998045,0,41.85944667,12.55988833,72.0
amatour,recovery,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.157870282976032,0,41.85943667,12.55986667,72.0
amatour,recovery,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2976103295509263,0,41.85942667,12.55984667,72.0
amatour,recovery,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.285348873180931,0,41.85941833,12.55982667,72.0
amatour,recovery,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2180546289477108,0,41.859405,12.55980333,72.0
amatour,recovery,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.297308498195602,0,41.859395,12.55978,73.0
amatour,recovery,acquedotti,15,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2827142509709213,0,41.85937833,12.55974833,73.0
amatour,recovery,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1645775509532448,0,41.85935833,12.55971667,73.0
amatour,recovery,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.298406865797155,0,41.85934167,12.55968667,73.0
amatour,recovery,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.177928133829402,0,41.85932833,12.55965833,73.0
amatour,recovery,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2590450771524706,0,41.859315,12.55963,73.0
amatour,recovery,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2184511739767716,0,41.859295,12.559595,74.0
amatour,recovery,acquedotti,21,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1885821179917797,0,41.85927333,12.55955667,74.0
amatour,recovery,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.129572230311817,0,41.85924667,12.55951833,74.0
amatour,recovery,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1392723353369685,0,41.85921833,12.559515,74.0
amatour,recovery,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.221116659056179,0,41.85918833,12.55952833,74.0
amatour,recovery,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2357014249963814,0,41.85910667,12.559585,74.0
amatour,recovery,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1545486622732195,0,41.85907333,12.559605,74.0
amatour,recovery,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1130622186305255,0,41.85903833,12.55962667,74.0
amatour,recovery,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.146567316159307,0,41.859005,12.55964333,75.0
amatour,recovery,acquedotti,29,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.208019346734987,0,41.85897667,12.55965,75.0
amatour,recovery,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.200500443917102,0,41.85895667,12.559645,75.0
amatour,recovery,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1944820496824713,0,41.85893667,12.55962667,75.0
amatour,recovery,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.101811776864188,0,41.85894,12.55959167,75.0
amatour,recovery,acquedotti,33,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.247331574324467,0,41.85893167,12.55955333,74.0
amatour,recovery,acquedotti,34,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2854823036160887,0,41.858935,12.55951333,74.0
amatour,recovery,acquedotti,35,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2579467418720314,0,41.85892,12.55947333,74.0
amatour,recovery,acquedotti,36,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.180656113851053,0,41.85891333,12.559425,74.0
amatour,recovery,acquedotti,37,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2136657552165144,0,41.85890333,12.55939833,74.0
amatour,recovery,acquedotti,38,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.152227550999078,0,41.85889333,12.55939833,74.0
amatour,recovery,acquedotti,39,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1898062871571784,0,41.85887667,12.55938,74.0
amatour,recovery,acquedotti,40,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.290669634122796,0,41.85886333,12.55936,75.0
amatour,recovery,acquedotti,41,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2931211755700294,0,41.85885333,12.559325,75.0
amatour,recovery,acquedotti,42,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1293063294988595,0,41.85884167,12.55930667,75.0
amatour,recovery,acquedotti,43,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1286901986181586,0,41.85882667,12.55928667,75.0
amatour,recovery,acquedotti,44,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.121373659266585,0,41.85881333,12.55925833,75.0
amatour,recovery,acquedotti,45,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2019878180362045,0,41.85879667,12.55923833,76.0
amatour,recovery,acquedotti,46,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1701593394308016,0,41.85877833,12.55922,76.0
amatour,recovery,acquedotti,47,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1081071324901757,0,41.85876,12.559195,76.0
amatour,recovery,acquedotti,48,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1710227266659867,0,41.85874167,12.55916,76.0
amatour,recovery,acquedotti,49,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.189187161620264,0,41.85872833,12.55911,77.0
amatour,recovery,acquedotti,50,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.160478155044412,0,41.85872167,12.55904833,77.0
amatour,recovery,acquedotti,51,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.203173087612693,0,41.85870667,12.55902167,77.0
amatour,recovery,acquedotti,52,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.294965586230266,0,41.858705,12.55896667,77.0
amatour,recovery,acquedotti,53,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.250387921712095,0,41.85869667,12.55894,77.0
amatour,recovery,acquedotti,54,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.185464783496116,0,41.85867333,12.55895833,77.0
amatour,recovery,acquedotti,55,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.183662695345242,0,41.85863333,12.559,77.0
amatour,recovery,acquedotti,56,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.280042399540545,0,41.8586,12.55905333,77.0
amatour,recovery,acquedotti,57,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2799273627747394,0,41.85856,12.559115,76.0
amatour,recovery,acquedotti,58,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1773032188748536,0,41.85854,12.55913,76.0
amatour,recovery,acquedotti,59,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2077045628874976,0,41.85852167,12.55912667,75.0
amatour,recovery,acquedotti,60,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2838836956149673,0,41.85850333,12.55911833,75.0
amatour,recovery,acquedotti,61,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1520442680077023,0,41.85849167,12.55911,74.0
amatour,recovery,acquedotti,62,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.205826046634504,0,41.85848667,12.55909833,74.0
amatour,recovery,acquedotti,63,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1079629629351535,0,41.85848,12.55908833,73.0
amatour,recovery,acquedotti,64,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2167124976736896,0,41.85847167,12.559075,73.0
amatour,recovery,acquedotti,65,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1374889208439236,0,41.85845667,12.55906,73.0
amatour,recovery,acquedotti,66,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.172718787618107,0,41.85844333,12.55905,72.0
amatour,recovery,acquedotti,67,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.251314876011311,0,41.85843167,12.55903833,72.0
amatour,recovery,acquedotti,68,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1139607739174244,0,41.85842333,12.55902667,72.0
amatour,recovery,acquedotti,69,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.289829616079095,0,41.85841833,12.55900667,72.0
amatour,recovery,acquedotti,70,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2179468475734465,0,41.858415,12.55898,72.0
amatour,recovery,acquedotti,71,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.284267104985439,0,41.85841167,12.558955,71.0
amatour,recovery,acquedotti,72,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.171173569790226,0,41.85840167,12.55893,71.0
amatour,recovery,acquedotti,73,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.119771020634235,0,41.85839,12.55891333,71.0
amatour,recovery,acquedotti,74,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1032900033491226,0,41.858375,12.55889,71.0
amatour,recovery,acquedotti,75,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1121249631547325,0,41.85835667,12.55886833,71.0
amatour,recovery,acquedotti,76,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2982037472875163,0,41.85834167,12.55885,71.0
amatour,recovery,acquedotti,77,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.269059726218359,0,41.85833167,12.55882833,71.0
amatour,recovery,acquedotti,78,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.28772486294149,0,41.85831833,12.55881,71.0
amatour,recovery,acquedotti,79,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.237721646469047,0,41.85830667,12.55879333,70.0
amatour,recovery,acquedotti,80,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2718650065815016,0,41.85829333,12.55877,70.0
amatour,recovery,acquedotti,81,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1471756216743114,0,41.85828,12.55874167,70.0
amatour,recovery,acquedotti,82,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1781139252080113,0,41.85827167,12.55871,70.0
amatour,recovery,acquedotti,83,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1744819737550114,0,41.85826,12.55867833,70.0
amatour,recovery,acquedotti,84,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.272848168884001,0,41.85824667,12.55864667,70.0
amatour,recovery,acquedotti,85,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1423024480092154,0,41.85823167,12.55861333,70.0
amatour,recovery,acquedotti,86,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.189637343108152,0,41.85821333,12.55859167,70.0
amatour,recovery,acquedotti,87,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.260576050513536,0,41.85819833,12.55856833,70.0
amatour,recovery,acquedotti,88,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2832653643638894,0,41.85818,12.55855667,70.0
amatour,recovery,acquedotti,89,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.188616091524232,0,41.85816167,12.55855833,70.0
amatour,recovery,acquedotti,90,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.2977161964158324,0,41.85814667,12.55855,71.0
amatour,recovery,acquedotti,91,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.264435513113347,0,41.85812333,12.55853333,71.0
