athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,belfiore,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.7443264444602993,0,45.189325,10.79284167,37.0
amatour,recovery,belfiore,2,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.179095050936592,0,45.18932167,10.79282,37.0
amatour,recovery,belfiore,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.299497319058741,0,45.189325,10.79279833,36.0
amatour,recovery,belfiore,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1900858647973944,0,45.18932667,10.79278,35.0
amatour,recovery,belfiore,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.11044219502167,0,45.18933167,10.792755,35.0
amatour,recovery,belfiore,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2543121635944194,0.00028111219559120055,45.18933833,10.79272333,34.0
amatour,recovery,belfiore,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.258990516673235,0,45.18934167,10.79269167,33.0
amatour,recovery,belfiore,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2815978402068233,0,45.18934167,10.792665,32.0
amatour,recovery,belfiore,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2228453960684567,0,45.189345,10.79263833,31.0
amatour,recovery,belfiore,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2949951925917067,0,45.18935167,10.792615,31.0
amatour,recovery,belfiore,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.247359762177095,0,45.189355,10.79258667,30.0
amatour,recovery,belfiore,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1428740479653525,0,45.189355,10.79256,29.0
amatour,recovery,belfiore,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1134021803834093,0,45.18936,10.79252833,29.0
