athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
amatour,recovery,tre_laghi,1,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,3.6289427275847084,0,45.18933,10.79333333,93.0
amatour,recovery,tre_laghi,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.118258436907584,0,45.18926,10.79329333,91.0
amatour,recovery,tre_laghi,3,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.208982740310686,0,45.18926333,10.79323667,90.0
amatour,recovery,tre_laghi,4,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1898735296613565,0,45.18929667,10.79316667,88.0
amatour,recovery,tre_laghi,5,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1227610675572697,0,45.18930833,10.793115,85.0
amatour,recovery,tre_laghi,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.241420299030173,0,45.18930667,10.79308167,80.0
amatour,recovery,tre_laghi,7,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2024264499297743,0,45.18930833,10.79303667,76.0
amatour,recovery,tre_laghi,8,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.274735315622558,0,45.18930667,10.79298333,72.0
amatour,recovery,tre_laghi,9,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1353735261035767,0,45.18931333,10.79293833,69.0
amatour,recovery,tre_laghi,10,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1366721634733596,0,45.189315,10.79289167,66.0
amatour,recovery,tre_laghi,11,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1443545700702273,0,45.18931667,10.79285667,64.0
amatour,recovery,tre_laghi,12,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1663516972000934,0,45.18931833,10.792825,61.0
amatour,recovery,tre_laghi,13,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.167285437373604,0,45.18931667,10.79279333,60.0
amatour,recovery,tre_laghi,14,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.1604981005142907,0,45.18931667,10.79277167,58.0
amatour,recovery,tre_laghi,15,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.229733857784268,0,45.18931833,10.79274667,56.0
amatour,recovery,tre_laghi,16,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2751253970291816,0,45.18932167,10.79271833,55.0
amatour,recovery,tre_laghi,17,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.204848764810474,0.0004222081167952873,45.18932333,10.79268833,54.0
