athlete,training,circuit,second,phase,fatigue,action,HR_zone,power_zone,target_HR,target_power,slope,reward,fatigue_score,lat,lon,elevation
elite,endurance,acquedotti,1,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,3.702898793680922,0,41.85956,12.56004167,75.0
elite,endurance,acquedotti,2,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.123257431046934,0,41.85954167,12.56003,74.0
elite,endurance,acquedotti,3,warmup,low,keep going,Z1,Z1,Z1,Z1,downhill,2.6009983132063677,0.008022363491273252,41.859525,12.56001167,73.0
elite,endurance,acquedotti,4,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5266907712139255,0.016711057428561875,41.85951,12.55999333,73.0
elite,endurance,acquedotti,5,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2497885426497626,0.014229686089071273,41.859495,12.559975,73.0
elite,endurance,acquedotti,6,warmup,low,slow down,Z1,Z1,Z1,Z1,downhill,2.2960195891785613,0,41.85948333,12.55996,72.0
elite,endurance,acquedotti,7,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6864505271249306,0.011817060358408207,41.85947167,12.55994333,72.0
elite,endurance,acquedotti,8,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.281198989199922,0,41.85945833,12.55992,72.0
elite,endurance,acquedotti,9,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.293111406230548,0,41.85944667,12.55988833,72.0
elite,endurance,acquedotti,10,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.223018501018889,0,41.85943667,12.55986667,72.0
elite,endurance,acquedotti,11,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2582663532569778,0,41.85942667,12.55984667,72.0
elite,endurance,acquedotti,12,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.257683409749646,0,41.85941833,12.55982667,72.0
elite,endurance,acquedotti,13,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1433938243849155,0,41.859405,12.55980333,72.0
elite,endurance,acquedotti,14,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.1429102871335415,0,41.859395,12.55978,73.0
elite,endurance,acquedotti,15,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.6283302681078897,0.010213994951970526,41.85937833,12.55974833,73.0
elite,endurance,acquedotti,16,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.275761121758838,0,41.85935833,12.55971667,73.0
elite,endurance,acquedotti,17,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.133948115116394,0,41.85934167,12.55968667,73.0
elite,endurance,acquedotti,18,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1133562146124967,0,41.85932833,12.55965833,73.0
elite,endurance,acquedotti,19,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.189500121182947,0,41.859315,12.55963,73.0
elite,endurance,acquedotti,20,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.281753301347698,0,41.859295,12.559595,74.0
elite,endurance,acquedotti,21,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.59411142327796,0,41.85927333,12.55955667,74.0
elite,endurance,acquedotti,22,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2858835473659704,0,41.85924667,12.55951833,74.0
elite,endurance,acquedotti,23,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1122828591920033,0,41.85921833,12.559515,74.0
elite,endurance,acquedotti,24,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.110312111853651,0,41.85918833,12.55952833,74.0
elite,endurance,acquedotti,25,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.267585908634892,0,41.85910667,12.559585,74.0
elite,endurance,acquedotti,26,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.1235784229114785,0,41.85907333,12.559605,74.0
elite,endurance,acquedotti,27,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2920504796941796,0,41.85903833,12.55962667,74.0
elite,endurance,acquedotti,28,warmup,low,slow down,Z1,Z1,Z1,Z1,uphill,2.117611175861465,0,41.859005,12.55964333,75.0
elite,endurance,acquedotti,29,warmup,low,keep going,Z1,Z1,Z1,Z1,flat,2.5005376393113,0,41.85897667,12.55965,75.0
elite,endurance,acquedotti,30,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2777033827843525,0,41.85895667,12.559645,75.0
elite,endurance,acquedotti,31,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2252249489752582,0,41.85893667,12.55962667,75.0
elite,endurance,acquedotti,32,warmup,low,slow down,Z1,Z1,Z1,Z1,flat,2.2040359286836204,0,41.85894,12.55959167,75.0
